initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.43705, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.54758, step_acc: 3.44903, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.54675, step_acc: 3.46205, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.54556, step_acc: 3.47651, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.54441, step_acc: 3.49404, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.54285, step_acc: 3.51046, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.54138, step_acc: 3.52433, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.54004, step_acc: 3.52725, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.53914, step_acc: 3.54733, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.53746, step_acc: 3.56698, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.53578, step_acc: 3.58368, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.53433, step_acc: 3.60782, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.53238, step_acc: 3.63188, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.53026, step_acc: 3.65481, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.52819, step_acc: 3.66563, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.52693, step_acc: 3.68564, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.52503, step_acc: 3.71031, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.52283, step_acc: 3.72515, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.52128, step_acc: 3.74040, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.51978, step_acc: 3.76124, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.51784, step_acc: 3.78590, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.51592, step_acc: 3.80332, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.51415, step_acc: 3.82732, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.51216, step_acc: 3.85225, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.51007, step_acc: 3.87876, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.50782, step_acc: 3.90055, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.50564, step_acc: 3.92173, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.50365, step_acc: 3.93767, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.50203, step_acc: 3.95458, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.50037, step_acc: 3.97411, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.49863, step_acc: 3.99805, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.49616, step_acc: 4.02000, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.49395, step_acc: 4.03694, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.49208, step_acc: 4.05867, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.49012, step_acc: 4.07606, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.48845, step_acc: 4.09922, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.48620, step_acc: 4.12011, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.48432, step_acc: 4.14443, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.48220, step_acc: 4.16385, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.48012, step_acc: 4.18947, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.47836, step_acc: 4.19635, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.47680, step_acc: 4.21985, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.47499, step_acc: 4.23251, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.47347, step_acc: 4.24944, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.47211, step_acc: 4.26122, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.47108, step_acc: 4.27397, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.46974, step_acc: 4.30988, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.46711, step_acc: 4.34042, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.46474, step_acc: 4.37052, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.46240, step_acc: 4.39667, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.46037, step_acc: 4.42609, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.45830, step_acc: 4.45428, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.45614, step_acc: 4.47993, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.45401, step_acc: 4.50418, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.45199, step_acc: 4.52824, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.44986, step_acc: 4.50493, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.45323, step_acc: 4.56419, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.44925, step_acc: 4.62232, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.44529, step_acc: 4.68229, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.44131, step_acc: 4.72511, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.43825, step_acc: 4.77333, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.43492, step_acc: 4.84963, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.43009, step_acc: 4.90276, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.42607, step_acc: 4.96111, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.42212, step_acc: 5.01037, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.41852, step_acc: 5.05614, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.41537, step_acc: 5.09077, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.41272, step_acc: 5.12902, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.40998, step_acc: 5.18003, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.40650, step_acc: 5.22071, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.40316, step_acc: 5.27399, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.39949, step_acc: 5.32545, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.39538, step_acc: 5.38164, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.39157, step_acc: 5.43268, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.38777, step_acc: 5.49199, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.38364, step_acc: 5.54753, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.37967, step_acc: 5.60982, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.37543, step_acc: 5.65869, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.37196, step_acc: 5.70700, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.36853, step_acc: 5.74363, grid_scale: 1 / 5, strokes: 2 / 9
