initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.23946, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.63563, step_acc: 3.26147, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.63243, step_acc: 3.27921, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.63015, step_acc: 3.28492, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.62913, step_acc: 3.29297, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.62781, step_acc: 3.29907, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.62687, step_acc: 3.30709, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.62587, step_acc: 3.31279, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.62503, step_acc: 3.32755, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.62337, step_acc: 3.33331, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.62251, step_acc: 3.33813, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.62188, step_acc: 3.34076, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.62138, step_acc: 3.34486, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.62085, step_acc: 3.34791, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.62043, step_acc: 3.34899, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.62021, step_acc: 3.34968, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.62002, step_acc: 3.35239, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.61961, step_acc: 3.35537, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.61904, step_acc: 3.35796, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.61874, step_acc: 3.35883, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.61852, step_acc: 3.35977, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.61833, step_acc: 3.36059, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.61813, step_acc: 3.36174, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.61792, step_acc: 3.36472, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.61744, step_acc: 3.36712, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.61699, step_acc: 3.36783, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.61677, step_acc: 3.37449, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.61601, step_acc: 3.38003, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.61554, step_acc: 3.38839, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.61440, step_acc: 3.39982, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.61330, step_acc: 3.40201, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.61307, step_acc: 3.40223, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.61282, step_acc: 3.40475, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.61271, step_acc: 3.40352, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.61249, step_acc: 3.40648, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.61231, step_acc: 3.40695, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.61206, step_acc: 3.40730, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.61182, step_acc: 3.40959, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.61160, step_acc: 3.41015, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.61145, step_acc: 3.41193, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.61121, step_acc: 3.41591, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.61076, step_acc: 3.42071, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.61040, step_acc: 3.42395, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.61005, step_acc: 3.42650, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.60972, step_acc: 3.42900, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.60942, step_acc: 3.43068, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.60915, step_acc: 3.43348, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.60887, step_acc: 3.43258, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.60866, step_acc: 3.43683, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.60832, step_acc: 3.43894, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.60760, step_acc: 3.44341, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.60693, step_acc: 3.44664, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.60650, step_acc: 3.44896, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.60619, step_acc: 3.44977, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.60596, step_acc: 3.44976, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.60579, step_acc: 3.38617, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.61144, step_acc: 3.41311, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.60902, step_acc: 3.43528, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.60695, step_acc: 3.45645, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.60482, step_acc: 3.47222, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.60286, step_acc: 3.49935, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.59998, step_acc: 3.52709, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.59697, step_acc: 3.56133, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.59405, step_acc: 3.57684, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.59162, step_acc: 3.60457, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.58907, step_acc: 3.62174, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.58669, step_acc: 3.64639, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.58377, step_acc: 3.66828, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.58083, step_acc: 3.70750, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.57655, step_acc: 3.73178, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.57361, step_acc: 3.76332, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.56983, step_acc: 3.78180, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.56738, step_acc: 3.80059, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.56524, step_acc: 3.82359, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.56267, step_acc: 3.85855, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.55966, step_acc: 3.88748, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.55668, step_acc: 3.92829, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.55282, step_acc: 3.98166, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.54876, step_acc: 4.02158, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.54510, step_acc: 4.06607, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.54124, step_acc: 4.12063, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.53668, step_acc: 4.18187, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.53204, step_acc: 4.22570, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.52801, step_acc: 4.27243, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.52412, step_acc: 4.30292, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.52071, step_acc: 4.33865, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.51727, step_acc: 4.37828, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.51323, step_acc: 4.41156, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.50977, step_acc: 4.44990, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.50614, step_acc: 4.49199, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.50187, step_acc: 4.53404, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.49774, step_acc: 4.56772, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.49444, step_acc: 4.59363, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.49159, step_acc: 4.61868, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.48935, step_acc: 4.64021, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.48724, step_acc: 4.66221, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.48505, step_acc: 4.69011, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.48268, step_acc: 4.70703, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.48048, step_acc: 4.72369, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.47871, step_acc: 4.73927, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.47698, step_acc: 4.75744, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.47523, step_acc: 4.78366, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.47290, step_acc: 4.81315, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.47013, step_acc: 4.83169, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.46822, step_acc: 4.85137, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.46630, step_acc: 4.87307, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.46446, step_acc: 4.88846, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.46305, step_acc: 4.90196, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.46178, step_acc: 4.91674, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.46045, step_acc: 4.93217, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.45891, step_acc: 4.91255, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.45834, step_acc: 4.99917, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.45238, step_acc: 5.07602, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.44700, step_acc: 5.14274, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.44232, step_acc: 5.21204, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 115, G_loss: 0.43789, step_acc: 5.26358, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 116, G_loss: 0.43405, step_acc: 5.31499, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 117, G_loss: 0.43004, step_acc: 5.36652, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 118, G_loss: 0.42571, step_acc: 5.41078, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 119, G_loss: 0.42217, step_acc: 5.46123, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 120, G_loss: 0.41836, step_acc: 5.53549, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 121, G_loss: 0.41378, step_acc: 5.56465, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 122, G_loss: 0.41103, step_acc: 5.61740, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 123, G_loss: 0.40737, step_acc: 5.69474, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 124, G_loss: 0.40247, step_acc: 5.78606, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 125, G_loss: 0.39726, step_acc: 5.83399, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 126, G_loss: 0.39385, step_acc: 5.88074, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 127, G_loss: 0.39067, step_acc: 5.91399, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 128, G_loss: 0.38801, step_acc: 5.97459, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 129, G_loss: 0.38462, step_acc: 6.04734, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 130, G_loss: 0.38024, step_acc: 6.09862, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 131, G_loss: 0.37701, step_acc: 6.15267, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 132, G_loss: 0.37351, step_acc: 6.23619, grid_scale: 1 / 5, strokes: 3 / 9
