initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 9.65275, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.17347, step_acc: 9.68037, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.17309, step_acc: 9.74088, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.17175, step_acc: 9.71555, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.17187, step_acc: 9.78805, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.17015, step_acc: 9.84246, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.16908, step_acc: 9.87145, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.16834, step_acc: 9.88697, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.16784, step_acc: 9.91611, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.16708, step_acc: 9.94121, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.16638, step_acc: 9.96474, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.16561, step_acc: 9.98351, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.16508, step_acc: 9.99159, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.16436, step_acc: 10.02149, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.16407, step_acc: 10.01324, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.16386, step_acc: 10.04631, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.16310, step_acc: 10.04097, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.16302, step_acc: 10.05164, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.16275, step_acc: 10.05513, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.16263, step_acc: 10.05584, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.16255, step_acc: 10.05634, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.16248, step_acc: 10.06003, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.16239, step_acc: 10.06047, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.16229, step_acc: 10.06121, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.16224, step_acc: 10.06126, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.16220, step_acc: 10.06130, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.16216, step_acc: 10.06090, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.16215, step_acc: 10.06144, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.16218, step_acc: 10.06198, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.16214, step_acc: 10.06105, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.16215, step_acc: 10.06016, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.16217, step_acc: 10.05988, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.16222, step_acc: 10.05976, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.16215, step_acc: 10.06129, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.16211, step_acc: 10.06136, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.16211, step_acc: 10.06029, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.16215, step_acc: 10.05998, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.16214, step_acc: 10.05978, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.16212, step_acc: 10.06069, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.16210, step_acc: 10.06182, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.16208, step_acc: 10.06094, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.16210, step_acc: 10.06045, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.16212, step_acc: 10.06135, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.16212, step_acc: 10.05941, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.16214, step_acc: 10.05952, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.16211, step_acc: 10.06153, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.16207, step_acc: 10.06129, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.16208, step_acc: 10.06094, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.16212, step_acc: 10.06084, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.16209, step_acc: 10.06051, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.16207, step_acc: 10.06111, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.16206, step_acc: 10.06179, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.16205, step_acc: 10.06140, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.16207, step_acc: 10.06099, grid_scale: 1 / 5, strokes: 1 / 9
