initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 2.14373, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.72723, step_acc: 2.16110, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.72560, step_acc: 2.17830, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.72399, step_acc: 2.19771, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.72213, step_acc: 2.23041, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.71912, step_acc: 2.25825, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.71628, step_acc: 2.28031, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.71391, step_acc: 2.29911, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.71184, step_acc: 2.31451, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.71010, step_acc: 2.32978, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.70843, step_acc: 2.34070, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.70720, step_acc: 2.34922, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.70622, step_acc: 2.35602, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.70533, step_acc: 2.36216, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.70452, step_acc: 2.36864, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.70367, step_acc: 2.37456, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.70288, step_acc: 2.37885, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.70219, step_acc: 2.38489, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.70131, step_acc: 2.38939, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.70065, step_acc: 2.39313, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.70013, step_acc: 2.39626, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.69966, step_acc: 2.39896, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.69928, step_acc: 2.40170, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.69887, step_acc: 2.40438, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.69850, step_acc: 2.40732, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.69809, step_acc: 2.40994, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.69770, step_acc: 2.41552, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.69697, step_acc: 2.42341, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.69615, step_acc: 2.42792, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.69557, step_acc: 2.43193, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.69502, step_acc: 2.43530, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.69453, step_acc: 2.43931, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.69399, step_acc: 2.44260, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.69351, step_acc: 2.44550, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.69312, step_acc: 2.44892, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.69264, step_acc: 2.45255, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.69215, step_acc: 2.45561, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.69169, step_acc: 2.45924, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.69121, step_acc: 2.46243, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.69078, step_acc: 2.46534, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.69038, step_acc: 2.46760, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.69003, step_acc: 2.46952, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.68972, step_acc: 2.47105, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.68942, step_acc: 2.47220, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.68917, step_acc: 2.47334, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.68891, step_acc: 2.47454, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.68862, step_acc: 2.47526, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.68841, step_acc: 2.47657, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.68813, step_acc: 2.47765, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.68786, step_acc: 2.47950, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.68752, step_acc: 2.48355, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.68691, step_acc: 2.48914, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.68614, step_acc: 2.49224, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.68567, step_acc: 2.49464, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.68530, step_acc: 2.49979, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.68462, step_acc: 2.39891, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.69306, step_acc: 2.43630, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.68950, step_acc: 2.46825, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.68610, step_acc: 2.48974, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.68374, step_acc: 2.50888, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.68170, step_acc: 2.53233, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.67932, step_acc: 2.57160, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.67548, step_acc: 2.59409, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.67295, step_acc: 2.61388, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.67060, step_acc: 2.63703, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.66811, step_acc: 2.65913, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.66558, step_acc: 2.68297, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.66278, step_acc: 2.70954, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.65945, step_acc: 2.73805, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.65586, step_acc: 2.76732, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.65229, step_acc: 2.79704, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.64894, step_acc: 2.81768, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.64616, step_acc: 2.83433, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.64405, step_acc: 2.84982, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.64191, step_acc: 2.87307, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.63918, step_acc: 2.89924, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.63620, step_acc: 2.92765, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.63297, step_acc: 2.94758, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.63047, step_acc: 2.97661, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.62713, step_acc: 2.99778, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.62449, step_acc: 3.02371, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.62156, step_acc: 3.04888, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.61876, step_acc: 3.07126, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.61619, step_acc: 3.09162, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.61374, step_acc: 3.11029, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.61149, step_acc: 3.12847, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.60927, step_acc: 3.14580, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.60713, step_acc: 3.16749, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.60456, step_acc: 3.18457, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.60276, step_acc: 3.20124, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.60068, step_acc: 3.22360, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.59844, step_acc: 3.23991, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.59661, step_acc: 3.25192, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.59505, step_acc: 3.25962, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.59399, step_acc: 3.26756, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.59301, step_acc: 3.27730, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.59192, step_acc: 3.29119, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.59049, step_acc: 3.30133, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.58925, step_acc: 3.30952, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.58820, step_acc: 3.32256, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.58678, step_acc: 3.34165, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.58452, step_acc: 3.35806, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.58256, step_acc: 3.38016, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.58013, step_acc: 3.40504, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.57720, step_acc: 3.42737, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.57490, step_acc: 3.45284, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.57248, step_acc: 3.47557, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.56996, step_acc: 3.49366, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.56834, step_acc: 3.51453, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.56602, step_acc: 3.52378, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.56481, step_acc: 3.50725, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.56593, step_acc: 3.53347, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.56260, step_acc: 3.57588, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.55820, step_acc: 3.63071, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.55342, step_acc: 3.65979, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 115, G_loss: 0.55027, step_acc: 3.71701, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 116, G_loss: 0.54488, step_acc: 3.74270, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 117, G_loss: 0.54187, step_acc: 3.76607, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 118, G_loss: 0.53886, step_acc: 3.79595, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 119, G_loss: 0.53599, step_acc: 3.84722, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 120, G_loss: 0.53144, step_acc: 3.88576, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 121, G_loss: 0.52830, step_acc: 3.91215, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 122, G_loss: 0.52520, step_acc: 3.93833, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 123, G_loss: 0.52267, step_acc: 3.96348, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 124, G_loss: 0.52023, step_acc: 3.99045, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 125, G_loss: 0.51758, step_acc: 4.02188, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 126, G_loss: 0.51500, step_acc: 4.05280, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 127, G_loss: 0.51231, step_acc: 4.09894, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 128, G_loss: 0.50896, step_acc: 4.13444, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 129, G_loss: 0.50601, step_acc: 4.16709, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 130, G_loss: 0.50313, step_acc: 4.20139, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 131, G_loss: 0.50021, step_acc: 4.23801, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 132, G_loss: 0.49718, step_acc: 4.28732, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 133, G_loss: 0.49351, step_acc: 4.32624, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 134, G_loss: 0.49023, step_acc: 4.35386, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 135, G_loss: 0.48730, step_acc: 4.39194, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 136, G_loss: 0.48420, step_acc: 4.42982, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 137, G_loss: 0.48103, step_acc: 4.46504, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 138, G_loss: 0.47789, step_acc: 4.49849, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 139, G_loss: 0.47490, step_acc: 4.53800, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 140, G_loss: 0.47142, step_acc: 4.57429, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 141, G_loss: 0.46850, step_acc: 4.62218, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 142, G_loss: 0.46448, step_acc: 4.66250, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 143, G_loss: 0.46091, step_acc: 4.69849, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 144, G_loss: 0.45776, step_acc: 4.75036, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 145, G_loss: 0.45365, step_acc: 4.78946, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 146, G_loss: 0.45022, step_acc: 4.82236, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 147, G_loss: 0.44709, step_acc: 4.86299, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 148, G_loss: 0.44351, step_acc: 4.90297, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 149, G_loss: 0.44005, step_acc: 4.95630, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 150, G_loss: 0.43578, step_acc: 4.99980, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 151, G_loss: 0.43230, step_acc: 5.04314, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 152, G_loss: 0.42900, step_acc: 5.07671, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 153, G_loss: 0.42604, step_acc: 5.11744, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 154, G_loss: 0.42300, step_acc: 5.16286, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 155, G_loss: 0.41976, step_acc: 5.22294, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 156, G_loss: 0.41610, step_acc: 5.26825, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 157, G_loss: 0.41334, step_acc: 5.33803, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 158, G_loss: 0.40973, step_acc: 5.39191, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 159, G_loss: 0.40651, step_acc: 5.43867, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 160, G_loss: 0.40327, step_acc: 5.48930, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 161, G_loss: 0.39985, step_acc: 5.53921, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 162, G_loss: 0.39640, step_acc: 5.58123, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 163, G_loss: 0.39334, step_acc: 5.62083, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 164, G_loss: 0.39048, step_acc: 5.66082, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 165, G_loss: 0.38773, step_acc: 5.66664, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 166, G_loss: 0.38751, step_acc: 5.74668, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 167, G_loss: 0.38268, step_acc: 5.81771, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 168, G_loss: 0.37830, step_acc: 5.87351, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 169, G_loss: 0.37463, step_acc: 5.93271, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 170, G_loss: 0.37151, step_acc: 5.98927, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 171, G_loss: 0.36814, step_acc: 6.06504, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 172, G_loss: 0.36374, step_acc: 6.13181, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 173, G_loss: 0.35906, step_acc: 6.19110, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 174, G_loss: 0.35547, step_acc: 6.25349, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 175, G_loss: 0.35168, step_acc: 6.30916, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 176, G_loss: 0.34855, step_acc: 6.37338, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 177, G_loss: 0.34465, step_acc: 6.42383, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 178, G_loss: 0.34123, step_acc: 6.47999, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 179, G_loss: 0.33816, step_acc: 6.51964, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 180, G_loss: 0.33568, step_acc: 6.56021, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 181, G_loss: 0.33335, step_acc: 6.59375, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 182, G_loss: 0.33103, step_acc: 6.63084, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 183, G_loss: 0.32874, step_acc: 6.66253, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 184, G_loss: 0.32672, step_acc: 6.69650, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 185, G_loss: 0.32465, step_acc: 6.72724, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 186, G_loss: 0.32276, step_acc: 6.75942, grid_scale: 1 / 5, strokes: 4 / 9
