initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 0.60133, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.91364, step_acc: 0.62678, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.90986, step_acc: 0.64534, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.90739, step_acc: 0.66811, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.90427, step_acc: 0.69030, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.90127, step_acc: 0.70599, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.89949, step_acc: 0.72532, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.89640, step_acc: 0.73292, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.89471, step_acc: 0.74276, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.89324, step_acc: 0.75179, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.89152, step_acc: 0.76713, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.88926, step_acc: 0.77450, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.88781, step_acc: 0.78003, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.88675, step_acc: 0.78394, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.88575, step_acc: 0.79158, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.88435, step_acc: 0.80795, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.88199, step_acc: 0.81700, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.88029, step_acc: 0.82634, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.87861, step_acc: 0.83510, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.87703, step_acc: 0.84609, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.87519, step_acc: 0.85760, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.87333, step_acc: 0.87466, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.87105, step_acc: 0.89181, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.86857, step_acc: 0.90109, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.86683, step_acc: 0.91186, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.86496, step_acc: 0.92478, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.86307, step_acc: 0.93674, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.86115, step_acc: 0.94776, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.85940, step_acc: 0.95926, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.85761, step_acc: 0.97067, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.85559, step_acc: 0.98817, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.85294, step_acc: 1.00693, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.85009, step_acc: 1.02229, grid_scale: 1 / 5, strokes: 1 / 9
