initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 0.97002, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.86468, step_acc: 0.98538, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.86268, step_acc: 0.99983, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.86090, step_acc: 1.01931, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.85821, step_acc: 1.02867, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.85682, step_acc: 1.04458, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.85454, step_acc: 1.06371, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.85204, step_acc: 1.07769, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.84970, step_acc: 1.09406, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.84755, step_acc: 1.10461, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.84563, step_acc: 1.11477, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.84411, step_acc: 1.12822, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.84207, step_acc: 1.13874, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.84034, step_acc: 1.15152, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.83844, step_acc: 1.15976, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.83692, step_acc: 1.17447, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.83469, step_acc: 1.18670, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.83257, step_acc: 1.19856, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.83065, step_acc: 1.20871, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.82885, step_acc: 1.21767, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.82728, step_acc: 1.22545, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.82591, step_acc: 1.23032, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.82494, step_acc: 1.23534, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.82399, step_acc: 1.24416, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.82274, step_acc: 1.25489, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.82110, step_acc: 1.26603, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.81939, step_acc: 1.27661, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.81756, step_acc: 1.28760, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.81590, step_acc: 1.30205, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.81357, step_acc: 1.32758, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.81040, step_acc: 1.34180, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.80831, step_acc: 1.35066, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.80636, step_acc: 1.35939, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.80489, step_acc: 1.36561, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.80338, step_acc: 1.37400, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.80189, step_acc: 1.38340, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.80034, step_acc: 1.39182, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.79890, step_acc: 1.39772, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.79760, step_acc: 1.40530, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.79631, step_acc: 1.41945, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.79444, step_acc: 1.43395, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.79240, step_acc: 1.44625, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.79048, step_acc: 1.45273, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.78911, step_acc: 1.46331, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.78754, step_acc: 1.47487, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.78581, step_acc: 1.48637, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.78407, step_acc: 1.49934, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.78218, step_acc: 1.51214, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.78024, step_acc: 1.53115, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.77774, step_acc: 1.55693, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.77457, step_acc: 1.58156, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.77146, step_acc: 1.60171, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.76831, step_acc: 1.62406, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.76477, step_acc: 1.64650, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.76141, step_acc: 1.66307, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.75889, step_acc: 1.60184, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.76340, step_acc: 1.63561, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.75910, step_acc: 1.65876, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.75555, step_acc: 1.68570, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.75199, step_acc: 1.71964, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.74754, step_acc: 1.76419, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.74192, step_acc: 1.80638, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.73678, step_acc: 1.83314, grid_scale: 1 / 5, strokes: 2 / 9
