initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 4.97504, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.49485, step_acc: 5.01650, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.49207, step_acc: 5.03891, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.49039, step_acc: 5.06991, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.48834, step_acc: 5.10557, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.48590, step_acc: 5.15499, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.48235, step_acc: 5.19586, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.47889, step_acc: 5.21740, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.47672, step_acc: 5.23261, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.47531, step_acc: 5.24358, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.47423, step_acc: 5.25316, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.47324, step_acc: 5.26266, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.47229, step_acc: 5.28017, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.47102, step_acc: 5.29541, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.46979, step_acc: 5.30570, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.46879, step_acc: 5.32240, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.46750, step_acc: 5.33520, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.46641, step_acc: 5.34530, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.46541, step_acc: 5.35283, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.46464, step_acc: 5.35988, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.46398, step_acc: 5.37171, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.46314, step_acc: 5.38751, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.46212, step_acc: 5.39338, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.46151, step_acc: 5.41370, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.46042, step_acc: 5.43865, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.45911, step_acc: 5.45689, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.45784, step_acc: 5.46463, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.45703, step_acc: 5.47314, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.45629, step_acc: 5.48918, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.45512, step_acc: 5.49557, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.45448, step_acc: 5.50144, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.45398, step_acc: 5.51407, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.45318, step_acc: 5.52151, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.45249, step_acc: 5.52945, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.45180, step_acc: 5.53642, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.45113, step_acc: 5.54652, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.45023, step_acc: 5.56069, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.44894, step_acc: 5.58359, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.44734, step_acc: 5.59780, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.44620, step_acc: 5.60874, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.44522, step_acc: 5.62731, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.44414, step_acc: 5.64331, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.44297, step_acc: 5.66929, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.44138, step_acc: 5.69388, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.44004, step_acc: 5.70411, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.43888, step_acc: 5.72538, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.43786, step_acc: 5.73431, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.43696, step_acc: 5.74645, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.43635, step_acc: 5.74534, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.43592, step_acc: 5.75786, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.43544, step_acc: 5.76098, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.43498, step_acc: 5.76484, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.43453, step_acc: 5.77199, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.43389, step_acc: 5.77936, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.43332, step_acc: 5.78123, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.43296, step_acc: 5.71646, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.43712, step_acc: 5.72801, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.43591, step_acc: 5.74271, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.43526, step_acc: 5.73899, grid_scale: 1 / 5, strokes: 2 / 9
