initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 2.27017, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.70989, step_acc: 2.30067, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.70712, step_acc: 2.32173, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.70481, step_acc: 2.34101, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.70287, step_acc: 2.35392, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.70154, step_acc: 2.36994, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.69962, step_acc: 2.38113, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.69813, step_acc: 2.40152, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.69640, step_acc: 2.41420, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.69461, step_acc: 2.43316, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.69274, step_acc: 2.44210, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.69115, step_acc: 2.45927, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.68977, step_acc: 2.47192, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.68807, step_acc: 2.48609, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.68626, step_acc: 2.49750, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.68487, step_acc: 2.50412, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.68375, step_acc: 2.51411, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.68262, step_acc: 2.52554, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.68129, step_acc: 2.54061, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.67968, step_acc: 2.56179, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.67781, step_acc: 2.57676, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.67602, step_acc: 2.58725, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.67457, step_acc: 2.60093, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.67298, step_acc: 2.61333, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.67144, step_acc: 2.63261, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.66946, step_acc: 2.65233, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.66733, step_acc: 2.66963, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.66536, step_acc: 2.67637, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.66382, step_acc: 2.69191, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.66227, step_acc: 2.70138, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.66056, step_acc: 2.71195, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.65923, step_acc: 2.72436, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.65779, step_acc: 2.73084, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.65663, step_acc: 2.73672, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.65567, step_acc: 2.74608, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.65451, step_acc: 2.75593, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.65319, step_acc: 2.77027, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.65152, step_acc: 2.78534, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.64960, step_acc: 2.80318, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.64745, step_acc: 2.81206, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.64598, step_acc: 2.82039, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.64476, step_acc: 2.83225, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.64338, step_acc: 2.85091, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.64160, step_acc: 2.86156, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.64018, step_acc: 2.87250, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.63894, step_acc: 2.88410, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.63780, step_acc: 2.89466, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.63653, step_acc: 2.90993, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.63508, step_acc: 2.92594, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.63355, step_acc: 2.94101, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.63201, step_acc: 2.95482, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.63058, step_acc: 2.97600, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.62879, step_acc: 2.98776, grid_scale: 1 / 5, strokes: 1 / 9
