initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 2.44199, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.69746, step_acc: 2.46722, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.69511, step_acc: 2.49271, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.69270, step_acc: 2.51235, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.69089, step_acc: 2.52982, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.68909, step_acc: 2.55081, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.68695, step_acc: 2.57937, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.68401, step_acc: 2.59883, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.68207, step_acc: 2.61332, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.68056, step_acc: 2.62443, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.67927, step_acc: 2.63369, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.67813, step_acc: 2.64671, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.67652, step_acc: 2.66707, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.67426, step_acc: 2.68540, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.67214, step_acc: 2.70278, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.67005, step_acc: 2.71696, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.66809, step_acc: 2.72191, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.66706, step_acc: 2.75010, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.66469, step_acc: 2.76701, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.66265, step_acc: 2.78563, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.66066, step_acc: 2.80133, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.65877, step_acc: 2.82140, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.65663, step_acc: 2.83763, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.65475, step_acc: 2.86693, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.65212, step_acc: 2.89669, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.64937, step_acc: 2.93054, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.64588, step_acc: 2.94975, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.64346, step_acc: 2.96646, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.64133, step_acc: 2.98415, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.63900, step_acc: 2.99962, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.63688, step_acc: 3.01318, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.63497, step_acc: 3.02504, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.63346, step_acc: 3.03749, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.63172, step_acc: 3.06025, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.62899, step_acc: 3.08862, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.62595, step_acc: 3.11066, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.62324, step_acc: 3.13205, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.62054, step_acc: 3.15214, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.61835, step_acc: 3.16961, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.61627, step_acc: 3.18294, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.61450, step_acc: 3.19628, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.61273, step_acc: 3.21178, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.61106, step_acc: 3.22660, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.60938, step_acc: 3.24714, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.60775, step_acc: 3.26477, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.60535, step_acc: 3.29324, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.60257, step_acc: 3.32696, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.59952, step_acc: 3.35229, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.59690, step_acc: 3.37035, grid_scale: 1 / 5, strokes: 1 / 9
