initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 4.18716, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.56184, step_acc: 4.21694, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.55902, step_acc: 4.24926, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.55653, step_acc: 4.26747, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.55474, step_acc: 4.29272, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.55291, step_acc: 4.31441, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.55128, step_acc: 4.32660, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.55008, step_acc: 4.33875, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.54887, step_acc: 4.34640, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.54801, step_acc: 4.34821, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.54758, step_acc: 4.35833, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.54664, step_acc: 4.37199, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.54538, step_acc: 4.38758, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.54406, step_acc: 4.40335, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.54269, step_acc: 4.41850, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.54142, step_acc: 4.43347, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.54010, step_acc: 4.44950, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.53855, step_acc: 4.46587, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.53712, step_acc: 4.48386, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.53569, step_acc: 4.50907, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.53387, step_acc: 4.53468, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.53199, step_acc: 4.56108, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.52978, step_acc: 4.58113, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.52793, step_acc: 4.61290, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.52592, step_acc: 4.62716, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.52447, step_acc: 4.64133, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.52297, step_acc: 4.65871, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.52154, step_acc: 4.67595, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.51989, step_acc: 4.69507, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.51798, step_acc: 4.70948, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.51617, step_acc: 4.72388, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.51495, step_acc: 4.73513, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.51341, step_acc: 4.75538, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.51165, step_acc: 4.77807, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.50968, step_acc: 4.80097, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.50798, step_acc: 4.82566, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.50614, step_acc: 4.84388, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.50450, step_acc: 4.86241, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.50292, step_acc: 4.87802, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.50137, step_acc: 4.90007, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.49956, step_acc: 4.92526, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.49759, step_acc: 4.93983, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.49627, step_acc: 4.96397, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.49441, step_acc: 4.98664, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.49255, step_acc: 5.01496, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.49047, step_acc: 5.03616, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.48878, step_acc: 5.05277, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.48744, step_acc: 5.06300, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.48628, step_acc: 5.07971, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.48479, step_acc: 5.09552, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.48349, step_acc: 5.11759, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.48181, step_acc: 5.15068, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.47933, step_acc: 5.16716, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.47797, step_acc: 5.18176, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.47668, step_acc: 5.21054, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.47436, step_acc: 5.20151, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.47370, step_acc: 5.30235, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.46725, step_acc: 5.36882, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.46253, step_acc: 5.42177, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.45834, step_acc: 5.46120, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.45517, step_acc: 5.48465, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.45289, step_acc: 5.51216, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.45073, step_acc: 5.52683, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.44908, step_acc: 5.54475, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.44752, step_acc: 5.56183, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.44591, step_acc: 5.58750, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.44388, step_acc: 5.61014, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.44173, step_acc: 5.63389, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.43971, step_acc: 5.66322, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.43730, step_acc: 5.71022, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.43413, step_acc: 5.73708, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.43201, step_acc: 5.77327, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.42961, step_acc: 5.81600, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.42641, step_acc: 5.86462, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.42328, step_acc: 5.88550, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.42123, step_acc: 5.90786, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.41942, step_acc: 5.94972, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.41658, step_acc: 5.97603, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.41437, step_acc: 6.00698, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.41203, step_acc: 6.05061, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.40897, step_acc: 6.11016, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.40548, step_acc: 6.17705, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.40193, step_acc: 6.21177, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.39930, step_acc: 6.24451, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.39704, step_acc: 6.27033, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.39468, step_acc: 6.30668, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.39216, step_acc: 6.33856, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.38972, step_acc: 6.37251, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.38727, step_acc: 6.42059, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.38440, step_acc: 6.48036, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.38087, step_acc: 6.53197, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.37778, step_acc: 6.56380, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.37533, step_acc: 6.59711, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.37321, step_acc: 6.64210, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.37074, step_acc: 6.69114, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.36802, step_acc: 6.74840, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.36494, step_acc: 6.80124, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.36202, step_acc: 6.85255, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.35916, step_acc: 6.89267, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.35672, step_acc: 6.96402, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.35310, step_acc: 7.05393, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.34851, step_acc: 7.12682, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.34415, step_acc: 7.18224, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.34078, step_acc: 7.23506, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.33794, step_acc: 7.28718, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.33515, step_acc: 7.35130, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.33186, step_acc: 7.39655, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.32954, step_acc: 7.43862, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.32720, step_acc: 7.48149, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.32463, step_acc: 7.51882, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.32231, step_acc: 7.49478, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.32389, step_acc: 7.55719, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.32104, step_acc: 7.63172, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.31763, step_acc: 7.71237, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.31424, step_acc: 7.79081, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 115, G_loss: 0.31048, step_acc: 7.87392, grid_scale: 1 / 5, strokes: 3 / 9
