initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 2.45111, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.73027, step_acc: 2.46842, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.72736, step_acc: 2.48400, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.72544, step_acc: 2.49314, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.72375, step_acc: 2.49976, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.72263, step_acc: 2.52606, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.71977, step_acc: 2.55228, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.71673, step_acc: 2.56473, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.71480, step_acc: 2.57892, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.71332, step_acc: 2.58950, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.71205, step_acc: 2.60347, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.71029, step_acc: 2.63364, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.70694, step_acc: 2.67084, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.70269, step_acc: 2.69208, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.69937, step_acc: 2.70952, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.69673, step_acc: 2.72148, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.69478, step_acc: 2.73373, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.69289, step_acc: 2.74400, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.69122, step_acc: 2.75828, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.68937, step_acc: 2.76655, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.68794, step_acc: 2.77378, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.68666, step_acc: 2.77924, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.68552, step_acc: 2.78880, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.68415, step_acc: 2.80324, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.68238, step_acc: 2.81490, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.68084, step_acc: 2.82260, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.67953, step_acc: 2.84683, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.67683, step_acc: 2.86883, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.67458, step_acc: 2.88433, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.67271, step_acc: 2.89619, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.67095, step_acc: 2.91161, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.66916, step_acc: 2.92068, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.66778, step_acc: 2.93004, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.66647, step_acc: 2.93996, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.66519, step_acc: 2.95721, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.66320, step_acc: 2.97447, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.66104, step_acc: 2.98813, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.65903, step_acc: 2.99695, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.65756, step_acc: 3.00447, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.65630, step_acc: 3.01368, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.65492, step_acc: 3.02220, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.65357, step_acc: 3.03438, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.65173, step_acc: 3.05222, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.64944, step_acc: 3.06440, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.64762, step_acc: 3.07527, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.64625, step_acc: 3.08334, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.64499, step_acc: 3.09195, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.64384, step_acc: 3.09979, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.64271, step_acc: 3.10942, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.64145, step_acc: 3.12810, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.63948, step_acc: 3.14893, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.63725, step_acc: 3.16422, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.63536, step_acc: 3.17525, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.63375, step_acc: 3.18623, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.63227, step_acc: 3.20138, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.63043, step_acc: 3.11143, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.63631, step_acc: 3.14975, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.63231, step_acc: 3.17337, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.62921, step_acc: 3.20281, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.62604, step_acc: 3.23911, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.62246, step_acc: 3.26843, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.61963, step_acc: 3.28808, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.61704, step_acc: 3.31296, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.61410, step_acc: 3.33520, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.61123, step_acc: 3.37016, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.60748, step_acc: 3.40957, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.60344, step_acc: 3.43393, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.60039, step_acc: 3.46570, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.59698, step_acc: 3.50989, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.59273, step_acc: 3.54827, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.58889, step_acc: 3.57710, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.58569, step_acc: 3.60331, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.58268, step_acc: 3.62802, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.57970, step_acc: 3.64738, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.57723, step_acc: 3.66509, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.57490, step_acc: 3.68432, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.57240, step_acc: 3.71147, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.56939, step_acc: 3.72955, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.56705, step_acc: 3.74361, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.56511, step_acc: 3.76433, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.56281, step_acc: 3.79948, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.55977, step_acc: 3.82000, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.55735, step_acc: 3.84340, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.55468, step_acc: 3.87949, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.55086, step_acc: 3.90324, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.54780, step_acc: 3.92218, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.54549, step_acc: 3.93909, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.54326, step_acc: 3.95440, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.54095, step_acc: 3.96937, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.53905, step_acc: 3.98623, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.53711, step_acc: 4.00214, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.53524, step_acc: 4.03505, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.53220, step_acc: 4.09094, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.52755, step_acc: 4.12879, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.52399, step_acc: 4.16189, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.52079, step_acc: 4.19636, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.51730, step_acc: 4.22984, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.51370, step_acc: 4.25630, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.51069, step_acc: 4.28183, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.50795, step_acc: 4.32002, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.50439, step_acc: 4.36188, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.50059, step_acc: 4.39355, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.49753, step_acc: 4.41713, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.49510, step_acc: 4.44181, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.49266, step_acc: 4.46318, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.49040, step_acc: 4.48218, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.48838, step_acc: 4.49961, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.48649, step_acc: 4.51725, grid_scale: 1 / 5, strokes: 2 / 9
