initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 4.29881, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.55008, step_acc: 4.33694, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.54727, step_acc: 4.37204, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.54462, step_acc: 4.39592, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.54269, step_acc: 4.41702, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.54060, step_acc: 4.44096, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.53843, step_acc: 4.46632, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.53630, step_acc: 4.48595, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.53435, step_acc: 4.50390, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.53269, step_acc: 4.52389, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.53088, step_acc: 4.54740, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.52853, step_acc: 4.57446, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.52623, step_acc: 4.58773, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.52451, step_acc: 4.61089, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.52263, step_acc: 4.63516, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.52076, step_acc: 4.64602, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.51943, step_acc: 4.65461, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.51853, step_acc: 4.66013, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.51752, step_acc: 4.66654, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.51673, step_acc: 4.67296, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.51582, step_acc: 4.68242, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.51502, step_acc: 4.69005, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.51428, step_acc: 4.69705, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.51356, step_acc: 4.70395, grid_scale: 1 / 5, strokes: 1 / 9
