initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.22118, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.63148, step_acc: 3.26202, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.62824, step_acc: 3.28716, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.62604, step_acc: 3.29809, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.62502, step_acc: 3.31477, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.62390, step_acc: 3.32158, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.62338, step_acc: 3.32770, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.62283, step_acc: 3.33791, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.62195, step_acc: 3.35273, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.62071, step_acc: 3.37948, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.61846, step_acc: 3.40389, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.61625, step_acc: 3.42590, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.61421, step_acc: 3.45253, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.61188, step_acc: 3.48622, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.60899, step_acc: 3.50801, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.60680, step_acc: 3.52511, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.60502, step_acc: 3.53959, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.60352, step_acc: 3.55302, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.60207, step_acc: 3.56467, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.60080, step_acc: 3.57749, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.59947, step_acc: 3.59027, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.59819, step_acc: 3.60579, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.59676, step_acc: 3.63797, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.59457, step_acc: 3.64617, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.59339, step_acc: 3.65802, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.59244, step_acc: 3.66838, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.59139, step_acc: 3.67615, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.59045, step_acc: 3.68301, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.58964, step_acc: 3.68913, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.58894, step_acc: 3.69231, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.58838, step_acc: 3.69842, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.58783, step_acc: 3.70391, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.58715, step_acc: 3.71146, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.58646, step_acc: 3.72539, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.58530, step_acc: 3.74093, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.58389, step_acc: 3.76266, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.58192, step_acc: 3.77781, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.58065, step_acc: 3.79660, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.57918, step_acc: 3.81584, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.57770, step_acc: 3.83915, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.57597, step_acc: 3.86313, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.57402, step_acc: 3.88071, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.57229, step_acc: 3.89408, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.57076, step_acc: 3.91096, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.56919, step_acc: 3.92520, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.56772, step_acc: 3.94007, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.56623, step_acc: 3.95390, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.56496, step_acc: 3.96171, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.56382, step_acc: 3.97469, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.56267, step_acc: 3.98867, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.56133, step_acc: 3.99930, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.56014, step_acc: 4.01694, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.55848, step_acc: 4.04024, grid_scale: 1 / 5, strokes: 1 / 9
