initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 3.49554, strokes: 25 / 500
iteration step 1, G_loss: 0.54263, step_psnr: 3.50229, strokes: 25 / 500
iteration step 2, G_loss: 0.54175, step_psnr: 3.50784, strokes: 25 / 500
iteration step 3, G_loss: 0.54110, step_psnr: 3.51307, strokes: 25 / 500
iteration step 4, G_loss: 0.54052, step_psnr: 3.51823, strokes: 25 / 500
iteration step 5, G_loss: 0.53990, step_psnr: 3.52247, strokes: 25 / 500
iteration step 6, G_loss: 0.53936, step_psnr: 3.52787, strokes: 25 / 500
iteration step 7, G_loss: 0.53883, step_psnr: 3.53288, strokes: 25 / 500
iteration step 8, G_loss: 0.53830, step_psnr: 3.53773, strokes: 25 / 500
iteration step 9, G_loss: 0.53774, step_psnr: 3.54308, strokes: 25 / 500
iteration step 10, G_loss: 0.53720, step_psnr: 3.54838, strokes: 25 / 500
iteration step 11, G_loss: 0.53666, step_psnr: 3.55413, strokes: 25 / 500
iteration step 12, G_loss: 0.53606, step_psnr: 3.56089, strokes: 25 / 500
iteration step 13, G_loss: 0.53537, step_psnr: 3.56672, strokes: 25 / 500
iteration step 14, G_loss: 0.53471, step_psnr: 3.57343, strokes: 25 / 500
iteration step 15, G_loss: 0.53405, step_psnr: 3.57963, strokes: 25 / 500
iteration step 16, G_loss: 0.53340, step_psnr: 3.58619, strokes: 25 / 500
iteration step 17, G_loss: 0.53271, step_psnr: 3.59326, strokes: 25 / 500
iteration step 18, G_loss: 0.53200, step_psnr: 3.60043, strokes: 25 / 500
iteration step 19, G_loss: 0.53126, step_psnr: 3.60736, strokes: 25 / 500
iteration step 20, G_loss: 0.53053, step_psnr: 3.61479, strokes: 25 / 500
iteration step 21, G_loss: 0.52979, step_psnr: 3.62238, strokes: 25 / 500
iteration step 22, G_loss: 0.52898, step_psnr: 3.63118, strokes: 25 / 500
iteration step 23, G_loss: 0.52812, step_psnr: 3.64072, strokes: 25 / 500
iteration step 24, G_loss: 0.52720, step_psnr: 3.65001, strokes: 25 / 500
iteration step 25, G_loss: 0.52626, step_psnr: 3.76266, strokes: 50 / 500
iteration step 26, G_loss: 0.51571, step_psnr: 3.80675, strokes: 50 / 500
iteration step 27, G_loss: 0.51141, step_psnr: 3.84171, strokes: 50 / 500
iteration step 28, G_loss: 0.50787, step_psnr: 3.87476, strokes: 50 / 500
iteration step 29, G_loss: 0.50474, step_psnr: 3.90602, strokes: 50 / 500
iteration step 30, G_loss: 0.50173, step_psnr: 3.93660, strokes: 50 / 500
iteration step 31, G_loss: 0.49876, step_psnr: 3.96601, strokes: 50 / 500
iteration step 32, G_loss: 0.49596, step_psnr: 3.99799, strokes: 50 / 500
iteration step 33, G_loss: 0.49297, step_psnr: 4.02880, strokes: 50 / 500
iteration step 34, G_loss: 0.49003, step_psnr: 4.05798, strokes: 50 / 500
iteration step 35, G_loss: 0.48729, step_psnr: 4.08748, strokes: 50 / 500
iteration step 36, G_loss: 0.48450, step_psnr: 4.11675, strokes: 50 / 500
iteration step 37, G_loss: 0.48182, step_psnr: 4.14319, strokes: 50 / 500
iteration step 38, G_loss: 0.47937, step_psnr: 4.17180, strokes: 50 / 500
iteration step 39, G_loss: 0.47672, step_psnr: 4.20018, strokes: 50 / 500
iteration step 40, G_loss: 0.47416, step_psnr: 4.22928, strokes: 50 / 500
iteration step 41, G_loss: 0.47157, step_psnr: 4.25845, strokes: 50 / 500
iteration step 42, G_loss: 0.46897, step_psnr: 4.28605, strokes: 50 / 500
iteration step 43, G_loss: 0.46648, step_psnr: 4.31486, strokes: 50 / 500
iteration step 44, G_loss: 0.46395, step_psnr: 4.34296, strokes: 50 / 500
iteration step 45, G_loss: 0.46145, step_psnr: 4.37310, strokes: 50 / 500
iteration step 46, G_loss: 0.45888, step_psnr: 4.40244, strokes: 50 / 500
iteration step 47, G_loss: 0.45636, step_psnr: 4.43109, strokes: 50 / 500
iteration step 48, G_loss: 0.45390, step_psnr: 4.46019, strokes: 50 / 500
iteration step 49, G_loss: 0.45139, step_psnr: 4.49184, strokes: 50 / 500
iteration step 50, G_loss: 0.44877, step_psnr: 4.61485, strokes: 75 / 500
iteration step 51, G_loss: 0.43894, step_psnr: 4.68023, strokes: 75 / 500
iteration step 52, G_loss: 0.43350, step_psnr: 4.73856, strokes: 75 / 500
iteration step 53, G_loss: 0.42868, step_psnr: 4.79413, strokes: 75 / 500
iteration step 54, G_loss: 0.42421, step_psnr: 4.84244, strokes: 75 / 500
iteration step 55, G_loss: 0.42022, step_psnr: 4.89408, strokes: 75 / 500
iteration step 56, G_loss: 0.41615, step_psnr: 4.94203, strokes: 75 / 500
iteration step 57, G_loss: 0.41231, step_psnr: 4.98904, strokes: 75 / 500
iteration step 58, G_loss: 0.40863, step_psnr: 5.03735, strokes: 75 / 500
iteration step 59, G_loss: 0.40492, step_psnr: 5.08437, strokes: 75 / 500
iteration step 60, G_loss: 0.40123, step_psnr: 5.13425, strokes: 75 / 500
iteration step 61, G_loss: 0.39753, step_psnr: 5.18020, strokes: 75 / 500
iteration step 62, G_loss: 0.39398, step_psnr: 5.22774, strokes: 75 / 500
iteration step 63, G_loss: 0.39050, step_psnr: 5.27538, strokes: 75 / 500
iteration step 64, G_loss: 0.38695, step_psnr: 5.32360, strokes: 75 / 500
iteration step 65, G_loss: 0.38342, step_psnr: 5.37045, strokes: 75 / 500
iteration step 66, G_loss: 0.38004, step_psnr: 5.41535, strokes: 75 / 500
iteration step 67, G_loss: 0.37674, step_psnr: 5.46254, strokes: 75 / 500
iteration step 68, G_loss: 0.37340, step_psnr: 5.50832, strokes: 75 / 500
iteration step 69, G_loss: 0.37016, step_psnr: 5.55458, strokes: 75 / 500
iteration step 70, G_loss: 0.36693, step_psnr: 5.60018, strokes: 75 / 500
iteration step 71, G_loss: 0.36370, step_psnr: 5.64775, strokes: 75 / 500
iteration step 72, G_loss: 0.36053, step_psnr: 5.69563, strokes: 75 / 500
iteration step 73, G_loss: 0.35738, step_psnr: 5.74215, strokes: 75 / 500
iteration step 74, G_loss: 0.35426, step_psnr: 5.79115, strokes: 75 / 500
iteration step 75, G_loss: 0.35107, step_psnr: 5.98273, strokes: 100 / 500
iteration step 76, G_loss: 0.33962, step_psnr: 6.09401, strokes: 100 / 500
iteration step 77, G_loss: 0.33278, step_psnr: 6.18851, strokes: 100 / 500
iteration step 78, G_loss: 0.32705, step_psnr: 6.27513, strokes: 100 / 500
iteration step 79, G_loss: 0.32190, step_psnr: 6.36070, strokes: 100 / 500
iteration step 80, G_loss: 0.31690, step_psnr: 6.44002, strokes: 100 / 500
iteration step 81, G_loss: 0.31237, step_psnr: 6.51606, strokes: 100 / 500
iteration step 82, G_loss: 0.30795, step_psnr: 6.59251, strokes: 100 / 500
iteration step 83, G_loss: 0.30370, step_psnr: 6.66504, strokes: 100 / 500
iteration step 84, G_loss: 0.29962, step_psnr: 6.74057, strokes: 100 / 500
iteration step 85, G_loss: 0.29562, step_psnr: 6.81885, strokes: 100 / 500
iteration step 86, G_loss: 0.29143, step_psnr: 6.89954, strokes: 100 / 500
iteration step 87, G_loss: 0.28728, step_psnr: 6.97982, strokes: 100 / 500
iteration step 88, G_loss: 0.28316, step_psnr: 7.05505, strokes: 100 / 500
iteration step 89, G_loss: 0.27928, step_psnr: 7.13938, strokes: 100 / 500
iteration step 90, G_loss: 0.27524, step_psnr: 7.22248, strokes: 100 / 500
iteration step 91, G_loss: 0.27121, step_psnr: 7.30582, strokes: 100 / 500
iteration step 92, G_loss: 0.26717, step_psnr: 7.38933, strokes: 100 / 500
iteration step 93, G_loss: 0.26326, step_psnr: 7.46964, strokes: 100 / 500
iteration step 94, G_loss: 0.25948, step_psnr: 7.54899, strokes: 100 / 500
iteration step 95, G_loss: 0.25578, step_psnr: 7.62729, strokes: 100 / 500
iteration step 96, G_loss: 0.25222, step_psnr: 7.70498, strokes: 100 / 500
iteration step 97, G_loss: 0.24872, step_psnr: 7.78329, strokes: 100 / 500
iteration step 98, G_loss: 0.24529, step_psnr: 7.86367, strokes: 100 / 500
iteration step 99, G_loss: 0.24191, step_psnr: 7.94645, strokes: 100 / 500
iteration step 100, G_loss: 0.23842, step_psnr: 8.26450, strokes: 125 / 500
iteration step 101, G_loss: 0.22713, step_psnr: 8.41954, strokes: 125 / 500
iteration step 102, G_loss: 0.22113, step_psnr: 8.56506, strokes: 125 / 500
iteration step 103, G_loss: 0.21581, step_psnr: 8.71257, strokes: 125 / 500
iteration step 104, G_loss: 0.21069, step_psnr: 8.85830, strokes: 125 / 500
iteration step 105, G_loss: 0.20573, step_psnr: 9.00451, strokes: 125 / 500
iteration step 106, G_loss: 0.20100, step_psnr: 9.14314, strokes: 125 / 500
iteration step 107, G_loss: 0.19637, step_psnr: 9.27874, strokes: 125 / 500
iteration step 108, G_loss: 0.19207, step_psnr: 9.41173, strokes: 125 / 500
iteration step 109, G_loss: 0.18797, step_psnr: 9.54654, strokes: 125 / 500
iteration step 110, G_loss: 0.18397, step_psnr: 9.68401, strokes: 125 / 500
iteration step 111, G_loss: 0.18000, step_psnr: 9.81615, strokes: 125 / 500
iteration step 112, G_loss: 0.17623, step_psnr: 9.94670, strokes: 125 / 500
iteration step 113, G_loss: 0.17267, step_psnr: 10.07174, strokes: 125 / 500
iteration step 114, G_loss: 0.16929, step_psnr: 10.19099, strokes: 125 / 500
iteration step 115, G_loss: 0.16617, step_psnr: 10.30596, strokes: 125 / 500
iteration step 116, G_loss: 0.16316, step_psnr: 10.41919, strokes: 125 / 500
iteration step 117, G_loss: 0.16031, step_psnr: 10.53032, strokes: 125 / 500
iteration step 118, G_loss: 0.15753, step_psnr: 10.64253, strokes: 125 / 500
iteration step 119, G_loss: 0.15484, step_psnr: 10.75145, strokes: 125 / 500
iteration step 120, G_loss: 0.15214, step_psnr: 10.86379, strokes: 125 / 500
iteration step 121, G_loss: 0.14961, step_psnr: 10.97683, strokes: 125 / 500
iteration step 122, G_loss: 0.14705, step_psnr: 11.08693, strokes: 125 / 500
iteration step 123, G_loss: 0.14462, step_psnr: 11.19760, strokes: 125 / 500
iteration step 124, G_loss: 0.14224, step_psnr: 11.30649, strokes: 125 / 500
iteration step 125, G_loss: 0.13999, step_psnr: 11.72944, strokes: 150 / 500
iteration step 126, G_loss: 0.13320, step_psnr: 11.93623, strokes: 150 / 500
iteration step 127, G_loss: 0.12933, step_psnr: 12.12842, strokes: 150 / 500
iteration step 128, G_loss: 0.12594, step_psnr: 12.29805, strokes: 150 / 500
iteration step 129, G_loss: 0.12300, step_psnr: 12.44426, strokes: 150 / 500
iteration step 130, G_loss: 0.12052, step_psnr: 12.59654, strokes: 150 / 500
iteration step 131, G_loss: 0.11809, step_psnr: 12.73445, strokes: 150 / 500
iteration step 132, G_loss: 0.11591, step_psnr: 12.86619, strokes: 150 / 500
iteration step 133, G_loss: 0.11384, step_psnr: 12.99529, strokes: 150 / 500
iteration step 134, G_loss: 0.11191, step_psnr: 13.12370, strokes: 150 / 500
iteration step 135, G_loss: 0.11007, step_psnr: 13.24443, strokes: 150 / 500
iteration step 136, G_loss: 0.10832, step_psnr: 13.36545, strokes: 150 / 500
iteration step 137, G_loss: 0.10663, step_psnr: 13.48179, strokes: 150 / 500
iteration step 138, G_loss: 0.10506, step_psnr: 13.59895, strokes: 150 / 500
iteration step 139, G_loss: 0.10352, step_psnr: 13.71194, strokes: 150 / 500
iteration step 140, G_loss: 0.10203, step_psnr: 13.82471, strokes: 150 / 500
iteration step 141, G_loss: 0.10056, step_psnr: 13.93603, strokes: 150 / 500
iteration step 142, G_loss: 0.09921, step_psnr: 14.04696, strokes: 150 / 500
iteration step 143, G_loss: 0.09786, step_psnr: 14.15030, strokes: 150 / 500
iteration step 144, G_loss: 0.09662, step_psnr: 14.26233, strokes: 150 / 500
iteration step 145, G_loss: 0.09532, step_psnr: 14.36303, strokes: 150 / 500
iteration step 146, G_loss: 0.09416, step_psnr: 14.46732, strokes: 150 / 500
iteration step 147, G_loss: 0.09298, step_psnr: 14.57439, strokes: 150 / 500
iteration step 148, G_loss: 0.09180, step_psnr: 14.67735, strokes: 150 / 500
iteration step 149, G_loss: 0.09070, step_psnr: 14.76995, strokes: 150 / 500
iteration step 150, G_loss: 0.08973, step_psnr: 15.07492, strokes: 175 / 500
iteration step 151, G_loss: 0.08738, step_psnr: 15.25825, strokes: 175 / 500
iteration step 152, G_loss: 0.08549, step_psnr: 15.45806, strokes: 175 / 500
iteration step 153, G_loss: 0.08372, step_psnr: 15.61338, strokes: 175 / 500
iteration step 154, G_loss: 0.08233, step_psnr: 15.76963, strokes: 175 / 500
iteration step 155, G_loss: 0.08092, step_psnr: 15.89085, strokes: 175 / 500
iteration step 156, G_loss: 0.07987, step_psnr: 16.00943, strokes: 175 / 500
iteration step 157, G_loss: 0.07885, step_psnr: 16.11220, strokes: 175 / 500
iteration step 158, G_loss: 0.07799, step_psnr: 16.23131, strokes: 175 / 500
iteration step 159, G_loss: 0.07703, step_psnr: 16.32745, strokes: 175 / 500
iteration step 160, G_loss: 0.07623, step_psnr: 16.43275, strokes: 175 / 500
iteration step 161, G_loss: 0.07545, step_psnr: 16.52520, strokes: 175 / 500
