initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 3.31592, strokes: 25 / 500
iteration step 1, G_loss: 0.62829, step_psnr: 3.33096, strokes: 25 / 500
iteration step 2, G_loss: 0.62614, step_psnr: 3.34497, strokes: 25 / 500
iteration step 3, G_loss: 0.62430, step_psnr: 3.35763, strokes: 25 / 500
iteration step 4, G_loss: 0.62264, step_psnr: 3.36902, strokes: 25 / 500
iteration step 5, G_loss: 0.62112, step_psnr: 3.37913, strokes: 25 / 500
iteration step 6, G_loss: 0.61978, step_psnr: 3.38956, strokes: 25 / 500
iteration step 7, G_loss: 0.61843, step_psnr: 3.39906, strokes: 25 / 500
iteration step 8, G_loss: 0.61720, step_psnr: 3.40847, strokes: 25 / 500
iteration step 9, G_loss: 0.61598, step_psnr: 3.41843, strokes: 25 / 500
iteration step 10, G_loss: 0.61472, step_psnr: 3.42852, strokes: 25 / 500
iteration step 11, G_loss: 0.61345, step_psnr: 3.43789, strokes: 25 / 500
iteration step 12, G_loss: 0.61222, step_psnr: 3.44745, strokes: 25 / 500
iteration step 13, G_loss: 0.61103, step_psnr: 3.45703, strokes: 25 / 500
iteration step 14, G_loss: 0.60987, step_psnr: 3.46706, strokes: 25 / 500
iteration step 15, G_loss: 0.60865, step_psnr: 3.47597, strokes: 25 / 500
iteration step 16, G_loss: 0.60752, step_psnr: 3.48543, strokes: 25 / 500
iteration step 17, G_loss: 0.60636, step_psnr: 3.49423, strokes: 25 / 500
iteration step 18, G_loss: 0.60526, step_psnr: 3.50268, strokes: 25 / 500
iteration step 19, G_loss: 0.60420, step_psnr: 3.51110, strokes: 25 / 500
iteration step 20, G_loss: 0.60312, step_psnr: 3.51983, strokes: 25 / 500
iteration step 21, G_loss: 0.60203, step_psnr: 3.52875, strokes: 25 / 500
iteration step 22, G_loss: 0.60087, step_psnr: 3.53818, strokes: 25 / 500
iteration step 23, G_loss: 0.59973, step_psnr: 3.54654, strokes: 25 / 500
iteration step 24, G_loss: 0.59865, step_psnr: 3.55423, strokes: 25 / 500
iteration step 25, G_loss: 0.59762, step_psnr: 3.63980, strokes: 50 / 500
iteration step 26, G_loss: 0.58841, step_psnr: 3.67580, strokes: 50 / 500
iteration step 27, G_loss: 0.58439, step_psnr: 3.70691, strokes: 50 / 500
iteration step 28, G_loss: 0.58098, step_psnr: 3.73639, strokes: 50 / 500
iteration step 29, G_loss: 0.57775, step_psnr: 3.76546, strokes: 50 / 500
iteration step 30, G_loss: 0.57453, step_psnr: 3.79276, strokes: 50 / 500
iteration step 31, G_loss: 0.57151, step_psnr: 3.81979, strokes: 50 / 500
iteration step 32, G_loss: 0.56855, step_psnr: 3.84490, strokes: 50 / 500
iteration step 33, G_loss: 0.56574, step_psnr: 3.87173, strokes: 50 / 500
iteration step 34, G_loss: 0.56286, step_psnr: 3.89675, strokes: 50 / 500
iteration step 35, G_loss: 0.56012, step_psnr: 3.92268, strokes: 50 / 500
iteration step 36, G_loss: 0.55731, step_psnr: 3.94690, strokes: 50 / 500
iteration step 37, G_loss: 0.55464, step_psnr: 3.97015, strokes: 50 / 500
iteration step 38, G_loss: 0.55213, step_psnr: 3.99545, strokes: 50 / 500
iteration step 39, G_loss: 0.54945, step_psnr: 4.02093, strokes: 50 / 500
iteration step 40, G_loss: 0.54673, step_psnr: 4.04528, strokes: 50 / 500
iteration step 41, G_loss: 0.54416, step_psnr: 4.06974, strokes: 50 / 500
iteration step 42, G_loss: 0.54156, step_psnr: 4.09617, strokes: 50 / 500
iteration step 43, G_loss: 0.53888, step_psnr: 4.12205, strokes: 50 / 500
iteration step 44, G_loss: 0.53624, step_psnr: 4.14635, strokes: 50 / 500
iteration step 45, G_loss: 0.53366, step_psnr: 4.17095, strokes: 50 / 500
iteration step 46, G_loss: 0.53119, step_psnr: 4.19458, strokes: 50 / 500
iteration step 47, G_loss: 0.52872, step_psnr: 4.21829, strokes: 50 / 500
iteration step 48, G_loss: 0.52632, step_psnr: 4.24381, strokes: 50 / 500
iteration step 49, G_loss: 0.52379, step_psnr: 4.26860, strokes: 50 / 500
iteration step 50, G_loss: 0.52133, step_psnr: 4.39535, strokes: 75 / 500
iteration step 51, G_loss: 0.50974, step_psnr: 4.45796, strokes: 75 / 500
iteration step 52, G_loss: 0.50401, step_psnr: 4.51098, strokes: 75 / 500
iteration step 53, G_loss: 0.49904, step_psnr: 4.56032, strokes: 75 / 500
iteration step 54, G_loss: 0.49438, step_psnr: 4.60984, strokes: 75 / 500
iteration step 55, G_loss: 0.48987, step_psnr: 4.65825, strokes: 75 / 500
iteration step 56, G_loss: 0.48551, step_psnr: 4.70691, strokes: 75 / 500
iteration step 57, G_loss: 0.48104, step_psnr: 4.75116, strokes: 75 / 500
iteration step 58, G_loss: 0.47712, step_psnr: 4.79774, strokes: 75 / 500
iteration step 59, G_loss: 0.47297, step_psnr: 4.84361, strokes: 75 / 500
iteration step 60, G_loss: 0.46890, step_psnr: 4.89302, strokes: 75 / 500
iteration step 61, G_loss: 0.46466, step_psnr: 4.94064, strokes: 75 / 500
iteration step 62, G_loss: 0.46057, step_psnr: 4.98743, strokes: 75 / 500
iteration step 63, G_loss: 0.45655, step_psnr: 5.03544, strokes: 75 / 500
iteration step 64, G_loss: 0.45251, step_psnr: 5.08119, strokes: 75 / 500
iteration step 65, G_loss: 0.44872, step_psnr: 5.12929, strokes: 75 / 500
iteration step 66, G_loss: 0.44473, step_psnr: 5.17670, strokes: 75 / 500
iteration step 67, G_loss: 0.44082, step_psnr: 5.22236, strokes: 75 / 500
iteration step 68, G_loss: 0.43702, step_psnr: 5.27034, strokes: 75 / 500
iteration step 69, G_loss: 0.43317, step_psnr: 5.31637, strokes: 75 / 500
iteration step 70, G_loss: 0.42943, step_psnr: 5.36679, strokes: 75 / 500
iteration step 71, G_loss: 0.42551, step_psnr: 5.41764, strokes: 75 / 500
iteration step 72, G_loss: 0.42156, step_psnr: 5.47009, strokes: 75 / 500
iteration step 73, G_loss: 0.41763, step_psnr: 5.51974, strokes: 75 / 500
iteration step 74, G_loss: 0.41381, step_psnr: 5.56902, strokes: 75 / 500
iteration step 75, G_loss: 0.41004, step_psnr: 5.73695, strokes: 100 / 500
iteration step 76, G_loss: 0.39820, step_psnr: 5.82308, strokes: 100 / 500
iteration step 77, G_loss: 0.39197, step_psnr: 5.91048, strokes: 100 / 500
iteration step 78, G_loss: 0.38587, step_psnr: 5.98925, strokes: 100 / 500
iteration step 79, G_loss: 0.38040, step_psnr: 6.06523, strokes: 100 / 500
iteration step 80, G_loss: 0.37525, step_psnr: 6.13673, strokes: 100 / 500
iteration step 81, G_loss: 0.37044, step_psnr: 6.21042, strokes: 100 / 500
iteration step 82, G_loss: 0.36560, step_psnr: 6.28402, strokes: 100 / 500
iteration step 83, G_loss: 0.36085, step_psnr: 6.35753, strokes: 100 / 500
iteration step 84, G_loss: 0.35622, step_psnr: 6.42889, strokes: 100 / 500
iteration step 85, G_loss: 0.35176, step_psnr: 6.50115, strokes: 100 / 500
iteration step 86, G_loss: 0.34737, step_psnr: 6.57135, strokes: 100 / 500
iteration step 87, G_loss: 0.34304, step_psnr: 6.64436, strokes: 100 / 500
iteration step 88, G_loss: 0.33872, step_psnr: 6.71251, strokes: 100 / 500
iteration step 89, G_loss: 0.33461, step_psnr: 6.78057, strokes: 100 / 500
iteration step 90, G_loss: 0.33064, step_psnr: 6.85121, strokes: 100 / 500
iteration step 91, G_loss: 0.32654, step_psnr: 6.91995, strokes: 100 / 500
iteration step 92, G_loss: 0.32269, step_psnr: 6.98949, strokes: 100 / 500
iteration step 93, G_loss: 0.31875, step_psnr: 7.05974, strokes: 100 / 500
iteration step 94, G_loss: 0.31496, step_psnr: 7.13448, strokes: 100 / 500
iteration step 95, G_loss: 0.31097, step_psnr: 7.20942, strokes: 100 / 500
iteration step 96, G_loss: 0.30710, step_psnr: 7.28434, strokes: 100 / 500
iteration step 97, G_loss: 0.30315, step_psnr: 7.35816, strokes: 100 / 500
iteration step 98, G_loss: 0.29939, step_psnr: 7.43033, strokes: 100 / 500
iteration step 99, G_loss: 0.29567, step_psnr: 7.50294, strokes: 100 / 500
iteration step 100, G_loss: 0.29201, step_psnr: 7.72866, strokes: 125 / 500
iteration step 101, G_loss: 0.28148, step_psnr: 7.86450, strokes: 125 / 500
iteration step 102, G_loss: 0.27531, step_psnr: 7.97619, strokes: 125 / 500
iteration step 103, G_loss: 0.27005, step_psnr: 8.09603, strokes: 125 / 500
iteration step 104, G_loss: 0.26498, step_psnr: 8.20006, strokes: 125 / 500
iteration step 105, G_loss: 0.26045, step_psnr: 8.30745, strokes: 125 / 500
iteration step 106, G_loss: 0.25598, step_psnr: 8.41702, strokes: 125 / 500
iteration step 107, G_loss: 0.25164, step_psnr: 8.52347, strokes: 125 / 500
iteration step 108, G_loss: 0.24728, step_psnr: 8.62625, strokes: 125 / 500
iteration step 109, G_loss: 0.24322, step_psnr: 8.73088, strokes: 125 / 500
iteration step 110, G_loss: 0.23921, step_psnr: 8.83564, strokes: 125 / 500
iteration step 111, G_loss: 0.23530, step_psnr: 8.93653, strokes: 125 / 500
iteration step 112, G_loss: 0.23156, step_psnr: 9.03840, strokes: 125 / 500
iteration step 113, G_loss: 0.22789, step_psnr: 9.13771, strokes: 125 / 500
iteration step 114, G_loss: 0.22438, step_psnr: 9.23210, strokes: 125 / 500
iteration step 115, G_loss: 0.22107, step_psnr: 9.33526, strokes: 125 / 500
iteration step 116, G_loss: 0.21759, step_psnr: 9.43498, strokes: 125 / 500
iteration step 117, G_loss: 0.21427, step_psnr: 9.53095, strokes: 125 / 500
