initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 9.81260, strokes: 25 / 500
iteration step 1, G_loss: 0.16687, step_psnr: 9.82319, strokes: 25 / 500
iteration step 2, G_loss: 0.16640, step_psnr: 9.83155, strokes: 25 / 500
iteration step 3, G_loss: 0.16610, step_psnr: 9.84098, strokes: 25 / 500
iteration step 4, G_loss: 0.16582, step_psnr: 9.84936, strokes: 25 / 500
iteration step 5, G_loss: 0.16559, step_psnr: 9.85872, strokes: 25 / 500
iteration step 6, G_loss: 0.16535, step_psnr: 9.86868, strokes: 25 / 500
iteration step 7, G_loss: 0.16508, step_psnr: 9.87771, strokes: 25 / 500
iteration step 8, G_loss: 0.16484, step_psnr: 9.88715, strokes: 25 / 500
iteration step 9, G_loss: 0.16459, step_psnr: 9.89779, strokes: 25 / 500
iteration step 10, G_loss: 0.16432, step_psnr: 9.90779, strokes: 25 / 500
iteration step 11, G_loss: 0.16405, step_psnr: 9.91734, strokes: 25 / 500
iteration step 12, G_loss: 0.16380, step_psnr: 9.92724, strokes: 25 / 500
iteration step 13, G_loss: 0.16355, step_psnr: 9.93779, strokes: 25 / 500
iteration step 14, G_loss: 0.16328, step_psnr: 9.94969, strokes: 25 / 500
iteration step 15, G_loss: 0.16299, step_psnr: 9.96133, strokes: 25 / 500
iteration step 16, G_loss: 0.16269, step_psnr: 9.97474, strokes: 25 / 500
iteration step 17, G_loss: 0.16238, step_psnr: 9.98762, strokes: 25 / 500
iteration step 18, G_loss: 0.16210, step_psnr: 10.00095, strokes: 25 / 500
iteration step 19, G_loss: 0.16181, step_psnr: 10.01439, strokes: 25 / 500
iteration step 20, G_loss: 0.16150, step_psnr: 10.02774, strokes: 25 / 500
iteration step 21, G_loss: 0.16121, step_psnr: 10.04008, strokes: 25 / 500
iteration step 22, G_loss: 0.16093, step_psnr: 10.05271, strokes: 25 / 500
iteration step 23, G_loss: 0.16063, step_psnr: 10.06421, strokes: 25 / 500
iteration step 24, G_loss: 0.16037, step_psnr: 10.07399, strokes: 25 / 500
iteration step 25, G_loss: 0.16012, step_psnr: 10.20761, strokes: 50 / 500
iteration step 26, G_loss: 0.15779, step_psnr: 10.26929, strokes: 50 / 500
iteration step 27, G_loss: 0.15612, step_psnr: 10.32441, strokes: 50 / 500
iteration step 28, G_loss: 0.15466, step_psnr: 10.37216, strokes: 50 / 500
iteration step 29, G_loss: 0.15343, step_psnr: 10.41770, strokes: 50 / 500
iteration step 30, G_loss: 0.15233, step_psnr: 10.46190, strokes: 50 / 500
iteration step 31, G_loss: 0.15125, step_psnr: 10.50171, strokes: 50 / 500
iteration step 32, G_loss: 0.15029, step_psnr: 10.54527, strokes: 50 / 500
iteration step 33, G_loss: 0.14928, step_psnr: 10.58406, strokes: 50 / 500
iteration step 34, G_loss: 0.14835, step_psnr: 10.62751, strokes: 50 / 500
iteration step 35, G_loss: 0.14736, step_psnr: 10.66845, strokes: 50 / 500
iteration step 36, G_loss: 0.14642, step_psnr: 10.71159, strokes: 50 / 500
iteration step 37, G_loss: 0.14545, step_psnr: 10.75472, strokes: 50 / 500
iteration step 38, G_loss: 0.14452, step_psnr: 10.79348, strokes: 50 / 500
iteration step 39, G_loss: 0.14364, step_psnr: 10.83117, strokes: 50 / 500
iteration step 40, G_loss: 0.14278, step_psnr: 10.86847, strokes: 50 / 500
iteration step 41, G_loss: 0.14195, step_psnr: 10.90366, strokes: 50 / 500
iteration step 42, G_loss: 0.14115, step_psnr: 10.94108, strokes: 50 / 500
iteration step 43, G_loss: 0.14033, step_psnr: 10.97943, strokes: 50 / 500
iteration step 44, G_loss: 0.13951, step_psnr: 11.01791, strokes: 50 / 500
iteration step 45, G_loss: 0.13871, step_psnr: 11.05728, strokes: 50 / 500
iteration step 46, G_loss: 0.13791, step_psnr: 11.09520, strokes: 50 / 500
iteration step 47, G_loss: 0.13711, step_psnr: 11.13578, strokes: 50 / 500
iteration step 48, G_loss: 0.13629, step_psnr: 11.17480, strokes: 50 / 500
iteration step 49, G_loss: 0.13551, step_psnr: 11.21251, strokes: 50 / 500
iteration step 50, G_loss: 0.13477, step_psnr: 11.35181, strokes: 75 / 500
iteration step 51, G_loss: 0.13296, step_psnr: 11.44514, strokes: 75 / 500
iteration step 52, G_loss: 0.13086, step_psnr: 11.53458, strokes: 75 / 500
iteration step 53, G_loss: 0.12899, step_psnr: 11.61019, strokes: 75 / 500
iteration step 54, G_loss: 0.12746, step_psnr: 11.68309, strokes: 75 / 500
iteration step 55, G_loss: 0.12597, step_psnr: 11.75517, strokes: 75 / 500
iteration step 56, G_loss: 0.12458, step_psnr: 11.83321, strokes: 75 / 500
iteration step 57, G_loss: 0.12316, step_psnr: 11.90543, strokes: 75 / 500
iteration step 58, G_loss: 0.12174, step_psnr: 11.97458, strokes: 75 / 500
iteration step 59, G_loss: 0.12044, step_psnr: 12.04474, strokes: 75 / 500
iteration step 60, G_loss: 0.11920, step_psnr: 12.10698, strokes: 75 / 500
iteration step 61, G_loss: 0.11803, step_psnr: 12.17609, strokes: 75 / 500
iteration step 62, G_loss: 0.11685, step_psnr: 12.23108, strokes: 75 / 500
iteration step 63, G_loss: 0.11582, step_psnr: 12.29446, strokes: 75 / 500
iteration step 64, G_loss: 0.11474, step_psnr: 12.35784, strokes: 75 / 500
iteration step 65, G_loss: 0.11368, step_psnr: 12.41654, strokes: 75 / 500
iteration step 66, G_loss: 0.11267, step_psnr: 12.48503, strokes: 75 / 500
iteration step 67, G_loss: 0.11154, step_psnr: 12.54591, strokes: 75 / 500
iteration step 68, G_loss: 0.11054, step_psnr: 12.60398, strokes: 75 / 500
iteration step 69, G_loss: 0.10956, step_psnr: 12.66051, strokes: 75 / 500
iteration step 70, G_loss: 0.10863, step_psnr: 12.71469, strokes: 75 / 500
iteration step 71, G_loss: 0.10778, step_psnr: 12.76258, strokes: 75 / 500
iteration step 72, G_loss: 0.10699, step_psnr: 12.81587, strokes: 75 / 500
iteration step 73, G_loss: 0.10621, step_psnr: 12.86534, strokes: 75 / 500
iteration step 74, G_loss: 0.10543, step_psnr: 12.92068, strokes: 75 / 500
iteration step 75, G_loss: 0.10463, step_psnr: 13.11535, strokes: 100 / 500
iteration step 76, G_loss: 0.10296, step_psnr: 13.24740, strokes: 100 / 500
iteration step 77, G_loss: 0.10100, step_psnr: 13.35568, strokes: 100 / 500
iteration step 78, G_loss: 0.09949, step_psnr: 13.45477, strokes: 100 / 500
iteration step 79, G_loss: 0.09812, step_psnr: 13.53967, strokes: 100 / 500
iteration step 80, G_loss: 0.09700, step_psnr: 13.62044, strokes: 100 / 500
iteration step 81, G_loss: 0.09596, step_psnr: 13.70398, strokes: 100 / 500
iteration step 82, G_loss: 0.09495, step_psnr: 13.79283, strokes: 100 / 500
iteration step 83, G_loss: 0.09388, step_psnr: 13.86787, strokes: 100 / 500
iteration step 84, G_loss: 0.09293, step_psnr: 13.93357, strokes: 100 / 500
iteration step 85, G_loss: 0.09209, step_psnr: 14.00210, strokes: 100 / 500
iteration step 86, G_loss: 0.09125, step_psnr: 14.06096, strokes: 100 / 500
iteration step 87, G_loss: 0.09050, step_psnr: 14.11375, strokes: 100 / 500
iteration step 88, G_loss: 0.08983, step_psnr: 14.17299, strokes: 100 / 500
iteration step 89, G_loss: 0.08917, step_psnr: 14.22838, strokes: 100 / 500
iteration step 90, G_loss: 0.08849, step_psnr: 14.29083, strokes: 100 / 500
iteration step 91, G_loss: 0.08785, step_psnr: 14.33812, strokes: 100 / 500
iteration step 92, G_loss: 0.08725, step_psnr: 14.39538, strokes: 100 / 500
iteration step 93, G_loss: 0.08667, step_psnr: 14.44096, strokes: 100 / 500
iteration step 94, G_loss: 0.08609, step_psnr: 14.50146, strokes: 100 / 500
iteration step 95, G_loss: 0.08550, step_psnr: 14.55095, strokes: 100 / 500
iteration step 96, G_loss: 0.08492, step_psnr: 14.60945, strokes: 100 / 500
iteration step 97, G_loss: 0.08436, step_psnr: 14.66249, strokes: 100 / 500
iteration step 98, G_loss: 0.08378, step_psnr: 14.71665, strokes: 100 / 500
iteration step 99, G_loss: 0.08323, step_psnr: 14.77660, strokes: 100 / 500
iteration step 100, G_loss: 0.08262, step_psnr: 14.96954, strokes: 125 / 500
iteration step 101, G_loss: 0.08221, step_psnr: 15.10316, strokes: 125 / 500
iteration step 102, G_loss: 0.08076, step_psnr: 15.23611, strokes: 125 / 500
iteration step 103, G_loss: 0.07953, step_psnr: 15.34130, strokes: 125 / 500
iteration step 104, G_loss: 0.07855, step_psnr: 15.44140, strokes: 125 / 500
iteration step 105, G_loss: 0.07762, step_psnr: 15.53210, strokes: 125 / 500
iteration step 106, G_loss: 0.07682, step_psnr: 15.62032, strokes: 125 / 500
iteration step 107, G_loss: 0.07609, step_psnr: 15.70603, strokes: 125 / 500
iteration step 108, G_loss: 0.07535, step_psnr: 15.77915, strokes: 125 / 500
iteration step 109, G_loss: 0.07469, step_psnr: 15.85401, strokes: 125 / 500
iteration step 110, G_loss: 0.07405, step_psnr: 15.91699, strokes: 125 / 500
iteration step 111, G_loss: 0.07352, step_psnr: 15.97928, strokes: 125 / 500
iteration step 112, G_loss: 0.07298, step_psnr: 16.03014, strokes: 125 / 500
iteration step 113, G_loss: 0.07254, step_psnr: 16.08887, strokes: 125 / 500
iteration step 114, G_loss: 0.07204, step_psnr: 16.14241, strokes: 125 / 500
iteration step 115, G_loss: 0.07157, step_psnr: 16.19115, strokes: 125 / 500
iteration step 116, G_loss: 0.07113, step_psnr: 16.23796, strokes: 125 / 500
iteration step 117, G_loss: 0.07077, step_psnr: 16.28137, strokes: 125 / 500
iteration step 118, G_loss: 0.07037, step_psnr: 16.32868, strokes: 125 / 500
iteration step 119, G_loss: 0.07002, step_psnr: 16.36962, strokes: 125 / 500
iteration step 120, G_loss: 0.06964, step_psnr: 16.41544, strokes: 125 / 500
iteration step 121, G_loss: 0.06931, step_psnr: 16.45713, strokes: 125 / 500
iteration step 122, G_loss: 0.06899, step_psnr: 16.50043, strokes: 125 / 500
iteration step 123, G_loss: 0.06865, step_psnr: 16.54064, strokes: 125 / 500
iteration step 124, G_loss: 0.06830, step_psnr: 16.57862, strokes: 125 / 500
iteration step 125, G_loss: 0.06801, step_psnr: 16.73852, strokes: 150 / 500
iteration step 126, G_loss: 0.06805, step_psnr: 16.85106, strokes: 150 / 500
iteration step 127, G_loss: 0.06706, step_psnr: 16.93127, strokes: 150 / 500
iteration step 128, G_loss: 0.06640, step_psnr: 17.00955, strokes: 150 / 500
iteration step 129, G_loss: 0.06581, step_psnr: 17.07559, strokes: 150 / 500
iteration step 130, G_loss: 0.06526, step_psnr: 17.13498, strokes: 150 / 500
iteration step 131, G_loss: 0.06478, step_psnr: 17.18301, strokes: 150 / 500
iteration step 132, G_loss: 0.06436, step_psnr: 17.23291, strokes: 150 / 500
iteration step 133, G_loss: 0.06398, step_psnr: 17.27244, strokes: 150 / 500
iteration step 134, G_loss: 0.06363, step_psnr: 17.31831, strokes: 150 / 500
iteration step 135, G_loss: 0.06330, step_psnr: 17.35256, strokes: 150 / 500
iteration step 136, G_loss: 0.06298, step_psnr: 17.39311, strokes: 150 / 500
iteration step 137, G_loss: 0.06268, step_psnr: 17.42536, strokes: 150 / 500
iteration step 138, G_loss: 0.06239, step_psnr: 17.46890, strokes: 150 / 500
iteration step 139, G_loss: 0.06210, step_psnr: 17.50220, strokes: 150 / 500
iteration step 140, G_loss: 0.06180, step_psnr: 17.55024, strokes: 150 / 500
iteration step 141, G_loss: 0.06148, step_psnr: 17.58770, strokes: 150 / 500
iteration step 142, G_loss: 0.06119, step_psnr: 17.62220, strokes: 150 / 500
iteration step 143, G_loss: 0.06096, step_psnr: 17.64848, strokes: 150 / 500
iteration step 144, G_loss: 0.06074, step_psnr: 17.69038, strokes: 150 / 500
iteration step 145, G_loss: 0.06049, step_psnr: 17.71674, strokes: 150 / 500
iteration step 146, G_loss: 0.06025, step_psnr: 17.74354, strokes: 150 / 500
iteration step 147, G_loss: 0.06006, step_psnr: 17.77131, strokes: 150 / 500
iteration step 148, G_loss: 0.05986, step_psnr: 17.79951, strokes: 150 / 500
iteration step 149, G_loss: 0.05965, step_psnr: 17.82043, strokes: 150 / 500
iteration step 150, G_loss: 0.05949, step_psnr: 17.85052, strokes: 175 / 500
iteration step 151, G_loss: 0.06049, step_psnr: 17.94332, strokes: 175 / 500
iteration step 152, G_loss: 0.05977, step_psnr: 18.01192, strokes: 175 / 500
iteration step 153, G_loss: 0.05932, step_psnr: 18.07101, strokes: 175 / 500
iteration step 154, G_loss: 0.05891, step_psnr: 18.12627, strokes: 175 / 500
iteration step 155, G_loss: 0.05855, step_psnr: 18.17173, strokes: 175 / 500
iteration step 156, G_loss: 0.05820, step_psnr: 18.21863, strokes: 175 / 500
iteration step 157, G_loss: 0.05792, step_psnr: 18.25365, strokes: 175 / 500
iteration step 158, G_loss: 0.05765, step_psnr: 18.28952, strokes: 175 / 500
iteration step 159, G_loss: 0.05741, step_psnr: 18.31976, strokes: 175 / 500
iteration step 160, G_loss: 0.05722, step_psnr: 18.34877, strokes: 175 / 500
iteration step 161, G_loss: 0.05701, step_psnr: 18.37334, strokes: 175 / 500
iteration step 162, G_loss: 0.05683, step_psnr: 18.39950, strokes: 175 / 500
iteration step 163, G_loss: 0.05665, step_psnr: 18.42307, strokes: 175 / 500
iteration step 164, G_loss: 0.05651, step_psnr: 18.44536, strokes: 175 / 500
iteration step 165, G_loss: 0.05635, step_psnr: 18.46276, strokes: 175 / 500
iteration step 166, G_loss: 0.05621, step_psnr: 18.48773, strokes: 175 / 500
iteration step 167, G_loss: 0.05605, step_psnr: 18.50412, strokes: 175 / 500
iteration step 168, G_loss: 0.05591, step_psnr: 18.52649, strokes: 175 / 500
iteration step 169, G_loss: 0.05577, step_psnr: 18.54217, strokes: 175 / 500
iteration step 170, G_loss: 0.05564, step_psnr: 18.55857, strokes: 175 / 500
iteration step 171, G_loss: 0.05553, step_psnr: 18.57862, strokes: 175 / 500
iteration step 172, G_loss: 0.05541, step_psnr: 18.59480, strokes: 175 / 500
iteration step 173, G_loss: 0.05528, step_psnr: 18.60949, strokes: 175 / 500
iteration step 174, G_loss: 0.05518, step_psnr: 18.62854, strokes: 175 / 500
iteration step 175, G_loss: 0.05507, step_psnr: 18.59192, strokes: 200 / 500
iteration step 176, G_loss: 0.05630, step_psnr: 18.71615, strokes: 200 / 500
iteration step 177, G_loss: 0.05548, step_psnr: 18.78277, strokes: 200 / 500
iteration step 178, G_loss: 0.05507, step_psnr: 18.83951, strokes: 200 / 500
iteration step 179, G_loss: 0.05470, step_psnr: 18.88078, strokes: 200 / 500
iteration step 180, G_loss: 0.05444, step_psnr: 18.92704, strokes: 200 / 500
iteration step 181, G_loss: 0.05418, step_psnr: 18.96513, strokes: 200 / 500
iteration step 182, G_loss: 0.05395, step_psnr: 19.00366, strokes: 200 / 500
iteration step 183, G_loss: 0.05373, step_psnr: 19.03160, strokes: 200 / 500
iteration step 184, G_loss: 0.05354, step_psnr: 19.06520, strokes: 200 / 500
iteration step 185, G_loss: 0.05338, step_psnr: 19.08987, strokes: 200 / 500
iteration step 186, G_loss: 0.05321, step_psnr: 19.12064, strokes: 200 / 500
iteration step 187, G_loss: 0.05304, step_psnr: 19.13929, strokes: 200 / 500
iteration step 188, G_loss: 0.05291, step_psnr: 19.16791, strokes: 200 / 500
iteration step 189, G_loss: 0.05276, step_psnr: 19.18615, strokes: 200 / 500
iteration step 190, G_loss: 0.05262, step_psnr: 19.21819, strokes: 200 / 500
iteration step 191, G_loss: 0.05247, step_psnr: 19.24039, strokes: 200 / 500
iteration step 192, G_loss: 0.05233, step_psnr: 19.26536, strokes: 200 / 500
iteration step 193, G_loss: 0.05221, step_psnr: 19.28482, strokes: 200 / 500
iteration step 194, G_loss: 0.05209, step_psnr: 19.31084, strokes: 200 / 500
iteration step 195, G_loss: 0.05195, step_psnr: 19.33124, strokes: 200 / 500
iteration step 196, G_loss: 0.05183, step_psnr: 19.35385, strokes: 200 / 500
iteration step 197, G_loss: 0.05172, step_psnr: 19.37163, strokes: 200 / 500
iteration step 198, G_loss: 0.05159, step_psnr: 19.39717, strokes: 200 / 500
iteration step 199, G_loss: 0.05147, step_psnr: 19.40941, strokes: 200 / 500
iteration step 200, G_loss: 0.05138, step_psnr: 19.37582, strokes: 225 / 500
iteration step 201, G_loss: 0.05252, step_psnr: 19.48231, strokes: 225 / 500
iteration step 202, G_loss: 0.05187, step_psnr: 19.56365, strokes: 225 / 500
iteration step 203, G_loss: 0.05145, step_psnr: 19.62782, strokes: 225 / 500
iteration step 204, G_loss: 0.05112, step_psnr: 19.67156, strokes: 225 / 500
iteration step 205, G_loss: 0.05090, step_psnr: 19.71857, strokes: 225 / 500
iteration step 206, G_loss: 0.05066, step_psnr: 19.74756, strokes: 225 / 500
iteration step 207, G_loss: 0.05049, step_psnr: 19.78488, strokes: 225 / 500
iteration step 208, G_loss: 0.05029, step_psnr: 19.82092, strokes: 225 / 500
iteration step 209, G_loss: 0.05010, step_psnr: 19.84864, strokes: 225 / 500
iteration step 210, G_loss: 0.04994, step_psnr: 19.87817, strokes: 225 / 500
iteration step 211, G_loss: 0.04980, step_psnr: 19.90745, strokes: 225 / 500
iteration step 212, G_loss: 0.04964, step_psnr: 19.93267, strokes: 225 / 500
iteration step 213, G_loss: 0.04951, step_psnr: 19.95521, strokes: 225 / 500
iteration step 214, G_loss: 0.04939, step_psnr: 19.98231, strokes: 225 / 500
iteration step 215, G_loss: 0.04927, step_psnr: 20.00843, strokes: 225 / 500
iteration step 216, G_loss: 0.04912, step_psnr: 20.03409, strokes: 225 / 500
iteration step 217, G_loss: 0.04901, step_psnr: 20.05518, strokes: 225 / 500
iteration step 218, G_loss: 0.04889, step_psnr: 20.08440, strokes: 225 / 500
iteration step 219, G_loss: 0.04876, step_psnr: 20.10221, strokes: 225 / 500
iteration step 220, G_loss: 0.04865, step_psnr: 20.13027, strokes: 225 / 500
iteration step 221, G_loss: 0.04853, step_psnr: 20.15071, strokes: 225 / 500
iteration step 222, G_loss: 0.04843, step_psnr: 20.17771, strokes: 225 / 500
iteration step 223, G_loss: 0.04831, step_psnr: 20.20120, strokes: 225 / 500
iteration step 224, G_loss: 0.04820, step_psnr: 20.22911, strokes: 225 / 500
iteration step 225, G_loss: 0.04808, step_psnr: 20.08244, strokes: 250 / 500
iteration step 226, G_loss: 0.04974, step_psnr: 20.22134, strokes: 250 / 500
iteration step 227, G_loss: 0.04910, step_psnr: 20.30544, strokes: 250 / 500
iteration step 228, G_loss: 0.04869, step_psnr: 20.36328, strokes: 250 / 500
iteration step 229, G_loss: 0.04838, step_psnr: 20.41900, strokes: 250 / 500
iteration step 230, G_loss: 0.04813, step_psnr: 20.46391, strokes: 250 / 500
iteration step 231, G_loss: 0.04792, step_psnr: 20.50392, strokes: 250 / 500
iteration step 232, G_loss: 0.04774, step_psnr: 20.54148, strokes: 250 / 500
iteration step 233, G_loss: 0.04758, step_psnr: 20.58035, strokes: 250 / 500
iteration step 234, G_loss: 0.04739, step_psnr: 20.62021, strokes: 250 / 500
iteration step 235, G_loss: 0.04724, step_psnr: 20.66022, strokes: 250 / 500
iteration step 236, G_loss: 0.04705, step_psnr: 20.69962, strokes: 250 / 500
iteration step 237, G_loss: 0.04685, step_psnr: 20.73979, strokes: 250 / 500
iteration step 238, G_loss: 0.04669, step_psnr: 20.78159, strokes: 250 / 500
iteration step 239, G_loss: 0.04651, step_psnr: 20.81218, strokes: 250 / 500
iteration step 240, G_loss: 0.04636, step_psnr: 20.85183, strokes: 250 / 500
iteration step 241, G_loss: 0.04622, step_psnr: 20.88544, strokes: 250 / 500
iteration step 242, G_loss: 0.04608, step_psnr: 20.93130, strokes: 250 / 500
iteration step 243, G_loss: 0.04588, step_psnr: 20.96781, strokes: 250 / 500
iteration step 244, G_loss: 0.04576, step_psnr: 21.00977, strokes: 250 / 500
iteration step 245, G_loss: 0.04560, step_psnr: 21.03889, strokes: 250 / 500
iteration step 246, G_loss: 0.04548, step_psnr: 21.07874, strokes: 250 / 500
iteration step 247, G_loss: 0.04534, step_psnr: 21.11084, strokes: 250 / 500
iteration step 248, G_loss: 0.04524, step_psnr: 21.14913, strokes: 250 / 500
iteration step 249, G_loss: 0.04510, step_psnr: 21.19467, strokes: 250 / 500
iteration step 250, G_loss: 0.04494, step_psnr: 20.98547, strokes: 275 / 500
iteration step 251, G_loss: 0.04659, step_psnr: 21.15106, strokes: 275 / 500
iteration step 252, G_loss: 0.04596, step_psnr: 21.24701, strokes: 275 / 500
iteration step 253, G_loss: 0.04561, step_psnr: 21.32998, strokes: 275 / 500
iteration step 254, G_loss: 0.04526, step_psnr: 21.39174, strokes: 275 / 500
iteration step 255, G_loss: 0.04500, step_psnr: 21.44454, strokes: 275 / 500
iteration step 256, G_loss: 0.04479, step_psnr: 21.47948, strokes: 275 / 500
iteration step 257, G_loss: 0.04463, step_psnr: 21.52121, strokes: 275 / 500
iteration step 258, G_loss: 0.04449, step_psnr: 21.56064, strokes: 275 / 500
iteration step 259, G_loss: 0.04433, step_psnr: 21.59420, strokes: 275 / 500
iteration step 260, G_loss: 0.04422, step_psnr: 21.62053, strokes: 275 / 500
iteration step 261, G_loss: 0.04410, step_psnr: 21.65355, strokes: 275 / 500
iteration step 262, G_loss: 0.04398, step_psnr: 21.67757, strokes: 275 / 500
iteration step 263, G_loss: 0.04386, step_psnr: 21.70263, strokes: 275 / 500
iteration step 264, G_loss: 0.04377, step_psnr: 21.72420, strokes: 275 / 500
iteration step 265, G_loss: 0.04366, step_psnr: 21.74792, strokes: 275 / 500
iteration step 266, G_loss: 0.04357, step_psnr: 21.76839, strokes: 275 / 500
iteration step 267, G_loss: 0.04347, step_psnr: 21.78619, strokes: 275 / 500
iteration step 268, G_loss: 0.04340, step_psnr: 21.80032, strokes: 275 / 500
iteration step 269, G_loss: 0.04334, step_psnr: 21.82202, strokes: 275 / 500
iteration step 270, G_loss: 0.04325, step_psnr: 21.83587, strokes: 275 / 500
iteration step 271, G_loss: 0.04320, step_psnr: 21.85284, strokes: 275 / 500
iteration step 272, G_loss: 0.04313, step_psnr: 21.85889, strokes: 275 / 500
iteration step 273, G_loss: 0.04309, step_psnr: 21.88879, strokes: 275 / 500
iteration step 274, G_loss: 0.04302, step_psnr: 21.90599, strokes: 275 / 500
iteration step 275, G_loss: 0.04293, step_psnr: 21.68910, strokes: 300 / 500
iteration step 276, G_loss: 0.04457, step_psnr: 21.82290, strokes: 300 / 500
iteration step 277, G_loss: 0.04406, step_psnr: 21.89855, strokes: 300 / 500
iteration step 278, G_loss: 0.04377, step_psnr: 21.94386, strokes: 300 / 500
iteration step 279, G_loss: 0.04358, step_psnr: 21.97783, strokes: 300 / 500
iteration step 280, G_loss: 0.04345, step_psnr: 22.03249, strokes: 300 / 500
iteration step 281, G_loss: 0.04327, step_psnr: 22.06624, strokes: 300 / 500
iteration step 282, G_loss: 0.04316, step_psnr: 22.10065, strokes: 300 / 500
iteration step 283, G_loss: 0.04305, step_psnr: 22.13158, strokes: 300 / 500
iteration step 284, G_loss: 0.04293, step_psnr: 22.15302, strokes: 300 / 500
iteration step 285, G_loss: 0.04286, step_psnr: 22.17174, strokes: 300 / 500
iteration step 286, G_loss: 0.04279, step_psnr: 22.19721, strokes: 300 / 500
iteration step 287, G_loss: 0.04272, step_psnr: 22.21951, strokes: 300 / 500
iteration step 288, G_loss: 0.04265, step_psnr: 22.23456, strokes: 300 / 500
iteration step 289, G_loss: 0.04260, step_psnr: 22.25950, strokes: 300 / 500
iteration step 290, G_loss: 0.04249, step_psnr: 22.27596, strokes: 300 / 500
iteration step 291, G_loss: 0.04244, step_psnr: 22.28453, strokes: 300 / 500
iteration step 292, G_loss: 0.04240, step_psnr: 22.30496, strokes: 300 / 500
iteration step 293, G_loss: 0.04234, step_psnr: 22.31212, strokes: 300 / 500
iteration step 294, G_loss: 0.04230, step_psnr: 22.33034, strokes: 300 / 500
iteration step 295, G_loss: 0.04222, step_psnr: 22.34018, strokes: 300 / 500
iteration step 296, G_loss: 0.04216, step_psnr: 22.35439, strokes: 300 / 500
iteration step 297, G_loss: 0.04212, step_psnr: 22.36654, strokes: 300 / 500
iteration step 298, G_loss: 0.04206, step_psnr: 22.37697, strokes: 300 / 500
iteration step 299, G_loss: 0.04204, step_psnr: 22.38710, strokes: 300 / 500
iteration step 300, G_loss: 0.04199, step_psnr: 21.99758, strokes: 325 / 500
iteration step 301, G_loss: 0.04371, step_psnr: 22.18309, strokes: 325 / 500
iteration step 302, G_loss: 0.04310, step_psnr: 22.24428, strokes: 325 / 500
iteration step 303, G_loss: 0.04287, step_psnr: 22.29843, strokes: 325 / 500
iteration step 304, G_loss: 0.04269, step_psnr: 22.33560, strokes: 325 / 500
iteration step 305, G_loss: 0.04255, step_psnr: 22.36040, strokes: 325 / 500
iteration step 306, G_loss: 0.04246, step_psnr: 22.39122, strokes: 325 / 500
iteration step 307, G_loss: 0.04237, step_psnr: 22.40554, strokes: 325 / 500
iteration step 308, G_loss: 0.04228, step_psnr: 22.41949, strokes: 325 / 500
iteration step 309, G_loss: 0.04225, step_psnr: 22.42731, strokes: 325 / 500
iteration step 310, G_loss: 0.04218, step_psnr: 22.46528, strokes: 325 / 500
iteration step 311, G_loss: 0.04207, step_psnr: 22.46718, strokes: 325 / 500
iteration step 312, G_loss: 0.04202, step_psnr: 22.48226, strokes: 325 / 500
iteration step 313, G_loss: 0.04198, step_psnr: 22.48573, strokes: 325 / 500
iteration step 314, G_loss: 0.04194, step_psnr: 22.50742, strokes: 325 / 500
iteration step 315, G_loss: 0.04187, step_psnr: 22.51390, strokes: 325 / 500
iteration step 316, G_loss: 0.04182, step_psnr: 22.52879, strokes: 325 / 500
iteration step 317, G_loss: 0.04176, step_psnr: 22.53387, strokes: 325 / 500
iteration step 318, G_loss: 0.04176, step_psnr: 22.53652, strokes: 325 / 500
iteration step 319, G_loss: 0.04173, step_psnr: 22.55354, strokes: 325 / 500
iteration step 320, G_loss: 0.04166, step_psnr: 22.57018, strokes: 325 / 500
iteration step 321, G_loss: 0.04162, step_psnr: 22.57672, strokes: 325 / 500
iteration step 322, G_loss: 0.04159, step_psnr: 22.58762, strokes: 325 / 500
iteration step 323, G_loss: 0.04157, step_psnr: 22.59738, strokes: 325 / 500
iteration step 324, G_loss: 0.04152, step_psnr: 22.61390, strokes: 325 / 500
