initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 2.26230, strokes: 25 / 500
iteration step 1, G_loss: 0.71571, step_psnr: 2.27544, strokes: 25 / 500
iteration step 2, G_loss: 0.71378, step_psnr: 2.28576, strokes: 25 / 500
iteration step 3, G_loss: 0.71228, step_psnr: 2.29586, strokes: 25 / 500
iteration step 4, G_loss: 0.71080, step_psnr: 2.30531, strokes: 25 / 500
iteration step 5, G_loss: 0.70946, step_psnr: 2.31369, strokes: 25 / 500
iteration step 6, G_loss: 0.70825, step_psnr: 2.32181, strokes: 25 / 500
iteration step 7, G_loss: 0.70709, step_psnr: 2.33044, strokes: 25 / 500
iteration step 8, G_loss: 0.70589, step_psnr: 2.33950, strokes: 25 / 500
iteration step 9, G_loss: 0.70469, step_psnr: 2.34821, strokes: 25 / 500
iteration step 10, G_loss: 0.70351, step_psnr: 2.35680, strokes: 25 / 500
iteration step 11, G_loss: 0.70237, step_psnr: 2.36560, strokes: 25 / 500
iteration step 12, G_loss: 0.70120, step_psnr: 2.37466, strokes: 25 / 500
iteration step 13, G_loss: 0.69998, step_psnr: 2.38429, strokes: 25 / 500
iteration step 14, G_loss: 0.69874, step_psnr: 2.39309, strokes: 25 / 500
iteration step 15, G_loss: 0.69756, step_psnr: 2.40247, strokes: 25 / 500
iteration step 16, G_loss: 0.69638, step_psnr: 2.41222, strokes: 25 / 500
iteration step 17, G_loss: 0.69510, step_psnr: 2.42211, strokes: 25 / 500
iteration step 18, G_loss: 0.69380, step_psnr: 2.43101, strokes: 25 / 500
iteration step 19, G_loss: 0.69258, step_psnr: 2.43985, strokes: 25 / 500
iteration step 20, G_loss: 0.69137, step_psnr: 2.44858, strokes: 25 / 500
iteration step 21, G_loss: 0.69018, step_psnr: 2.45743, strokes: 25 / 500
iteration step 22, G_loss: 0.68902, step_psnr: 2.46708, strokes: 25 / 500
iteration step 23, G_loss: 0.68776, step_psnr: 2.47699, strokes: 25 / 500
iteration step 24, G_loss: 0.68648, step_psnr: 2.48670, strokes: 25 / 500
iteration step 25, G_loss: 0.68527, step_psnr: 2.56510, strokes: 50 / 500
iteration step 26, G_loss: 0.67542, step_psnr: 2.60045, strokes: 50 / 500
iteration step 27, G_loss: 0.67097, step_psnr: 2.63406, strokes: 50 / 500
iteration step 28, G_loss: 0.66679, step_psnr: 2.66505, strokes: 50 / 500
iteration step 29, G_loss: 0.66292, step_psnr: 2.69357, strokes: 50 / 500
iteration step 30, G_loss: 0.65934, step_psnr: 2.72029, strokes: 50 / 500
iteration step 31, G_loss: 0.65599, step_psnr: 2.74880, strokes: 50 / 500
iteration step 32, G_loss: 0.65252, step_psnr: 2.77484, strokes: 50 / 500
iteration step 33, G_loss: 0.64925, step_psnr: 2.79959, strokes: 50 / 500
iteration step 34, G_loss: 0.64619, step_psnr: 2.82539, strokes: 50 / 500
iteration step 35, G_loss: 0.64306, step_psnr: 2.85161, strokes: 50 / 500
iteration step 36, G_loss: 0.63988, step_psnr: 2.87764, strokes: 50 / 500
iteration step 37, G_loss: 0.63668, step_psnr: 2.90242, strokes: 50 / 500
iteration step 38, G_loss: 0.63363, step_psnr: 2.92808, strokes: 50 / 500
iteration step 39, G_loss: 0.63051, step_psnr: 2.95304, strokes: 50 / 500
iteration step 40, G_loss: 0.62753, step_psnr: 2.97901, strokes: 50 / 500
iteration step 41, G_loss: 0.62441, step_psnr: 3.00391, strokes: 50 / 500
iteration step 42, G_loss: 0.62139, step_psnr: 3.02799, strokes: 50 / 500
iteration step 43, G_loss: 0.61850, step_psnr: 3.05171, strokes: 50 / 500
iteration step 44, G_loss: 0.61570, step_psnr: 3.07611, strokes: 50 / 500
iteration step 45, G_loss: 0.61288, step_psnr: 3.09976, strokes: 50 / 500
iteration step 46, G_loss: 0.61006, step_psnr: 3.12450, strokes: 50 / 500
iteration step 47, G_loss: 0.60721, step_psnr: 3.14856, strokes: 50 / 500
iteration step 48, G_loss: 0.60439, step_psnr: 3.17441, strokes: 50 / 500
iteration step 49, G_loss: 0.60150, step_psnr: 3.19920, strokes: 50 / 500
iteration step 50, G_loss: 0.59866, step_psnr: 3.30887, strokes: 75 / 500
iteration step 51, G_loss: 0.58644, step_psnr: 3.36616, strokes: 75 / 500
iteration step 52, G_loss: 0.58017, step_psnr: 3.41640, strokes: 75 / 500
iteration step 53, G_loss: 0.57461, step_psnr: 3.46619, strokes: 75 / 500
iteration step 54, G_loss: 0.56928, step_psnr: 3.51562, strokes: 75 / 500
iteration step 55, G_loss: 0.56398, step_psnr: 3.56218, strokes: 75 / 500
iteration step 56, G_loss: 0.55899, step_psnr: 3.60699, strokes: 75 / 500
iteration step 57, G_loss: 0.55430, step_psnr: 3.65157, strokes: 75 / 500
iteration step 58, G_loss: 0.54967, step_psnr: 3.69566, strokes: 75 / 500
iteration step 59, G_loss: 0.54519, step_psnr: 3.73937, strokes: 75 / 500
iteration step 60, G_loss: 0.54071, step_psnr: 3.78327, strokes: 75 / 500
iteration step 61, G_loss: 0.53629, step_psnr: 3.82822, strokes: 75 / 500
iteration step 62, G_loss: 0.53187, step_psnr: 3.87707, strokes: 75 / 500
iteration step 63, G_loss: 0.52714, step_psnr: 3.92315, strokes: 75 / 500
iteration step 64, G_loss: 0.52260, step_psnr: 3.96953, strokes: 75 / 500
iteration step 65, G_loss: 0.51813, step_psnr: 4.01699, strokes: 75 / 500
iteration step 66, G_loss: 0.51359, step_psnr: 4.06211, strokes: 75 / 500
iteration step 67, G_loss: 0.50917, step_psnr: 4.10773, strokes: 75 / 500
iteration step 68, G_loss: 0.50489, step_psnr: 4.15330, strokes: 75 / 500
iteration step 69, G_loss: 0.50066, step_psnr: 4.20043, strokes: 75 / 500
iteration step 70, G_loss: 0.49631, step_psnr: 4.24692, strokes: 75 / 500
iteration step 71, G_loss: 0.49211, step_psnr: 4.29560, strokes: 75 / 500
iteration step 72, G_loss: 0.48780, step_psnr: 4.34141, strokes: 75 / 500
iteration step 73, G_loss: 0.48374, step_psnr: 4.38596, strokes: 75 / 500
iteration step 74, G_loss: 0.47973, step_psnr: 4.43332, strokes: 75 / 500
