initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 0.68825, strokes: 25 / 500
iteration step 1, G_loss: 0.90368, step_psnr: 0.70142, strokes: 25 / 500
iteration step 2, G_loss: 0.90114, step_psnr: 0.71270, strokes: 25 / 500
iteration step 3, G_loss: 0.89900, step_psnr: 0.72297, strokes: 25 / 500
iteration step 4, G_loss: 0.89713, step_psnr: 0.73299, strokes: 25 / 500
iteration step 5, G_loss: 0.89533, step_psnr: 0.74234, strokes: 25 / 500
iteration step 6, G_loss: 0.89353, step_psnr: 0.75216, strokes: 25 / 500
iteration step 7, G_loss: 0.89170, step_psnr: 0.76264, strokes: 25 / 500
iteration step 8, G_loss: 0.88985, step_psnr: 0.77173, strokes: 25 / 500
iteration step 9, G_loss: 0.88813, step_psnr: 0.78159, strokes: 25 / 500
iteration step 10, G_loss: 0.88633, step_psnr: 0.79082, strokes: 25 / 500
iteration step 11, G_loss: 0.88467, step_psnr: 0.79921, strokes: 25 / 500
iteration step 12, G_loss: 0.88309, step_psnr: 0.80904, strokes: 25 / 500
iteration step 13, G_loss: 0.88138, step_psnr: 0.81901, strokes: 25 / 500
iteration step 14, G_loss: 0.87964, step_psnr: 0.82827, strokes: 25 / 500
iteration step 15, G_loss: 0.87803, step_psnr: 0.83720, strokes: 25 / 500
iteration step 16, G_loss: 0.87636, step_psnr: 0.84655, strokes: 25 / 500
iteration step 17, G_loss: 0.87472, step_psnr: 0.85589, strokes: 25 / 500
iteration step 18, G_loss: 0.87306, step_psnr: 0.86472, strokes: 25 / 500
iteration step 19, G_loss: 0.87151, step_psnr: 0.87376, strokes: 25 / 500
iteration step 20, G_loss: 0.86989, step_psnr: 0.88305, strokes: 25 / 500
iteration step 21, G_loss: 0.86826, step_psnr: 0.89182, strokes: 25 / 500
iteration step 22, G_loss: 0.86657, step_psnr: 0.90213, strokes: 25 / 500
iteration step 23, G_loss: 0.86491, step_psnr: 0.91262, strokes: 25 / 500
iteration step 24, G_loss: 0.86306, step_psnr: 0.92400, strokes: 25 / 500
iteration step 25, G_loss: 0.86109, step_psnr: 1.00297, strokes: 50 / 500
iteration step 26, G_loss: 0.84766, step_psnr: 1.03673, strokes: 50 / 500
iteration step 27, G_loss: 0.84194, step_psnr: 1.06601, strokes: 50 / 500
iteration step 28, G_loss: 0.83702, step_psnr: 1.09420, strokes: 50 / 500
iteration step 29, G_loss: 0.83240, step_psnr: 1.11957, strokes: 50 / 500
iteration step 30, G_loss: 0.82806, step_psnr: 1.14403, strokes: 50 / 500
iteration step 31, G_loss: 0.82396, step_psnr: 1.16946, strokes: 50 / 500
iteration step 32, G_loss: 0.81982, step_psnr: 1.19349, strokes: 50 / 500
iteration step 33, G_loss: 0.81582, step_psnr: 1.21817, strokes: 50 / 500
iteration step 34, G_loss: 0.81179, step_psnr: 1.24205, strokes: 50 / 500
iteration step 35, G_loss: 0.80790, step_psnr: 1.26543, strokes: 50 / 500
iteration step 36, G_loss: 0.80409, step_psnr: 1.29071, strokes: 50 / 500
iteration step 37, G_loss: 0.80012, step_psnr: 1.31484, strokes: 50 / 500
iteration step 38, G_loss: 0.79619, step_psnr: 1.33925, strokes: 50 / 500
iteration step 39, G_loss: 0.79239, step_psnr: 1.36293, strokes: 50 / 500
iteration step 40, G_loss: 0.78863, step_psnr: 1.38744, strokes: 50 / 500
iteration step 41, G_loss: 0.78478, step_psnr: 1.41210, strokes: 50 / 500
iteration step 42, G_loss: 0.78096, step_psnr: 1.43769, strokes: 50 / 500
iteration step 43, G_loss: 0.77694, step_psnr: 1.46215, strokes: 50 / 500
iteration step 44, G_loss: 0.77313, step_psnr: 1.48705, strokes: 50 / 500
iteration step 45, G_loss: 0.76929, step_psnr: 1.51350, strokes: 50 / 500
iteration step 46, G_loss: 0.76520, step_psnr: 1.53882, strokes: 50 / 500
iteration step 47, G_loss: 0.76131, step_psnr: 1.56417, strokes: 50 / 500
iteration step 48, G_loss: 0.75739, step_psnr: 1.58974, strokes: 50 / 500
iteration step 49, G_loss: 0.75346, step_psnr: 1.61503, strokes: 50 / 500
iteration step 50, G_loss: 0.74965, step_psnr: 1.71044, strokes: 75 / 500
iteration step 51, G_loss: 0.73560, step_psnr: 1.75997, strokes: 75 / 500
iteration step 52, G_loss: 0.72850, step_psnr: 1.80507, strokes: 75 / 500
iteration step 53, G_loss: 0.72192, step_psnr: 1.84839, strokes: 75 / 500
iteration step 54, G_loss: 0.71570, step_psnr: 1.89155, strokes: 75 / 500
iteration step 55, G_loss: 0.70960, step_psnr: 1.93485, strokes: 75 / 500
iteration step 56, G_loss: 0.70352, step_psnr: 1.97710, strokes: 75 / 500
iteration step 57, G_loss: 0.69767, step_psnr: 2.01955, strokes: 75 / 500
iteration step 58, G_loss: 0.69190, step_psnr: 2.06199, strokes: 75 / 500
iteration step 59, G_loss: 0.68610, step_psnr: 2.10678, strokes: 75 / 500
iteration step 60, G_loss: 0.68019, step_psnr: 2.14930, strokes: 75 / 500
iteration step 61, G_loss: 0.67454, step_psnr: 2.19212, strokes: 75 / 500
iteration step 62, G_loss: 0.66883, step_psnr: 2.23548, strokes: 75 / 500
iteration step 63, G_loss: 0.66317, step_psnr: 2.27966, strokes: 75 / 500
iteration step 64, G_loss: 0.65743, step_psnr: 2.32799, strokes: 75 / 500
iteration step 65, G_loss: 0.65132, step_psnr: 2.37359, strokes: 75 / 500
iteration step 66, G_loss: 0.64555, step_psnr: 2.41856, strokes: 75 / 500
iteration step 67, G_loss: 0.63990, step_psnr: 2.46334, strokes: 75 / 500
iteration step 68, G_loss: 0.63432, step_psnr: 2.51141, strokes: 75 / 500
iteration step 69, G_loss: 0.62848, step_psnr: 2.55951, strokes: 75 / 500
iteration step 70, G_loss: 0.62264, step_psnr: 2.60576, strokes: 75 / 500
iteration step 71, G_loss: 0.61706, step_psnr: 2.65168, strokes: 75 / 500
iteration step 72, G_loss: 0.61157, step_psnr: 2.69930, strokes: 75 / 500
iteration step 73, G_loss: 0.60598, step_psnr: 2.74557, strokes: 75 / 500
iteration step 74, G_loss: 0.60056, step_psnr: 2.79012, strokes: 75 / 500
iteration step 75, G_loss: 0.59542, step_psnr: 2.93568, strokes: 100 / 500
iteration step 76, G_loss: 0.57933, step_psnr: 3.01626, strokes: 100 / 500
iteration step 77, G_loss: 0.57055, step_psnr: 3.08977, strokes: 100 / 500
iteration step 78, G_loss: 0.56249, step_psnr: 3.16335, strokes: 100 / 500
iteration step 79, G_loss: 0.55465, step_psnr: 3.23552, strokes: 100 / 500
iteration step 80, G_loss: 0.54723, step_psnr: 3.30628, strokes: 100 / 500
iteration step 81, G_loss: 0.53988, step_psnr: 3.37777, strokes: 100 / 500
iteration step 82, G_loss: 0.53254, step_psnr: 3.44856, strokes: 100 / 500
iteration step 83, G_loss: 0.52550, step_psnr: 3.51877, strokes: 100 / 500
iteration step 84, G_loss: 0.51848, step_psnr: 3.58776, strokes: 100 / 500
iteration step 85, G_loss: 0.51169, step_psnr: 3.65719, strokes: 100 / 500
iteration step 86, G_loss: 0.50496, step_psnr: 3.72932, strokes: 100 / 500
iteration step 87, G_loss: 0.49826, step_psnr: 3.80079, strokes: 100 / 500
iteration step 88, G_loss: 0.49164, step_psnr: 3.87580, strokes: 100 / 500
iteration step 89, G_loss: 0.48487, step_psnr: 3.95139, strokes: 100 / 500
iteration step 90, G_loss: 0.47818, step_psnr: 4.02497, strokes: 100 / 500
iteration step 91, G_loss: 0.47170, step_psnr: 4.09821, strokes: 100 / 500
iteration step 92, G_loss: 0.46534, step_psnr: 4.16872, strokes: 100 / 500
iteration step 93, G_loss: 0.45920, step_psnr: 4.24931, strokes: 100 / 500
iteration step 94, G_loss: 0.45258, step_psnr: 4.33137, strokes: 100 / 500
iteration step 95, G_loss: 0.44595, step_psnr: 4.41239, strokes: 100 / 500
iteration step 96, G_loss: 0.43947, step_psnr: 4.49878, strokes: 100 / 500
iteration step 97, G_loss: 0.43283, step_psnr: 4.58245, strokes: 100 / 500
iteration step 98, G_loss: 0.42637, step_psnr: 4.66639, strokes: 100 / 500
iteration step 99, G_loss: 0.41994, step_psnr: 4.74721, strokes: 100 / 500
iteration step 100, G_loss: 0.41393, step_psnr: 4.97796, strokes: 125 / 500
iteration step 101, G_loss: 0.39776, step_psnr: 5.11354, strokes: 125 / 500
iteration step 102, G_loss: 0.38835, step_psnr: 5.24350, strokes: 125 / 500
iteration step 103, G_loss: 0.37967, step_psnr: 5.36648, strokes: 125 / 500
iteration step 104, G_loss: 0.37165, step_psnr: 5.48083, strokes: 125 / 500
iteration step 105, G_loss: 0.36427, step_psnr: 5.59653, strokes: 125 / 500
iteration step 106, G_loss: 0.35702, step_psnr: 5.71160, strokes: 125 / 500
iteration step 107, G_loss: 0.34999, step_psnr: 5.82656, strokes: 125 / 500
iteration step 108, G_loss: 0.34317, step_psnr: 5.94203, strokes: 125 / 500
iteration step 109, G_loss: 0.33640, step_psnr: 6.05617, strokes: 125 / 500
iteration step 110, G_loss: 0.32997, step_psnr: 6.17229, strokes: 125 / 500
iteration step 111, G_loss: 0.32363, step_psnr: 6.29241, strokes: 125 / 500
iteration step 112, G_loss: 0.31720, step_psnr: 6.40960, strokes: 125 / 500
iteration step 113, G_loss: 0.31106, step_psnr: 6.51986, strokes: 125 / 500
iteration step 114, G_loss: 0.30523, step_psnr: 6.63045, strokes: 125 / 500
iteration step 115, G_loss: 0.29957, step_psnr: 6.74450, strokes: 125 / 500
iteration step 116, G_loss: 0.29398, step_psnr: 6.85352, strokes: 125 / 500
iteration step 117, G_loss: 0.28859, step_psnr: 6.96667, strokes: 125 / 500
iteration step 118, G_loss: 0.28332, step_psnr: 7.09062, strokes: 125 / 500
iteration step 119, G_loss: 0.27778, step_psnr: 7.20779, strokes: 125 / 500
iteration step 120, G_loss: 0.27254, step_psnr: 7.31766, strokes: 125 / 500
iteration step 121, G_loss: 0.26767, step_psnr: 7.42894, strokes: 125 / 500
iteration step 122, G_loss: 0.26292, step_psnr: 7.54228, strokes: 125 / 500
iteration step 123, G_loss: 0.25829, step_psnr: 7.65159, strokes: 125 / 500
iteration step 124, G_loss: 0.25372, step_psnr: 7.76352, strokes: 125 / 500
iteration step 125, G_loss: 0.24924, step_psnr: 8.10301, strokes: 150 / 500
iteration step 126, G_loss: 0.23748, step_psnr: 8.30014, strokes: 150 / 500
iteration step 127, G_loss: 0.23046, step_psnr: 8.47674, strokes: 150 / 500
iteration step 128, G_loss: 0.22449, step_psnr: 8.64083, strokes: 150 / 500
iteration step 129, G_loss: 0.21916, step_psnr: 8.80701, strokes: 150 / 500
iteration step 130, G_loss: 0.21407, step_psnr: 8.95855, strokes: 150 / 500
iteration step 131, G_loss: 0.20947, step_psnr: 9.11099, strokes: 150 / 500
iteration step 132, G_loss: 0.20504, step_psnr: 9.26504, strokes: 150 / 500
iteration step 133, G_loss: 0.20069, step_psnr: 9.41319, strokes: 150 / 500
iteration step 134, G_loss: 0.19660, step_psnr: 9.56548, strokes: 150 / 500
iteration step 135, G_loss: 0.19256, step_psnr: 9.71666, strokes: 150 / 500
iteration step 136, G_loss: 0.18863, step_psnr: 9.87152, strokes: 150 / 500
iteration step 137, G_loss: 0.18475, step_psnr: 10.01738, strokes: 150 / 500
