initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 1.07272, strokes: 25 / 500
iteration step 1, G_loss: 0.85058, step_psnr: 1.09003, strokes: 25 / 500
iteration step 2, G_loss: 0.84763, step_psnr: 1.10438, strokes: 25 / 500
iteration step 3, G_loss: 0.84518, step_psnr: 1.11759, strokes: 25 / 500
iteration step 4, G_loss: 0.84296, step_psnr: 1.12991, strokes: 25 / 500
iteration step 5, G_loss: 0.84091, step_psnr: 1.14051, strokes: 25 / 500
iteration step 6, G_loss: 0.83907, step_psnr: 1.15173, strokes: 25 / 500
iteration step 7, G_loss: 0.83723, step_psnr: 1.16294, strokes: 25 / 500
iteration step 8, G_loss: 0.83537, step_psnr: 1.17375, strokes: 25 / 500
iteration step 9, G_loss: 0.83357, step_psnr: 1.18439, strokes: 25 / 500
iteration step 10, G_loss: 0.83175, step_psnr: 1.19525, strokes: 25 / 500
iteration step 11, G_loss: 0.82995, step_psnr: 1.20650, strokes: 25 / 500
iteration step 12, G_loss: 0.82806, step_psnr: 1.21740, strokes: 25 / 500
iteration step 13, G_loss: 0.82621, step_psnr: 1.22823, strokes: 25 / 500
iteration step 14, G_loss: 0.82441, step_psnr: 1.23880, strokes: 25 / 500
iteration step 15, G_loss: 0.82269, step_psnr: 1.24958, strokes: 25 / 500
iteration step 16, G_loss: 0.82095, step_psnr: 1.26094, strokes: 25 / 500
iteration step 17, G_loss: 0.81910, step_psnr: 1.27141, strokes: 25 / 500
iteration step 18, G_loss: 0.81738, step_psnr: 1.28189, strokes: 25 / 500
iteration step 19, G_loss: 0.81570, step_psnr: 1.29207, strokes: 25 / 500
iteration step 20, G_loss: 0.81400, step_psnr: 1.30289, strokes: 25 / 500
iteration step 21, G_loss: 0.81225, step_psnr: 1.31304, strokes: 25 / 500
iteration step 22, G_loss: 0.81057, step_psnr: 1.32264, strokes: 25 / 500
iteration step 23, G_loss: 0.80895, step_psnr: 1.33327, strokes: 25 / 500
iteration step 24, G_loss: 0.80727, step_psnr: 1.34401, strokes: 25 / 500
iteration step 25, G_loss: 0.80549, step_psnr: 1.42131, strokes: 50 / 500
iteration step 26, G_loss: 0.79312, step_psnr: 1.45580, strokes: 50 / 500
iteration step 27, G_loss: 0.78762, step_psnr: 1.48667, strokes: 50 / 500
iteration step 28, G_loss: 0.78272, step_psnr: 1.51483, strokes: 50 / 500
iteration step 29, G_loss: 0.77834, step_psnr: 1.54209, strokes: 50 / 500
iteration step 30, G_loss: 0.77402, step_psnr: 1.56684, strokes: 50 / 500
iteration step 31, G_loss: 0.77016, step_psnr: 1.59235, strokes: 50 / 500
iteration step 32, G_loss: 0.76620, step_psnr: 1.61719, strokes: 50 / 500
iteration step 33, G_loss: 0.76245, step_psnr: 1.64062, strokes: 50 / 500
iteration step 34, G_loss: 0.75884, step_psnr: 1.66581, strokes: 50 / 500
iteration step 35, G_loss: 0.75497, step_psnr: 1.69046, strokes: 50 / 500
iteration step 36, G_loss: 0.75126, step_psnr: 1.71554, strokes: 50 / 500
iteration step 37, G_loss: 0.74750, step_psnr: 1.74121, strokes: 50 / 500
iteration step 38, G_loss: 0.74370, step_psnr: 1.76605, strokes: 50 / 500
iteration step 39, G_loss: 0.73993, step_psnr: 1.79106, strokes: 50 / 500
iteration step 40, G_loss: 0.73618, step_psnr: 1.81524, strokes: 50 / 500
iteration step 41, G_loss: 0.73253, step_psnr: 1.84018, strokes: 50 / 500
iteration step 42, G_loss: 0.72892, step_psnr: 1.86429, strokes: 50 / 500
iteration step 43, G_loss: 0.72528, step_psnr: 1.88912, strokes: 50 / 500
iteration step 44, G_loss: 0.72168, step_psnr: 1.91293, strokes: 50 / 500
iteration step 45, G_loss: 0.71821, step_psnr: 1.93734, strokes: 50 / 500
iteration step 46, G_loss: 0.71468, step_psnr: 1.96267, strokes: 50 / 500
iteration step 47, G_loss: 0.71114, step_psnr: 1.98907, strokes: 50 / 500
