initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 4.95634, strokes: 25 / 500
iteration step 1, G_loss: 0.49217, step_psnr: 4.96898, strokes: 25 / 500
iteration step 2, G_loss: 0.49059, step_psnr: 4.98045, strokes: 25 / 500
iteration step 3, G_loss: 0.48922, step_psnr: 4.99048, strokes: 25 / 500
iteration step 4, G_loss: 0.48807, step_psnr: 4.99944, strokes: 25 / 500
iteration step 5, G_loss: 0.48700, step_psnr: 5.00818, strokes: 25 / 500
iteration step 6, G_loss: 0.48599, step_psnr: 5.01700, strokes: 25 / 500
iteration step 7, G_loss: 0.48505, step_psnr: 5.02628, strokes: 25 / 500
iteration step 8, G_loss: 0.48406, step_psnr: 5.03551, strokes: 25 / 500
iteration step 9, G_loss: 0.48308, step_psnr: 5.04339, strokes: 25 / 500
iteration step 10, G_loss: 0.48216, step_psnr: 5.05116, strokes: 25 / 500
iteration step 11, G_loss: 0.48126, step_psnr: 5.06041, strokes: 25 / 500
iteration step 12, G_loss: 0.48027, step_psnr: 5.06950, strokes: 25 / 500
iteration step 13, G_loss: 0.47935, step_psnr: 5.07795, strokes: 25 / 500
iteration step 14, G_loss: 0.47841, step_psnr: 5.08550, strokes: 25 / 500
iteration step 15, G_loss: 0.47757, step_psnr: 5.09406, strokes: 25 / 500
iteration step 16, G_loss: 0.47668, step_psnr: 5.10254, strokes: 25 / 500
iteration step 17, G_loss: 0.47581, step_psnr: 5.11109, strokes: 25 / 500
iteration step 18, G_loss: 0.47497, step_psnr: 5.12081, strokes: 25 / 500
iteration step 19, G_loss: 0.47402, step_psnr: 5.13080, strokes: 25 / 500
iteration step 20, G_loss: 0.47308, step_psnr: 5.14018, strokes: 25 / 500
iteration step 21, G_loss: 0.47219, step_psnr: 5.14794, strokes: 25 / 500
iteration step 22, G_loss: 0.47136, step_psnr: 5.15860, strokes: 25 / 500
iteration step 23, G_loss: 0.47041, step_psnr: 5.16890, strokes: 25 / 500
iteration step 24, G_loss: 0.46944, step_psnr: 5.17864, strokes: 25 / 500
iteration step 25, G_loss: 0.46853, step_psnr: 5.28123, strokes: 50 / 500
iteration step 26, G_loss: 0.46011, step_psnr: 5.32396, strokes: 50 / 500
iteration step 27, G_loss: 0.45644, step_psnr: 5.35852, strokes: 50 / 500
iteration step 28, G_loss: 0.45350, step_psnr: 5.38804, strokes: 50 / 500
iteration step 29, G_loss: 0.45093, step_psnr: 5.41899, strokes: 50 / 500
iteration step 30, G_loss: 0.44830, step_psnr: 5.44822, strokes: 50 / 500
iteration step 31, G_loss: 0.44581, step_psnr: 5.47831, strokes: 50 / 500
iteration step 32, G_loss: 0.44338, step_psnr: 5.50646, strokes: 50 / 500
iteration step 33, G_loss: 0.44095, step_psnr: 5.53507, strokes: 50 / 500
iteration step 34, G_loss: 0.43862, step_psnr: 5.56366, strokes: 50 / 500
iteration step 35, G_loss: 0.43620, step_psnr: 5.59080, strokes: 50 / 500
iteration step 36, G_loss: 0.43390, step_psnr: 5.61909, strokes: 50 / 500
iteration step 37, G_loss: 0.43164, step_psnr: 5.64800, strokes: 50 / 500
iteration step 38, G_loss: 0.42936, step_psnr: 5.67619, strokes: 50 / 500
iteration step 39, G_loss: 0.42710, step_psnr: 5.70426, strokes: 50 / 500
iteration step 40, G_loss: 0.42482, step_psnr: 5.73118, strokes: 50 / 500
iteration step 41, G_loss: 0.42260, step_psnr: 5.75852, strokes: 50 / 500
iteration step 42, G_loss: 0.42044, step_psnr: 5.78691, strokes: 50 / 500
iteration step 43, G_loss: 0.41827, step_psnr: 5.81411, strokes: 50 / 500
iteration step 44, G_loss: 0.41616, step_psnr: 5.84082, strokes: 50 / 500
iteration step 45, G_loss: 0.41412, step_psnr: 5.86809, strokes: 50 / 500
iteration step 46, G_loss: 0.41201, step_psnr: 5.89564, strokes: 50 / 500
iteration step 47, G_loss: 0.40996, step_psnr: 5.92355, strokes: 50 / 500
iteration step 48, G_loss: 0.40784, step_psnr: 5.95315, strokes: 50 / 500
iteration step 49, G_loss: 0.40568, step_psnr: 5.98022, strokes: 50 / 500
iteration step 50, G_loss: 0.40362, step_psnr: 6.11506, strokes: 75 / 500
iteration step 51, G_loss: 0.39432, step_psnr: 6.18076, strokes: 75 / 500
iteration step 52, G_loss: 0.38984, step_psnr: 6.23718, strokes: 75 / 500
iteration step 53, G_loss: 0.38589, step_psnr: 6.29374, strokes: 75 / 500
iteration step 54, G_loss: 0.38200, step_psnr: 6.34859, strokes: 75 / 500
iteration step 55, G_loss: 0.37836, step_psnr: 6.40149, strokes: 75 / 500
iteration step 56, G_loss: 0.37482, step_psnr: 6.45093, strokes: 75 / 500
iteration step 57, G_loss: 0.37161, step_psnr: 6.50070, strokes: 75 / 500
iteration step 58, G_loss: 0.36838, step_psnr: 6.54801, strokes: 75 / 500
iteration step 59, G_loss: 0.36526, step_psnr: 6.59766, strokes: 75 / 500
iteration step 60, G_loss: 0.36211, step_psnr: 6.64884, strokes: 75 / 500
iteration step 61, G_loss: 0.35898, step_psnr: 6.69519, strokes: 75 / 500
iteration step 62, G_loss: 0.35600, step_psnr: 6.74395, strokes: 75 / 500
