initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 2.40946, strokes: 25 / 500
iteration step 1, G_loss: 0.69278, step_psnr: 2.42318, strokes: 25 / 500
iteration step 2, G_loss: 0.69042, step_psnr: 2.43502, strokes: 25 / 500
iteration step 3, G_loss: 0.68847, step_psnr: 2.44617, strokes: 25 / 500
iteration step 4, G_loss: 0.68671, step_psnr: 2.45617, strokes: 25 / 500
iteration step 5, G_loss: 0.68513, step_psnr: 2.46462, strokes: 25 / 500
iteration step 6, G_loss: 0.68377, step_psnr: 2.47391, strokes: 25 / 500
iteration step 7, G_loss: 0.68233, step_psnr: 2.48285, strokes: 25 / 500
iteration step 8, G_loss: 0.68101, step_psnr: 2.49142, strokes: 25 / 500
iteration step 9, G_loss: 0.67967, step_psnr: 2.49943, strokes: 25 / 500
iteration step 10, G_loss: 0.67848, step_psnr: 2.50723, strokes: 25 / 500
iteration step 11, G_loss: 0.67727, step_psnr: 2.51519, strokes: 25 / 500
iteration step 12, G_loss: 0.67604, step_psnr: 2.52240, strokes: 25 / 500
iteration step 13, G_loss: 0.67489, step_psnr: 2.53052, strokes: 25 / 500
iteration step 14, G_loss: 0.67370, step_psnr: 2.53798, strokes: 25 / 500
iteration step 15, G_loss: 0.67253, step_psnr: 2.54642, strokes: 25 / 500
iteration step 16, G_loss: 0.67138, step_psnr: 2.55552, strokes: 25 / 500
iteration step 17, G_loss: 0.67012, step_psnr: 2.56463, strokes: 25 / 500
iteration step 18, G_loss: 0.66885, step_psnr: 2.57404, strokes: 25 / 500
iteration step 19, G_loss: 0.66759, step_psnr: 2.58251, strokes: 25 / 500
iteration step 20, G_loss: 0.66638, step_psnr: 2.59211, strokes: 25 / 500
iteration step 21, G_loss: 0.66509, step_psnr: 2.60252, strokes: 25 / 500
iteration step 22, G_loss: 0.66371, step_psnr: 2.61202, strokes: 25 / 500
iteration step 23, G_loss: 0.66244, step_psnr: 2.62240, strokes: 25 / 500
iteration step 24, G_loss: 0.66104, step_psnr: 2.63416, strokes: 25 / 500
iteration step 25, G_loss: 0.65955, step_psnr: 2.73406, strokes: 50 / 500
iteration step 26, G_loss: 0.64758, step_psnr: 2.77376, strokes: 50 / 500
iteration step 27, G_loss: 0.64263, step_psnr: 2.80773, strokes: 50 / 500
iteration step 28, G_loss: 0.63847, step_psnr: 2.83873, strokes: 50 / 500
iteration step 29, G_loss: 0.63462, step_psnr: 2.86747, strokes: 50 / 500
iteration step 30, G_loss: 0.63111, step_psnr: 2.89645, strokes: 50 / 500
iteration step 31, G_loss: 0.62759, step_psnr: 2.92489, strokes: 50 / 500
iteration step 32, G_loss: 0.62408, step_psnr: 2.95270, strokes: 50 / 500
iteration step 33, G_loss: 0.62070, step_psnr: 2.98176, strokes: 50 / 500
iteration step 34, G_loss: 0.61731, step_psnr: 3.00804, strokes: 50 / 500
iteration step 35, G_loss: 0.61408, step_psnr: 3.03453, strokes: 50 / 500
iteration step 36, G_loss: 0.61093, step_psnr: 3.06197, strokes: 50 / 500
iteration step 37, G_loss: 0.60769, step_psnr: 3.08915, strokes: 50 / 500
iteration step 38, G_loss: 0.60441, step_psnr: 3.11882, strokes: 50 / 500
iteration step 39, G_loss: 0.60101, step_psnr: 3.14608, strokes: 50 / 500
iteration step 40, G_loss: 0.59784, step_psnr: 3.17373, strokes: 50 / 500
iteration step 41, G_loss: 0.59461, step_psnr: 3.20105, strokes: 50 / 500
iteration step 42, G_loss: 0.59147, step_psnr: 3.22744, strokes: 50 / 500
iteration step 43, G_loss: 0.58844, step_psnr: 3.25375, strokes: 50 / 500
iteration step 44, G_loss: 0.58543, step_psnr: 3.28039, strokes: 50 / 500
iteration step 45, G_loss: 0.58239, step_psnr: 3.30846, strokes: 50 / 500
iteration step 46, G_loss: 0.57922, step_psnr: 3.33481, strokes: 50 / 500
iteration step 47, G_loss: 0.57630, step_psnr: 3.36031, strokes: 50 / 500
iteration step 48, G_loss: 0.57342, step_psnr: 3.38792, strokes: 50 / 500
iteration step 49, G_loss: 0.57046, step_psnr: 3.41669, strokes: 50 / 500
iteration step 50, G_loss: 0.56736, step_psnr: 3.56700, strokes: 75 / 500
iteration step 51, G_loss: 0.55248, step_psnr: 3.63179, strokes: 75 / 500
iteration step 52, G_loss: 0.54583, step_psnr: 3.68825, strokes: 75 / 500
iteration step 53, G_loss: 0.54009, step_psnr: 3.73956, strokes: 75 / 500
iteration step 54, G_loss: 0.53478, step_psnr: 3.79064, strokes: 75 / 500
iteration step 55, G_loss: 0.52962, step_psnr: 3.83754, strokes: 75 / 500
iteration step 56, G_loss: 0.52493, step_psnr: 3.88447, strokes: 75 / 500
iteration step 57, G_loss: 0.52027, step_psnr: 3.93001, strokes: 75 / 500
iteration step 58, G_loss: 0.51580, step_psnr: 3.97510, strokes: 75 / 500
iteration step 59, G_loss: 0.51132, step_psnr: 4.02025, strokes: 75 / 500
iteration step 60, G_loss: 0.50696, step_psnr: 4.06455, strokes: 75 / 500
iteration step 61, G_loss: 0.50266, step_psnr: 4.11212, strokes: 75 / 500
iteration step 62, G_loss: 0.49819, step_psnr: 4.15925, strokes: 75 / 500
iteration step 63, G_loss: 0.49380, step_psnr: 4.20584, strokes: 75 / 500
iteration step 64, G_loss: 0.48947, step_psnr: 4.25114, strokes: 75 / 500
iteration step 65, G_loss: 0.48532, step_psnr: 4.29861, strokes: 75 / 500
iteration step 66, G_loss: 0.48109, step_psnr: 4.34651, strokes: 75 / 500
iteration step 67, G_loss: 0.47682, step_psnr: 4.39354, strokes: 75 / 500
iteration step 68, G_loss: 0.47268, step_psnr: 4.44168, strokes: 75 / 500
iteration step 69, G_loss: 0.46851, step_psnr: 4.48911, strokes: 75 / 500
iteration step 70, G_loss: 0.46439, step_psnr: 4.54029, strokes: 75 / 500
iteration step 71, G_loss: 0.46011, step_psnr: 4.59209, strokes: 75 / 500
iteration step 72, G_loss: 0.45575, step_psnr: 4.64078, strokes: 75 / 500
iteration step 73, G_loss: 0.45170, step_psnr: 4.68910, strokes: 75 / 500
iteration step 74, G_loss: 0.44772, step_psnr: 4.73618, strokes: 75 / 500
iteration step 75, G_loss: 0.44382, step_psnr: 4.94098, strokes: 100 / 500
iteration step 76, G_loss: 0.42870, step_psnr: 5.03796, strokes: 100 / 500
iteration step 77, G_loss: 0.42143, step_psnr: 5.12220, strokes: 100 / 500
iteration step 78, G_loss: 0.41506, step_psnr: 5.20598, strokes: 100 / 500
iteration step 79, G_loss: 0.40900, step_psnr: 5.28927, strokes: 100 / 500
iteration step 80, G_loss: 0.40312, step_psnr: 5.37072, strokes: 100 / 500
iteration step 81, G_loss: 0.39736, step_psnr: 5.45096, strokes: 100 / 500
iteration step 82, G_loss: 0.39177, step_psnr: 5.53098, strokes: 100 / 500
iteration step 83, G_loss: 0.38631, step_psnr: 5.60691, strokes: 100 / 500
iteration step 84, G_loss: 0.38120, step_psnr: 5.67618, strokes: 100 / 500
iteration step 85, G_loss: 0.37649, step_psnr: 5.75183, strokes: 100 / 500
iteration step 86, G_loss: 0.37154, step_psnr: 5.83456, strokes: 100 / 500
iteration step 87, G_loss: 0.36640, step_psnr: 5.91284, strokes: 100 / 500
iteration step 88, G_loss: 0.36138, step_psnr: 5.99199, strokes: 100 / 500
iteration step 89, G_loss: 0.35646, step_psnr: 6.06805, strokes: 100 / 500
iteration step 90, G_loss: 0.35173, step_psnr: 6.14733, strokes: 100 / 500
iteration step 91, G_loss: 0.34698, step_psnr: 6.22169, strokes: 100 / 500
iteration step 92, G_loss: 0.34263, step_psnr: 6.29670, strokes: 100 / 500
iteration step 93, G_loss: 0.33818, step_psnr: 6.37683, strokes: 100 / 500
iteration step 94, G_loss: 0.33367, step_psnr: 6.45732, strokes: 100 / 500
iteration step 95, G_loss: 0.32914, step_psnr: 6.53359, strokes: 100 / 500
iteration step 96, G_loss: 0.32486, step_psnr: 6.61078, strokes: 100 / 500
iteration step 97, G_loss: 0.32067, step_psnr: 6.68731, strokes: 100 / 500
iteration step 98, G_loss: 0.31649, step_psnr: 6.76263, strokes: 100 / 500
iteration step 99, G_loss: 0.31253, step_psnr: 6.83306, strokes: 100 / 500
iteration step 100, G_loss: 0.30871, step_psnr: 7.09377, strokes: 125 / 500
