initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 2.53972, strokes: 25 / 500
iteration step 1, G_loss: 0.68527, step_psnr: 2.55173, strokes: 25 / 500
iteration step 2, G_loss: 0.68333, step_psnr: 2.56189, strokes: 25 / 500
iteration step 3, G_loss: 0.68177, step_psnr: 2.57191, strokes: 25 / 500
iteration step 4, G_loss: 0.68035, step_psnr: 2.58104, strokes: 25 / 500
iteration step 5, G_loss: 0.67902, step_psnr: 2.59096, strokes: 25 / 500
iteration step 6, G_loss: 0.67758, step_psnr: 2.59921, strokes: 25 / 500
iteration step 7, G_loss: 0.67639, step_psnr: 2.60886, strokes: 25 / 500
iteration step 8, G_loss: 0.67505, step_psnr: 2.61868, strokes: 25 / 500
iteration step 9, G_loss: 0.67373, step_psnr: 2.62868, strokes: 25 / 500
iteration step 10, G_loss: 0.67239, step_psnr: 2.63794, strokes: 25 / 500
iteration step 11, G_loss: 0.67105, step_psnr: 2.64694, strokes: 25 / 500
iteration step 12, G_loss: 0.66977, step_psnr: 2.65659, strokes: 25 / 500
iteration step 13, G_loss: 0.66843, step_psnr: 2.66674, strokes: 25 / 500
iteration step 14, G_loss: 0.66709, step_psnr: 2.67500, strokes: 25 / 500
iteration step 15, G_loss: 0.66587, step_psnr: 2.68411, strokes: 25 / 500
iteration step 16, G_loss: 0.66459, step_psnr: 2.69325, strokes: 25 / 500
iteration step 17, G_loss: 0.66333, step_psnr: 2.70209, strokes: 25 / 500
iteration step 18, G_loss: 0.66208, step_psnr: 2.71207, strokes: 25 / 500
iteration step 19, G_loss: 0.66076, step_psnr: 2.72188, strokes: 25 / 500
iteration step 20, G_loss: 0.65949, step_psnr: 2.73219, strokes: 25 / 500
iteration step 21, G_loss: 0.65811, step_psnr: 2.74092, strokes: 25 / 500
iteration step 22, G_loss: 0.65695, step_psnr: 2.75051, strokes: 25 / 500
iteration step 23, G_loss: 0.65561, step_psnr: 2.76089, strokes: 25 / 500
iteration step 24, G_loss: 0.65426, step_psnr: 2.77014, strokes: 25 / 500
iteration step 25, G_loss: 0.65302, step_psnr: 2.86998, strokes: 50 / 500
iteration step 26, G_loss: 0.64109, step_psnr: 2.90840, strokes: 50 / 500
iteration step 27, G_loss: 0.63643, step_psnr: 2.94257, strokes: 50 / 500
iteration step 28, G_loss: 0.63234, step_psnr: 2.97455, strokes: 50 / 500
iteration step 29, G_loss: 0.62852, step_psnr: 3.00636, strokes: 50 / 500
iteration step 30, G_loss: 0.62479, step_psnr: 3.03634, strokes: 50 / 500
iteration step 31, G_loss: 0.62122, step_psnr: 3.06355, strokes: 50 / 500
iteration step 32, G_loss: 0.61799, step_psnr: 3.09196, strokes: 50 / 500
iteration step 33, G_loss: 0.61468, step_psnr: 3.11957, strokes: 50 / 500
iteration step 34, G_loss: 0.61140, step_psnr: 3.14831, strokes: 50 / 500
iteration step 35, G_loss: 0.60814, step_psnr: 3.17411, strokes: 50 / 500
iteration step 36, G_loss: 0.60504, step_psnr: 3.20088, strokes: 50 / 500
iteration step 37, G_loss: 0.60190, step_psnr: 3.22527, strokes: 50 / 500
iteration step 38, G_loss: 0.59897, step_psnr: 3.25049, strokes: 50 / 500
iteration step 39, G_loss: 0.59605, step_psnr: 3.27678, strokes: 50 / 500
iteration step 40, G_loss: 0.59296, step_psnr: 3.30279, strokes: 50 / 500
iteration step 41, G_loss: 0.58996, step_psnr: 3.33066, strokes: 50 / 500
iteration step 42, G_loss: 0.58689, step_psnr: 3.35623, strokes: 50 / 500
iteration step 43, G_loss: 0.58393, step_psnr: 3.38096, strokes: 50 / 500
iteration step 44, G_loss: 0.58107, step_psnr: 3.40524, strokes: 50 / 500
iteration step 45, G_loss: 0.57830, step_psnr: 3.43033, strokes: 50 / 500
iteration step 46, G_loss: 0.57548, step_psnr: 3.45491, strokes: 50 / 500
iteration step 47, G_loss: 0.57271, step_psnr: 3.48162, strokes: 50 / 500
iteration step 48, G_loss: 0.56975, step_psnr: 3.50929, strokes: 50 / 500
iteration step 49, G_loss: 0.56680, step_psnr: 3.53516, strokes: 50 / 500
iteration step 50, G_loss: 0.56389, step_psnr: 3.65855, strokes: 75 / 500
iteration step 51, G_loss: 0.55139, step_psnr: 3.71715, strokes: 75 / 500
iteration step 52, G_loss: 0.54529, step_psnr: 3.77206, strokes: 75 / 500
iteration step 53, G_loss: 0.53959, step_psnr: 3.82495, strokes: 75 / 500
iteration step 54, G_loss: 0.53424, step_psnr: 3.87495, strokes: 75 / 500
iteration step 55, G_loss: 0.52924, step_psnr: 3.92248, strokes: 75 / 500
iteration step 56, G_loss: 0.52441, step_psnr: 3.96890, strokes: 75 / 500
iteration step 57, G_loss: 0.51981, step_psnr: 4.01582, strokes: 75 / 500
iteration step 58, G_loss: 0.51520, step_psnr: 4.06265, strokes: 75 / 500
iteration step 59, G_loss: 0.51066, step_psnr: 4.10857, strokes: 75 / 500
iteration step 60, G_loss: 0.50615, step_psnr: 4.15538, strokes: 75 / 500
iteration step 61, G_loss: 0.50167, step_psnr: 4.20119, strokes: 75 / 500
iteration step 62, G_loss: 0.49732, step_psnr: 4.24730, strokes: 75 / 500
iteration step 63, G_loss: 0.49303, step_psnr: 4.29349, strokes: 75 / 500
iteration step 64, G_loss: 0.48880, step_psnr: 4.34022, strokes: 75 / 500
iteration step 65, G_loss: 0.48456, step_psnr: 4.38772, strokes: 75 / 500
iteration step 66, G_loss: 0.48023, step_psnr: 4.43448, strokes: 75 / 500
iteration step 67, G_loss: 0.47601, step_psnr: 4.48205, strokes: 75 / 500
iteration step 68, G_loss: 0.47174, step_psnr: 4.52920, strokes: 75 / 500
iteration step 69, G_loss: 0.46755, step_psnr: 4.57238, strokes: 75 / 500
iteration step 70, G_loss: 0.46365, step_psnr: 4.61769, strokes: 75 / 500
iteration step 71, G_loss: 0.45966, step_psnr: 4.66117, strokes: 75 / 500
iteration step 72, G_loss: 0.45578, step_psnr: 4.70378, strokes: 75 / 500
iteration step 73, G_loss: 0.45199, step_psnr: 4.74714, strokes: 75 / 500
iteration step 74, G_loss: 0.44820, step_psnr: 4.79051, strokes: 75 / 500
iteration step 75, G_loss: 0.44454, step_psnr: 4.97051, strokes: 100 / 500
iteration step 76, G_loss: 0.43097, step_psnr: 5.05869, strokes: 100 / 500
iteration step 77, G_loss: 0.42413, step_psnr: 5.14150, strokes: 100 / 500
iteration step 78, G_loss: 0.41781, step_psnr: 5.22225, strokes: 100 / 500
iteration step 79, G_loss: 0.41177, step_psnr: 5.29946, strokes: 100 / 500
iteration step 80, G_loss: 0.40600, step_psnr: 5.37514, strokes: 100 / 500
iteration step 81, G_loss: 0.40050, step_psnr: 5.44997, strokes: 100 / 500
iteration step 82, G_loss: 0.39510, step_psnr: 5.52156, strokes: 100 / 500
iteration step 83, G_loss: 0.38997, step_psnr: 5.59422, strokes: 100 / 500
iteration step 84, G_loss: 0.38482, step_psnr: 5.66606, strokes: 100 / 500
iteration step 85, G_loss: 0.37980, step_psnr: 5.73829, strokes: 100 / 500
iteration step 86, G_loss: 0.37492, step_psnr: 5.80760, strokes: 100 / 500
iteration step 87, G_loss: 0.37018, step_psnr: 5.87809, strokes: 100 / 500
iteration step 88, G_loss: 0.36552, step_psnr: 5.95091, strokes: 100 / 500
iteration step 89, G_loss: 0.36077, step_psnr: 6.02474, strokes: 100 / 500
iteration step 90, G_loss: 0.35610, step_psnr: 6.09415, strokes: 100 / 500
iteration step 91, G_loss: 0.35164, step_psnr: 6.16973, strokes: 100 / 500
iteration step 92, G_loss: 0.34702, step_psnr: 6.24241, strokes: 100 / 500
iteration step 93, G_loss: 0.34246, step_psnr: 6.31652, strokes: 100 / 500
iteration step 94, G_loss: 0.33802, step_psnr: 6.38804, strokes: 100 / 500
