initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 5.72424, strokes: 25 / 500
iteration step 1, G_loss: 0.43219, step_psnr: 5.72992, strokes: 25 / 500
iteration step 2, G_loss: 0.43162, step_psnr: 5.73563, strokes: 25 / 500
iteration step 3, G_loss: 0.43106, step_psnr: 5.74115, strokes: 25 / 500
iteration step 4, G_loss: 0.43060, step_psnr: 5.74499, strokes: 25 / 500
iteration step 5, G_loss: 0.43022, step_psnr: 5.74937, strokes: 25 / 500
iteration step 6, G_loss: 0.42978, step_psnr: 5.75426, strokes: 25 / 500
iteration step 7, G_loss: 0.42941, step_psnr: 5.75819, strokes: 25 / 500
iteration step 8, G_loss: 0.42903, step_psnr: 5.76216, strokes: 25 / 500
iteration step 9, G_loss: 0.42868, step_psnr: 5.76616, strokes: 25 / 500
iteration step 10, G_loss: 0.42834, step_psnr: 5.77046, strokes: 25 / 500
iteration step 11, G_loss: 0.42799, step_psnr: 5.77307, strokes: 25 / 500
iteration step 12, G_loss: 0.42767, step_psnr: 5.77760, strokes: 25 / 500
iteration step 13, G_loss: 0.42731, step_psnr: 5.78144, strokes: 25 / 500
iteration step 14, G_loss: 0.42695, step_psnr: 5.78585, strokes: 25 / 500
iteration step 15, G_loss: 0.42659, step_psnr: 5.78936, strokes: 25 / 500
iteration step 16, G_loss: 0.42627, step_psnr: 5.79407, strokes: 25 / 500
iteration step 17, G_loss: 0.42592, step_psnr: 5.79855, strokes: 25 / 500
iteration step 18, G_loss: 0.42553, step_psnr: 5.80330, strokes: 25 / 500
iteration step 19, G_loss: 0.42518, step_psnr: 5.80772, strokes: 25 / 500
iteration step 20, G_loss: 0.42483, step_psnr: 5.81231, strokes: 25 / 500
iteration step 21, G_loss: 0.42448, step_psnr: 5.81710, strokes: 25 / 500
iteration step 22, G_loss: 0.42408, step_psnr: 5.82174, strokes: 25 / 500
iteration step 23, G_loss: 0.42371, step_psnr: 5.82609, strokes: 25 / 500
