initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 4.29216, strokes: 25 / 500
iteration step 1, G_loss: 0.55312, step_psnr: 4.30785, strokes: 25 / 500
iteration step 2, G_loss: 0.55132, step_psnr: 4.32120, strokes: 25 / 500
iteration step 3, G_loss: 0.54972, step_psnr: 4.33345, strokes: 25 / 500
iteration step 4, G_loss: 0.54827, step_psnr: 4.34549, strokes: 25 / 500
iteration step 5, G_loss: 0.54691, step_psnr: 4.35658, strokes: 25 / 500
iteration step 6, G_loss: 0.54563, step_psnr: 4.36689, strokes: 25 / 500
iteration step 7, G_loss: 0.54441, step_psnr: 4.37742, strokes: 25 / 500
iteration step 8, G_loss: 0.54320, step_psnr: 4.38878, strokes: 25 / 500
iteration step 9, G_loss: 0.54195, step_psnr: 4.39928, strokes: 25 / 500
iteration step 10, G_loss: 0.54079, step_psnr: 4.40987, strokes: 25 / 500
iteration step 11, G_loss: 0.53957, step_psnr: 4.42076, strokes: 25 / 500
iteration step 12, G_loss: 0.53841, step_psnr: 4.43262, strokes: 25 / 500
iteration step 13, G_loss: 0.53714, step_psnr: 4.44315, strokes: 25 / 500
iteration step 14, G_loss: 0.53595, step_psnr: 4.45406, strokes: 25 / 500
iteration step 15, G_loss: 0.53473, step_psnr: 4.46487, strokes: 25 / 500
iteration step 16, G_loss: 0.53353, step_psnr: 4.47568, strokes: 25 / 500
iteration step 17, G_loss: 0.53234, step_psnr: 4.48700, strokes: 25 / 500
iteration step 18, G_loss: 0.53111, step_psnr: 4.49877, strokes: 25 / 500
iteration step 19, G_loss: 0.52987, step_psnr: 4.51013, strokes: 25 / 500
iteration step 20, G_loss: 0.52868, step_psnr: 4.52189, strokes: 25 / 500
iteration step 21, G_loss: 0.52745, step_psnr: 4.53276, strokes: 25 / 500
iteration step 22, G_loss: 0.52628, step_psnr: 4.54463, strokes: 25 / 500
iteration step 23, G_loss: 0.52512, step_psnr: 4.55544, strokes: 25 / 500
iteration step 24, G_loss: 0.52393, step_psnr: 4.56614, strokes: 25 / 500
iteration step 25, G_loss: 0.52281, step_psnr: 4.65870, strokes: 50 / 500
iteration step 26, G_loss: 0.51378, step_psnr: 4.69982, strokes: 50 / 500
iteration step 27, G_loss: 0.50969, step_psnr: 4.73510, strokes: 50 / 500
