initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 2.53153, strokes: 25 / 500
iteration step 1, G_loss: 0.72113, step_psnr: 2.54753, strokes: 25 / 500
iteration step 2, G_loss: 0.71865, step_psnr: 2.56094, strokes: 25 / 500
iteration step 3, G_loss: 0.71659, step_psnr: 2.57388, strokes: 25 / 500
iteration step 4, G_loss: 0.71455, step_psnr: 2.58505, strokes: 25 / 500
iteration step 5, G_loss: 0.71284, step_psnr: 2.59736, strokes: 25 / 500
iteration step 6, G_loss: 0.71099, step_psnr: 2.60811, strokes: 25 / 500
iteration step 7, G_loss: 0.70932, step_psnr: 2.61897, strokes: 25 / 500
iteration step 8, G_loss: 0.70761, step_psnr: 2.62935, strokes: 25 / 500
iteration step 9, G_loss: 0.70605, step_psnr: 2.63944, strokes: 25 / 500
iteration step 10, G_loss: 0.70453, step_psnr: 2.65022, strokes: 25 / 500
iteration step 11, G_loss: 0.70293, step_psnr: 2.66121, strokes: 25 / 500
iteration step 12, G_loss: 0.70134, step_psnr: 2.67061, strokes: 25 / 500
iteration step 13, G_loss: 0.69991, step_psnr: 2.68063, strokes: 25 / 500
iteration step 14, G_loss: 0.69843, step_psnr: 2.69103, strokes: 25 / 500
iteration step 15, G_loss: 0.69695, step_psnr: 2.70159, strokes: 25 / 500
iteration step 16, G_loss: 0.69543, step_psnr: 2.71202, strokes: 25 / 500
iteration step 17, G_loss: 0.69392, step_psnr: 2.72239, strokes: 25 / 500
iteration step 18, G_loss: 0.69242, step_psnr: 2.73246, strokes: 25 / 500
iteration step 19, G_loss: 0.69091, step_psnr: 2.74300, strokes: 25 / 500
iteration step 20, G_loss: 0.68939, step_psnr: 2.75405, strokes: 25 / 500
iteration step 21, G_loss: 0.68778, step_psnr: 2.76521, strokes: 25 / 500
iteration step 22, G_loss: 0.68624, step_psnr: 2.77531, strokes: 25 / 500
iteration step 23, G_loss: 0.68472, step_psnr: 2.78631, strokes: 25 / 500
iteration step 24, G_loss: 0.68317, step_psnr: 2.79816, strokes: 25 / 500
iteration step 25, G_loss: 0.68158, step_psnr: 2.86493, strokes: 50 / 500
iteration step 26, G_loss: 0.67222, step_psnr: 2.89910, strokes: 50 / 500
iteration step 27, G_loss: 0.66760, step_psnr: 2.92796, strokes: 50 / 500
iteration step 28, G_loss: 0.66372, step_psnr: 2.95594, strokes: 50 / 500
iteration step 29, G_loss: 0.65992, step_psnr: 2.98218, strokes: 50 / 500
iteration step 30, G_loss: 0.65630, step_psnr: 3.00736, strokes: 50 / 500
iteration step 31, G_loss: 0.65285, step_psnr: 3.03244, strokes: 50 / 500
iteration step 32, G_loss: 0.64948, step_psnr: 3.05532, strokes: 50 / 500
iteration step 33, G_loss: 0.64637, step_psnr: 3.08008, strokes: 50 / 500
iteration step 34, G_loss: 0.64313, step_psnr: 3.10416, strokes: 50 / 500
iteration step 35, G_loss: 0.63990, step_psnr: 3.12829, strokes: 50 / 500
iteration step 36, G_loss: 0.63668, step_psnr: 3.15286, strokes: 50 / 500
iteration step 37, G_loss: 0.63346, step_psnr: 3.17715, strokes: 50 / 500
iteration step 38, G_loss: 0.63031, step_psnr: 3.20179, strokes: 50 / 500
iteration step 39, G_loss: 0.62715, step_psnr: 3.22535, strokes: 50 / 500
iteration step 40, G_loss: 0.62401, step_psnr: 3.24961, strokes: 50 / 500
iteration step 41, G_loss: 0.62087, step_psnr: 3.27402, strokes: 50 / 500
iteration step 42, G_loss: 0.61773, step_psnr: 3.29802, strokes: 50 / 500
iteration step 43, G_loss: 0.61470, step_psnr: 3.32119, strokes: 50 / 500
iteration step 44, G_loss: 0.61170, step_psnr: 3.34630, strokes: 50 / 500
iteration step 45, G_loss: 0.60859, step_psnr: 3.36990, strokes: 50 / 500
iteration step 46, G_loss: 0.60559, step_psnr: 3.39351, strokes: 50 / 500
iteration step 47, G_loss: 0.60262, step_psnr: 3.41742, strokes: 50 / 500
iteration step 48, G_loss: 0.59965, step_psnr: 3.44160, strokes: 50 / 500
iteration step 49, G_loss: 0.59667, step_psnr: 3.46638, strokes: 50 / 500
iteration step 50, G_loss: 0.59365, step_psnr: 3.56974, strokes: 75 / 500
iteration step 51, G_loss: 0.58157, step_psnr: 3.62251, strokes: 75 / 500
iteration step 52, G_loss: 0.57545, step_psnr: 3.67131, strokes: 75 / 500
iteration step 53, G_loss: 0.56984, step_psnr: 3.71629, strokes: 75 / 500
iteration step 54, G_loss: 0.56463, step_psnr: 3.76102, strokes: 75 / 500
iteration step 55, G_loss: 0.55954, step_psnr: 3.80631, strokes: 75 / 500
iteration step 56, G_loss: 0.55442, step_psnr: 3.85174, strokes: 75 / 500
iteration step 57, G_loss: 0.54939, step_psnr: 3.89515, strokes: 75 / 500
iteration step 58, G_loss: 0.54452, step_psnr: 3.93975, strokes: 75 / 500
iteration step 59, G_loss: 0.53965, step_psnr: 3.98235, strokes: 75 / 500
iteration step 60, G_loss: 0.53496, step_psnr: 4.02664, strokes: 75 / 500
iteration step 61, G_loss: 0.53023, step_psnr: 4.07028, strokes: 75 / 500
iteration step 62, G_loss: 0.52554, step_psnr: 4.11380, strokes: 75 / 500
iteration step 63, G_loss: 0.52099, step_psnr: 4.15932, strokes: 75 / 500
iteration step 64, G_loss: 0.51620, step_psnr: 4.20219, strokes: 75 / 500
iteration step 65, G_loss: 0.51174, step_psnr: 4.24563, strokes: 75 / 500
iteration step 66, G_loss: 0.50731, step_psnr: 4.28667, strokes: 75 / 500
iteration step 67, G_loss: 0.50304, step_psnr: 4.32846, strokes: 75 / 500
iteration step 68, G_loss: 0.49889, step_psnr: 4.36927, strokes: 75 / 500
iteration step 69, G_loss: 0.49478, step_psnr: 4.41211, strokes: 75 / 500
iteration step 70, G_loss: 0.49060, step_psnr: 4.45558, strokes: 75 / 500
iteration step 71, G_loss: 0.48631, step_psnr: 4.49948, strokes: 75 / 500
iteration step 72, G_loss: 0.48210, step_psnr: 4.54179, strokes: 75 / 500
iteration step 73, G_loss: 0.47798, step_psnr: 4.58548, strokes: 75 / 500
iteration step 74, G_loss: 0.47390, step_psnr: 4.63177, strokes: 75 / 500
iteration step 75, G_loss: 0.46967, step_psnr: 4.78611, strokes: 100 / 500
iteration step 76, G_loss: 0.45647, step_psnr: 4.86827, strokes: 100 / 500
iteration step 77, G_loss: 0.44938, step_psnr: 4.94321, strokes: 100 / 500
iteration step 78, G_loss: 0.44288, step_psnr: 5.01755, strokes: 100 / 500
iteration step 79, G_loss: 0.43662, step_psnr: 5.08701, strokes: 100 / 500
iteration step 80, G_loss: 0.43082, step_psnr: 5.15944, strokes: 100 / 500
iteration step 81, G_loss: 0.42490, step_psnr: 5.23068, strokes: 100 / 500
iteration step 82, G_loss: 0.41922, step_psnr: 5.30262, strokes: 100 / 500
iteration step 83, G_loss: 0.41354, step_psnr: 5.37490, strokes: 100 / 500
iteration step 84, G_loss: 0.40786, step_psnr: 5.44800, strokes: 100 / 500
iteration step 85, G_loss: 0.40225, step_psnr: 5.52071, strokes: 100 / 500
iteration step 86, G_loss: 0.39673, step_psnr: 5.59402, strokes: 100 / 500
iteration step 87, G_loss: 0.39125, step_psnr: 5.66707, strokes: 100 / 500
iteration step 88, G_loss: 0.38593, step_psnr: 5.74191, strokes: 100 / 500
iteration step 89, G_loss: 0.38060, step_psnr: 5.81466, strokes: 100 / 500
iteration step 90, G_loss: 0.37530, step_psnr: 5.88980, strokes: 100 / 500
iteration step 91, G_loss: 0.37008, step_psnr: 5.96382, strokes: 100 / 500
iteration step 92, G_loss: 0.36488, step_psnr: 6.04155, strokes: 100 / 500
iteration step 93, G_loss: 0.35963, step_psnr: 6.11763, strokes: 100 / 500
iteration step 94, G_loss: 0.35444, step_psnr: 6.19422, strokes: 100 / 500
iteration step 95, G_loss: 0.34935, step_psnr: 6.27231, strokes: 100 / 500
iteration step 96, G_loss: 0.34422, step_psnr: 6.35062, strokes: 100 / 500
iteration step 97, G_loss: 0.33921, step_psnr: 6.42980, strokes: 100 / 500
iteration step 98, G_loss: 0.33430, step_psnr: 6.50719, strokes: 100 / 500
iteration step 99, G_loss: 0.32954, step_psnr: 6.58664, strokes: 100 / 500
iteration step 100, G_loss: 0.32482, step_psnr: 6.80606, strokes: 125 / 500
iteration step 101, G_loss: 0.31257, step_psnr: 6.94306, strokes: 125 / 500
iteration step 102, G_loss: 0.30509, step_psnr: 7.06504, strokes: 125 / 500
iteration step 103, G_loss: 0.29859, step_psnr: 7.18497, strokes: 125 / 500
iteration step 104, G_loss: 0.29228, step_psnr: 7.30750, strokes: 125 / 500
iteration step 105, G_loss: 0.28612, step_psnr: 7.42388, strokes: 125 / 500
iteration step 106, G_loss: 0.28020, step_psnr: 7.54627, strokes: 125 / 500
iteration step 107, G_loss: 0.27430, step_psnr: 7.66763, strokes: 125 / 500
iteration step 108, G_loss: 0.26856, step_psnr: 7.78939, strokes: 125 / 500
iteration step 109, G_loss: 0.26296, step_psnr: 7.91617, strokes: 125 / 500
iteration step 110, G_loss: 0.25725, step_psnr: 8.04445, strokes: 125 / 500
iteration step 111, G_loss: 0.25173, step_psnr: 8.16712, strokes: 125 / 500
iteration step 112, G_loss: 0.24646, step_psnr: 8.29224, strokes: 125 / 500
iteration step 113, G_loss: 0.24127, step_psnr: 8.42102, strokes: 125 / 500
iteration step 114, G_loss: 0.23616, step_psnr: 8.54768, strokes: 125 / 500
iteration step 115, G_loss: 0.23118, step_psnr: 8.67049, strokes: 125 / 500
