initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 4.44442, strokes: 25 / 500
iteration step 1, G_loss: 0.53717, step_psnr: 4.46005, strokes: 25 / 500
iteration step 2, G_loss: 0.53533, step_psnr: 4.47169, strokes: 25 / 500
iteration step 3, G_loss: 0.53390, step_psnr: 4.48318, strokes: 25 / 500
iteration step 4, G_loss: 0.53260, step_psnr: 4.49305, strokes: 25 / 500
iteration step 5, G_loss: 0.53139, step_psnr: 4.50344, strokes: 25 / 500
iteration step 6, G_loss: 0.53022, step_psnr: 4.51439, strokes: 25 / 500
iteration step 7, G_loss: 0.52905, step_psnr: 4.52496, strokes: 25 / 500
iteration step 8, G_loss: 0.52795, step_psnr: 4.53559, strokes: 25 / 500
iteration step 9, G_loss: 0.52685, step_psnr: 4.54543, strokes: 25 / 500
iteration step 10, G_loss: 0.52576, step_psnr: 4.55464, strokes: 25 / 500
iteration step 11, G_loss: 0.52480, step_psnr: 4.56365, strokes: 25 / 500
iteration step 12, G_loss: 0.52381, step_psnr: 4.57418, strokes: 25 / 500
iteration step 13, G_loss: 0.52272, step_psnr: 4.58392, strokes: 25 / 500
iteration step 14, G_loss: 0.52173, step_psnr: 4.59325, strokes: 25 / 500
iteration step 15, G_loss: 0.52070, step_psnr: 4.60338, strokes: 25 / 500
iteration step 16, G_loss: 0.51964, step_psnr: 4.61388, strokes: 25 / 500
iteration step 17, G_loss: 0.51858, step_psnr: 4.62429, strokes: 25 / 500
iteration step 18, G_loss: 0.51751, step_psnr: 4.63451, strokes: 25 / 500
iteration step 19, G_loss: 0.51647, step_psnr: 4.64462, strokes: 25 / 500
iteration step 20, G_loss: 0.51549, step_psnr: 4.65392, strokes: 25 / 500
iteration step 21, G_loss: 0.51454, step_psnr: 4.66410, strokes: 25 / 500
iteration step 22, G_loss: 0.51355, step_psnr: 4.67449, strokes: 25 / 500
iteration step 23, G_loss: 0.51255, step_psnr: 4.68375, strokes: 25 / 500
iteration step 24, G_loss: 0.51157, step_psnr: 4.69452, strokes: 25 / 500
iteration step 25, G_loss: 0.51054, step_psnr: 4.80415, strokes: 50 / 500
iteration step 26, G_loss: 0.50104, step_psnr: 4.84944, strokes: 50 / 500
iteration step 27, G_loss: 0.49700, step_psnr: 4.88626, strokes: 50 / 500
iteration step 28, G_loss: 0.49355, step_psnr: 4.92028, strokes: 50 / 500
iteration step 29, G_loss: 0.49049, step_psnr: 4.95181, strokes: 50 / 500
iteration step 30, G_loss: 0.48769, step_psnr: 4.98538, strokes: 50 / 500
iteration step 31, G_loss: 0.48476, step_psnr: 5.01459, strokes: 50 / 500
iteration step 32, G_loss: 0.48224, step_psnr: 5.04461, strokes: 50 / 500
iteration step 33, G_loss: 0.47967, step_psnr: 5.07423, strokes: 50 / 500
iteration step 34, G_loss: 0.47716, step_psnr: 5.10255, strokes: 50 / 500
iteration step 35, G_loss: 0.47471, step_psnr: 5.13072, strokes: 50 / 500
iteration step 36, G_loss: 0.47230, step_psnr: 5.16007, strokes: 50 / 500
iteration step 37, G_loss: 0.46985, step_psnr: 5.18999, strokes: 50 / 500
iteration step 38, G_loss: 0.46736, step_psnr: 5.22143, strokes: 50 / 500
iteration step 39, G_loss: 0.46484, step_psnr: 5.25141, strokes: 50 / 500
iteration step 40, G_loss: 0.46236, step_psnr: 5.28204, strokes: 50 / 500
iteration step 41, G_loss: 0.45993, step_psnr: 5.31283, strokes: 50 / 500
iteration step 42, G_loss: 0.45749, step_psnr: 5.34339, strokes: 50 / 500
iteration step 43, G_loss: 0.45505, step_psnr: 5.37389, strokes: 50 / 500
iteration step 44, G_loss: 0.45266, step_psnr: 5.40352, strokes: 50 / 500
iteration step 45, G_loss: 0.45029, step_psnr: 5.43124, strokes: 50 / 500
iteration step 46, G_loss: 0.44808, step_psnr: 5.45951, strokes: 50 / 500
iteration step 47, G_loss: 0.44585, step_psnr: 5.48798, strokes: 50 / 500
iteration step 48, G_loss: 0.44368, step_psnr: 5.51362, strokes: 50 / 500
iteration step 49, G_loss: 0.44161, step_psnr: 5.53948, strokes: 50 / 500
iteration step 50, G_loss: 0.43955, step_psnr: 5.65249, strokes: 75 / 500
iteration step 51, G_loss: 0.43113, step_psnr: 5.71690, strokes: 75 / 500
iteration step 52, G_loss: 0.42640, step_psnr: 5.77497, strokes: 75 / 500
iteration step 53, G_loss: 0.42209, step_psnr: 5.82437, strokes: 75 / 500
iteration step 54, G_loss: 0.41839, step_psnr: 5.87491, strokes: 75 / 500
iteration step 55, G_loss: 0.41473, step_psnr: 5.92377, strokes: 75 / 500
iteration step 56, G_loss: 0.41121, step_psnr: 5.97235, strokes: 75 / 500
iteration step 57, G_loss: 0.40773, step_psnr: 6.01760, strokes: 75 / 500
iteration step 58, G_loss: 0.40449, step_psnr: 6.05947, strokes: 75 / 500
iteration step 59, G_loss: 0.40150, step_psnr: 6.10328, strokes: 75 / 500
iteration step 60, G_loss: 0.39843, step_psnr: 6.14847, strokes: 75 / 500
iteration step 61, G_loss: 0.39534, step_psnr: 6.19644, strokes: 75 / 500
iteration step 62, G_loss: 0.39207, step_psnr: 6.24081, strokes: 75 / 500
iteration step 63, G_loss: 0.38901, step_psnr: 6.28263, strokes: 75 / 500
iteration step 64, G_loss: 0.38610, step_psnr: 6.32775, strokes: 75 / 500
iteration step 65, G_loss: 0.38315, step_psnr: 6.37036, strokes: 75 / 500
iteration step 66, G_loss: 0.38028, step_psnr: 6.41405, strokes: 75 / 500
iteration step 67, G_loss: 0.37740, step_psnr: 6.45626, strokes: 75 / 500
iteration step 68, G_loss: 0.37459, step_psnr: 6.49591, strokes: 75 / 500
iteration step 69, G_loss: 0.37194, step_psnr: 6.53773, strokes: 75 / 500
iteration step 70, G_loss: 0.36931, step_psnr: 6.58299, strokes: 75 / 500
iteration step 71, G_loss: 0.36643, step_psnr: 6.62838, strokes: 75 / 500
iteration step 72, G_loss: 0.36361, step_psnr: 6.67402, strokes: 75 / 500
iteration step 73, G_loss: 0.36076, step_psnr: 6.71880, strokes: 75 / 500
iteration step 74, G_loss: 0.35799, step_psnr: 6.76377, strokes: 75 / 500
iteration step 75, G_loss: 0.35527, step_psnr: 6.92703, strokes: 100 / 500
iteration step 76, G_loss: 0.34616, step_psnr: 7.02087, strokes: 100 / 500
iteration step 77, G_loss: 0.34076, step_psnr: 7.10729, strokes: 100 / 500
