initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 3.41070, strokes: 25 / 500
iteration step 1, G_loss: 0.61355, step_psnr: 3.43024, strokes: 25 / 500
iteration step 2, G_loss: 0.61120, step_psnr: 3.44449, strokes: 25 / 500
iteration step 3, G_loss: 0.60947, step_psnr: 3.45844, strokes: 25 / 500
iteration step 4, G_loss: 0.60777, step_psnr: 3.47175, strokes: 25 / 500
iteration step 5, G_loss: 0.60617, step_psnr: 3.48359, strokes: 25 / 500
iteration step 6, G_loss: 0.60466, step_psnr: 3.49561, strokes: 25 / 500
iteration step 7, G_loss: 0.60323, step_psnr: 3.50776, strokes: 25 / 500
iteration step 8, G_loss: 0.60180, step_psnr: 3.51884, strokes: 25 / 500
iteration step 9, G_loss: 0.60046, step_psnr: 3.52978, strokes: 25 / 500
iteration step 10, G_loss: 0.59910, step_psnr: 3.54114, strokes: 25 / 500
iteration step 11, G_loss: 0.59775, step_psnr: 3.55177, strokes: 25 / 500
iteration step 12, G_loss: 0.59645, step_psnr: 3.56414, strokes: 25 / 500
iteration step 13, G_loss: 0.59500, step_psnr: 3.57561, strokes: 25 / 500
iteration step 14, G_loss: 0.59364, step_psnr: 3.58716, strokes: 25 / 500
iteration step 15, G_loss: 0.59227, step_psnr: 3.59799, strokes: 25 / 500
iteration step 16, G_loss: 0.59092, step_psnr: 3.60857, strokes: 25 / 500
iteration step 17, G_loss: 0.58967, step_psnr: 3.61973, strokes: 25 / 500
iteration step 18, G_loss: 0.58834, step_psnr: 3.63054, strokes: 25 / 500
iteration step 19, G_loss: 0.58703, step_psnr: 3.64248, strokes: 25 / 500
iteration step 20, G_loss: 0.58565, step_psnr: 3.65401, strokes: 25 / 500
iteration step 21, G_loss: 0.58425, step_psnr: 3.66481, strokes: 25 / 500
iteration step 22, G_loss: 0.58296, step_psnr: 3.67586, strokes: 25 / 500
iteration step 23, G_loss: 0.58164, step_psnr: 3.68648, strokes: 25 / 500
iteration step 24, G_loss: 0.58041, step_psnr: 3.69749, strokes: 25 / 500
iteration step 25, G_loss: 0.57911, step_psnr: 3.78391, strokes: 50 / 500
iteration step 26, G_loss: 0.56999, step_psnr: 3.82215, strokes: 50 / 500
iteration step 27, G_loss: 0.56588, step_psnr: 3.85258, strokes: 50 / 500
iteration step 28, G_loss: 0.56251, step_psnr: 3.88305, strokes: 50 / 500
iteration step 29, G_loss: 0.55920, step_psnr: 3.91188, strokes: 50 / 500
iteration step 30, G_loss: 0.55611, step_psnr: 3.93985, strokes: 50 / 500
iteration step 31, G_loss: 0.55315, step_psnr: 3.96778, strokes: 50 / 500
iteration step 32, G_loss: 0.55017, step_psnr: 3.99541, strokes: 50 / 500
iteration step 33, G_loss: 0.54732, step_psnr: 4.02176, strokes: 50 / 500
iteration step 34, G_loss: 0.54450, step_psnr: 4.04710, strokes: 50 / 500
iteration step 35, G_loss: 0.54182, step_psnr: 4.07480, strokes: 50 / 500
iteration step 36, G_loss: 0.53898, step_psnr: 4.10144, strokes: 50 / 500
iteration step 37, G_loss: 0.53622, step_psnr: 4.12805, strokes: 50 / 500
