initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 3.51449, strokes: 25 / 500
iteration step 1, G_loss: 0.54121, step_psnr: 3.52449, strokes: 25 / 500
iteration step 2, G_loss: 0.53986, step_psnr: 3.53221, strokes: 25 / 500
iteration step 3, G_loss: 0.53897, step_psnr: 3.53836, strokes: 25 / 500
iteration step 4, G_loss: 0.53823, step_psnr: 3.54574, strokes: 25 / 500
iteration step 5, G_loss: 0.53741, step_psnr: 3.55085, strokes: 25 / 500
iteration step 6, G_loss: 0.53680, step_psnr: 3.55657, strokes: 25 / 500
iteration step 7, G_loss: 0.53614, step_psnr: 3.56323, strokes: 25 / 500
iteration step 8, G_loss: 0.53543, step_psnr: 3.57040, strokes: 25 / 500
iteration step 9, G_loss: 0.53468, step_psnr: 3.57602, strokes: 25 / 500
iteration step 10, G_loss: 0.53410, step_psnr: 3.58160, strokes: 25 / 500
iteration step 11, G_loss: 0.53347, step_psnr: 3.58782, strokes: 25 / 500
iteration step 12, G_loss: 0.53283, step_psnr: 3.59369, strokes: 25 / 500
iteration step 13, G_loss: 0.53219, step_psnr: 3.60046, strokes: 25 / 500
iteration step 14, G_loss: 0.53149, step_psnr: 3.60713, strokes: 25 / 500
iteration step 15, G_loss: 0.53081, step_psnr: 3.61301, strokes: 25 / 500
iteration step 16, G_loss: 0.53020, step_psnr: 3.61930, strokes: 25 / 500
iteration step 17, G_loss: 0.52958, step_psnr: 3.62607, strokes: 25 / 500
iteration step 18, G_loss: 0.52889, step_psnr: 3.63344, strokes: 25 / 500
iteration step 19, G_loss: 0.52815, step_psnr: 3.64089, strokes: 25 / 500
iteration step 20, G_loss: 0.52744, step_psnr: 3.64911, strokes: 25 / 500
iteration step 21, G_loss: 0.52663, step_psnr: 3.65655, strokes: 25 / 500
iteration step 22, G_loss: 0.52590, step_psnr: 3.66438, strokes: 25 / 500
iteration step 23, G_loss: 0.52513, step_psnr: 3.67219, strokes: 25 / 500
iteration step 24, G_loss: 0.52434, step_psnr: 3.67950, strokes: 25 / 500
iteration step 25, G_loss: 0.52359, step_psnr: 3.79553, strokes: 50 / 500
iteration step 26, G_loss: 0.51271, step_psnr: 3.83568, strokes: 50 / 500
iteration step 27, G_loss: 0.50855, step_psnr: 3.86475, strokes: 50 / 500
iteration step 28, G_loss: 0.50550, step_psnr: 3.89929, strokes: 50 / 500
iteration step 29, G_loss: 0.50209, step_psnr: 3.92692, strokes: 50 / 500
iteration step 30, G_loss: 0.49934, step_psnr: 3.95449, strokes: 50 / 500
iteration step 31, G_loss: 0.49660, step_psnr: 3.98272, strokes: 50 / 500
iteration step 32, G_loss: 0.49382, step_psnr: 4.00742, strokes: 50 / 500
iteration step 33, G_loss: 0.49139, step_psnr: 4.03266, strokes: 50 / 500
iteration step 34, G_loss: 0.48895, step_psnr: 4.05523, strokes: 50 / 500
iteration step 35, G_loss: 0.48669, step_psnr: 4.08020, strokes: 50 / 500
iteration step 36, G_loss: 0.48429, step_psnr: 4.10348, strokes: 50 / 500
iteration step 37, G_loss: 0.48206, step_psnr: 4.12497, strokes: 50 / 500
iteration step 38, G_loss: 0.47993, step_psnr: 4.14947, strokes: 50 / 500
iteration step 39, G_loss: 0.47767, step_psnr: 4.17471, strokes: 50 / 500
iteration step 40, G_loss: 0.47525, step_psnr: 4.19664, strokes: 50 / 500
iteration step 41, G_loss: 0.47315, step_psnr: 4.22008, strokes: 50 / 500
iteration step 42, G_loss: 0.47099, step_psnr: 4.24495, strokes: 50 / 500
iteration step 43, G_loss: 0.46870, step_psnr: 4.26944, strokes: 50 / 500
iteration step 44, G_loss: 0.46642, step_psnr: 4.29384, strokes: 50 / 500
iteration step 45, G_loss: 0.46410, step_psnr: 4.31805, strokes: 50 / 500
iteration step 46, G_loss: 0.46185, step_psnr: 4.34444, strokes: 50 / 500
iteration step 47, G_loss: 0.45947, step_psnr: 4.36834, strokes: 50 / 500
iteration step 48, G_loss: 0.45723, step_psnr: 4.39422, strokes: 50 / 500
iteration step 49, G_loss: 0.45494, step_psnr: 4.41923, strokes: 50 / 500
iteration step 50, G_loss: 0.45271, step_psnr: 4.57087, strokes: 75 / 500
iteration step 51, G_loss: 0.44049, step_psnr: 4.63628, strokes: 75 / 500
iteration step 52, G_loss: 0.43495, step_psnr: 4.69087, strokes: 75 / 500
iteration step 53, G_loss: 0.43029, step_psnr: 4.74135, strokes: 75 / 500
iteration step 54, G_loss: 0.42604, step_psnr: 4.79197, strokes: 75 / 500
iteration step 55, G_loss: 0.42188, step_psnr: 4.84540, strokes: 75 / 500
iteration step 56, G_loss: 0.41757, step_psnr: 4.89764, strokes: 75 / 500
iteration step 57, G_loss: 0.41342, step_psnr: 4.94587, strokes: 75 / 500
iteration step 58, G_loss: 0.40952, step_psnr: 4.99565, strokes: 75 / 500
iteration step 59, G_loss: 0.40561, step_psnr: 5.04623, strokes: 75 / 500
iteration step 60, G_loss: 0.40166, step_psnr: 5.09634, strokes: 75 / 500
iteration step 61, G_loss: 0.39778, step_psnr: 5.14221, strokes: 75 / 500
iteration step 62, G_loss: 0.39418, step_psnr: 5.18860, strokes: 75 / 500
iteration step 63, G_loss: 0.39062, step_psnr: 5.23567, strokes: 75 / 500
iteration step 64, G_loss: 0.38705, step_psnr: 5.28488, strokes: 75 / 500
iteration step 65, G_loss: 0.38332, step_psnr: 5.33267, strokes: 75 / 500
iteration step 66, G_loss: 0.37988, step_psnr: 5.38055, strokes: 75 / 500
iteration step 67, G_loss: 0.37638, step_psnr: 5.42764, strokes: 75 / 500
iteration step 68, G_loss: 0.37295, step_psnr: 5.47465, strokes: 75 / 500
iteration step 69, G_loss: 0.36953, step_psnr: 5.51900, strokes: 75 / 500
iteration step 70, G_loss: 0.36634, step_psnr: 5.56729, strokes: 75 / 500
iteration step 71, G_loss: 0.36298, step_psnr: 5.61512, strokes: 75 / 500
iteration step 72, G_loss: 0.35964, step_psnr: 5.66443, strokes: 75 / 500
iteration step 73, G_loss: 0.35632, step_psnr: 5.71069, strokes: 75 / 500
iteration step 74, G_loss: 0.35313, step_psnr: 5.75850, strokes: 75 / 500
iteration step 75, G_loss: 0.34988, step_psnr: 5.97649, strokes: 100 / 500
iteration step 76, G_loss: 0.33692, step_psnr: 6.07522, strokes: 100 / 500
iteration step 77, G_loss: 0.33056, step_psnr: 6.16354, strokes: 100 / 500
iteration step 78, G_loss: 0.32512, step_psnr: 6.24747, strokes: 100 / 500
iteration step 79, G_loss: 0.32010, step_psnr: 6.33132, strokes: 100 / 500
iteration step 80, G_loss: 0.31511, step_psnr: 6.41218, strokes: 100 / 500
iteration step 81, G_loss: 0.31042, step_psnr: 6.49415, strokes: 100 / 500
iteration step 82, G_loss: 0.30564, step_psnr: 6.57727, strokes: 100 / 500
iteration step 83, G_loss: 0.30111, step_psnr: 6.65408, strokes: 100 / 500
iteration step 84, G_loss: 0.29669, step_psnr: 6.73163, strokes: 100 / 500
iteration step 85, G_loss: 0.29241, step_psnr: 6.80756, strokes: 100 / 500
iteration step 86, G_loss: 0.28829, step_psnr: 6.88088, strokes: 100 / 500
iteration step 87, G_loss: 0.28443, step_psnr: 6.95336, strokes: 100 / 500
iteration step 88, G_loss: 0.28061, step_psnr: 7.02972, strokes: 100 / 500
iteration step 89, G_loss: 0.27670, step_psnr: 7.10825, strokes: 100 / 500
iteration step 90, G_loss: 0.27285, step_psnr: 7.18354, strokes: 100 / 500
iteration step 91, G_loss: 0.26909, step_psnr: 7.25804, strokes: 100 / 500
iteration step 92, G_loss: 0.26546, step_psnr: 7.33200, strokes: 100 / 500
iteration step 93, G_loss: 0.26189, step_psnr: 7.41289, strokes: 100 / 500
iteration step 94, G_loss: 0.25814, step_psnr: 7.48991, strokes: 100 / 500
iteration step 95, G_loss: 0.25461, step_psnr: 7.57081, strokes: 100 / 500
iteration step 96, G_loss: 0.25099, step_psnr: 7.65460, strokes: 100 / 500
iteration step 97, G_loss: 0.24729, step_psnr: 7.73507, strokes: 100 / 500
iteration step 98, G_loss: 0.24384, step_psnr: 7.81405, strokes: 100 / 500
iteration step 99, G_loss: 0.24043, step_psnr: 7.89618, strokes: 100 / 500
iteration step 100, G_loss: 0.23706, step_psnr: 8.18239, strokes: 125 / 500
iteration step 101, G_loss: 0.22649, step_psnr: 8.32044, strokes: 125 / 500
iteration step 102, G_loss: 0.22110, step_psnr: 8.43895, strokes: 125 / 500
iteration step 103, G_loss: 0.21666, step_psnr: 8.55976, strokes: 125 / 500
iteration step 104, G_loss: 0.21214, step_psnr: 8.67918, strokes: 125 / 500
iteration step 105, G_loss: 0.20787, step_psnr: 8.79451, strokes: 125 / 500
iteration step 106, G_loss: 0.20381, step_psnr: 8.91118, strokes: 125 / 500
iteration step 107, G_loss: 0.19990, step_psnr: 9.02284, strokes: 125 / 500
iteration step 108, G_loss: 0.19617, step_psnr: 9.13553, strokes: 125 / 500
iteration step 109, G_loss: 0.19246, step_psnr: 9.24876, strokes: 125 / 500
iteration step 110, G_loss: 0.18893, step_psnr: 9.35371, strokes: 125 / 500
iteration step 111, G_loss: 0.18564, step_psnr: 9.46356, strokes: 125 / 500
iteration step 112, G_loss: 0.18228, step_psnr: 9.56837, strokes: 125 / 500
iteration step 113, G_loss: 0.17919, step_psnr: 9.67670, strokes: 125 / 500
iteration step 114, G_loss: 0.17608, step_psnr: 9.78833, strokes: 125 / 500
iteration step 115, G_loss: 0.17300, step_psnr: 9.88437, strokes: 125 / 500
iteration step 116, G_loss: 0.17034, step_psnr: 9.98886, strokes: 125 / 500
iteration step 117, G_loss: 0.16751, step_psnr: 10.09233, strokes: 125 / 500
iteration step 118, G_loss: 0.16476, step_psnr: 10.19862, strokes: 125 / 500
iteration step 119, G_loss: 0.16201, step_psnr: 10.30332, strokes: 125 / 500
iteration step 120, G_loss: 0.15945, step_psnr: 10.40798, strokes: 125 / 500
iteration step 121, G_loss: 0.15689, step_psnr: 10.52178, strokes: 125 / 500
iteration step 122, G_loss: 0.15427, step_psnr: 10.63375, strokes: 125 / 500
iteration step 123, G_loss: 0.15167, step_psnr: 10.73583, strokes: 125 / 500
iteration step 124, G_loss: 0.14935, step_psnr: 10.83212, strokes: 125 / 500
iteration step 125, G_loss: 0.14719, step_psnr: 11.24758, strokes: 150 / 500
iteration step 126, G_loss: 0.13930, step_psnr: 11.45827, strokes: 150 / 500
iteration step 127, G_loss: 0.13513, step_psnr: 11.63908, strokes: 150 / 500
iteration step 128, G_loss: 0.13165, step_psnr: 11.80491, strokes: 150 / 500
iteration step 129, G_loss: 0.12865, step_psnr: 11.95330, strokes: 150 / 500
iteration step 130, G_loss: 0.12597, step_psnr: 12.10679, strokes: 150 / 500
iteration step 131, G_loss: 0.12332, step_psnr: 12.24694, strokes: 150 / 500
iteration step 132, G_loss: 0.12094, step_psnr: 12.38338, strokes: 150 / 500
iteration step 133, G_loss: 0.11872, step_psnr: 12.52543, strokes: 150 / 500
iteration step 134, G_loss: 0.11648, step_psnr: 12.66465, strokes: 150 / 500
iteration step 135, G_loss: 0.11433, step_psnr: 12.81627, strokes: 150 / 500
iteration step 136, G_loss: 0.11223, step_psnr: 12.95020, strokes: 150 / 500
iteration step 137, G_loss: 0.11027, step_psnr: 13.08669, strokes: 150 / 500
iteration step 138, G_loss: 0.10842, step_psnr: 13.20703, strokes: 150 / 500
iteration step 139, G_loss: 0.10675, step_psnr: 13.33518, strokes: 150 / 500
iteration step 140, G_loss: 0.10505, step_psnr: 13.45863, strokes: 150 / 500
iteration step 141, G_loss: 0.10342, step_psnr: 13.57656, strokes: 150 / 500
iteration step 142, G_loss: 0.10189, step_psnr: 13.69580, strokes: 150 / 500
iteration step 143, G_loss: 0.10040, step_psnr: 13.81078, strokes: 150 / 500
iteration step 144, G_loss: 0.09903, step_psnr: 13.92081, strokes: 150 / 500
iteration step 145, G_loss: 0.09767, step_psnr: 14.03405, strokes: 150 / 500
iteration step 146, G_loss: 0.09639, step_psnr: 14.12541, strokes: 150 / 500
iteration step 147, G_loss: 0.09528, step_psnr: 14.22171, strokes: 150 / 500
iteration step 148, G_loss: 0.09423, step_psnr: 14.32302, strokes: 150 / 500
iteration step 149, G_loss: 0.09311, step_psnr: 14.42284, strokes: 150 / 500
iteration step 150, G_loss: 0.09204, step_psnr: 14.77282, strokes: 175 / 500
iteration step 151, G_loss: 0.08899, step_psnr: 15.00518, strokes: 175 / 500
iteration step 152, G_loss: 0.08665, step_psnr: 15.19550, strokes: 175 / 500
iteration step 153, G_loss: 0.08480, step_psnr: 15.34988, strokes: 175 / 500
iteration step 154, G_loss: 0.08336, step_psnr: 15.47980, strokes: 175 / 500
iteration step 155, G_loss: 0.08216, step_psnr: 15.63271, strokes: 175 / 500
iteration step 156, G_loss: 0.08088, step_psnr: 15.75313, strokes: 175 / 500
iteration step 157, G_loss: 0.07984, step_psnr: 15.86702, strokes: 175 / 500
iteration step 158, G_loss: 0.07881, step_psnr: 15.98660, strokes: 175 / 500
iteration step 159, G_loss: 0.07787, step_psnr: 16.09783, strokes: 175 / 500
iteration step 160, G_loss: 0.07694, step_psnr: 16.20538, strokes: 175 / 500
iteration step 161, G_loss: 0.07609, step_psnr: 16.31209, strokes: 175 / 500
iteration step 162, G_loss: 0.07525, step_psnr: 16.41744, strokes: 175 / 500
iteration step 163, G_loss: 0.07447, step_psnr: 16.52790, strokes: 175 / 500
iteration step 164, G_loss: 0.07367, step_psnr: 16.62657, strokes: 175 / 500
iteration step 165, G_loss: 0.07295, step_psnr: 16.72933, strokes: 175 / 500
iteration step 166, G_loss: 0.07226, step_psnr: 16.82249, strokes: 175 / 500
iteration step 167, G_loss: 0.07161, step_psnr: 16.92607, strokes: 175 / 500
iteration step 168, G_loss: 0.07092, step_psnr: 17.01114, strokes: 175 / 500
iteration step 169, G_loss: 0.07029, step_psnr: 17.10616, strokes: 175 / 500
iteration step 170, G_loss: 0.06964, step_psnr: 17.19180, strokes: 175 / 500
iteration step 171, G_loss: 0.06907, step_psnr: 17.27755, strokes: 175 / 500
iteration step 172, G_loss: 0.06853, step_psnr: 17.36063, strokes: 175 / 500
iteration step 173, G_loss: 0.06798, step_psnr: 17.43862, strokes: 175 / 500
iteration step 174, G_loss: 0.06753, step_psnr: 17.51900, strokes: 175 / 500
iteration step 175, G_loss: 0.06699, step_psnr: 17.67598, strokes: 200 / 500
iteration step 176, G_loss: 0.06638, step_psnr: 17.87438, strokes: 200 / 500
iteration step 177, G_loss: 0.06510, step_psnr: 18.04310, strokes: 200 / 500
iteration step 178, G_loss: 0.06415, step_psnr: 18.17474, strokes: 200 / 500
iteration step 179, G_loss: 0.06336, step_psnr: 18.29958, strokes: 200 / 500
iteration step 180, G_loss: 0.06268, step_psnr: 18.40509, strokes: 200 / 500
iteration step 181, G_loss: 0.06210, step_psnr: 18.53197, strokes: 200 / 500
iteration step 182, G_loss: 0.06150, step_psnr: 18.64646, strokes: 200 / 500
iteration step 183, G_loss: 0.06091, step_psnr: 18.78338, strokes: 200 / 500
