initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 3.32258, strokes: 25 / 500
iteration step 1, G_loss: 0.62790, step_psnr: 3.33396, strokes: 25 / 500
iteration step 2, G_loss: 0.62621, step_psnr: 3.34545, strokes: 25 / 500
iteration step 3, G_loss: 0.62458, step_psnr: 3.35548, strokes: 25 / 500
iteration step 4, G_loss: 0.62328, step_psnr: 3.36472, strokes: 25 / 500
iteration step 5, G_loss: 0.62192, step_psnr: 3.37336, strokes: 25 / 500
iteration step 6, G_loss: 0.62072, step_psnr: 3.38103, strokes: 25 / 500
iteration step 7, G_loss: 0.61964, step_psnr: 3.38888, strokes: 25 / 500
iteration step 8, G_loss: 0.61856, step_psnr: 3.39599, strokes: 25 / 500
iteration step 9, G_loss: 0.61754, step_psnr: 3.40334, strokes: 25 / 500
iteration step 10, G_loss: 0.61655, step_psnr: 3.41092, strokes: 25 / 500
iteration step 11, G_loss: 0.61550, step_psnr: 3.41934, strokes: 25 / 500
iteration step 12, G_loss: 0.61437, step_psnr: 3.42785, strokes: 25 / 500
iteration step 13, G_loss: 0.61321, step_psnr: 3.43494, strokes: 25 / 500
iteration step 14, G_loss: 0.61221, step_psnr: 3.44217, strokes: 25 / 500
iteration step 15, G_loss: 0.61120, step_psnr: 3.44993, strokes: 25 / 500
iteration step 16, G_loss: 0.61018, step_psnr: 3.45756, strokes: 25 / 500
iteration step 17, G_loss: 0.60920, step_psnr: 3.46495, strokes: 25 / 500
iteration step 18, G_loss: 0.60823, step_psnr: 3.47355, strokes: 25 / 500
iteration step 19, G_loss: 0.60716, step_psnr: 3.48227, strokes: 25 / 500
iteration step 20, G_loss: 0.60609, step_psnr: 3.49151, strokes: 25 / 500
iteration step 21, G_loss: 0.60495, step_psnr: 3.49948, strokes: 25 / 500
iteration step 22, G_loss: 0.60396, step_psnr: 3.50773, strokes: 25 / 500
iteration step 23, G_loss: 0.60289, step_psnr: 3.51610, strokes: 25 / 500
iteration step 24, G_loss: 0.60184, step_psnr: 3.52344, strokes: 25 / 500
iteration step 25, G_loss: 0.60087, step_psnr: 3.63972, strokes: 50 / 500
iteration step 26, G_loss: 0.58878, step_psnr: 3.67783, strokes: 50 / 500
iteration step 27, G_loss: 0.58456, step_psnr: 3.70773, strokes: 50 / 500
iteration step 28, G_loss: 0.58111, step_psnr: 3.73551, strokes: 50 / 500
iteration step 29, G_loss: 0.57803, step_psnr: 3.76535, strokes: 50 / 500
iteration step 30, G_loss: 0.57476, step_psnr: 3.79206, strokes: 50 / 500
iteration step 31, G_loss: 0.57178, step_psnr: 3.81790, strokes: 50 / 500
iteration step 32, G_loss: 0.56893, step_psnr: 3.84557, strokes: 50 / 500
iteration step 33, G_loss: 0.56590, step_psnr: 3.87112, strokes: 50 / 500
iteration step 34, G_loss: 0.56312, step_psnr: 3.89593, strokes: 50 / 500
iteration step 35, G_loss: 0.56036, step_psnr: 3.91884, strokes: 50 / 500
iteration step 36, G_loss: 0.55781, step_psnr: 3.94424, strokes: 50 / 500
iteration step 37, G_loss: 0.55505, step_psnr: 3.96828, strokes: 50 / 500
iteration step 38, G_loss: 0.55243, step_psnr: 3.99228, strokes: 50 / 500
iteration step 39, G_loss: 0.54988, step_psnr: 4.01717, strokes: 50 / 500
iteration step 40, G_loss: 0.54726, step_psnr: 4.04453, strokes: 50 / 500
iteration step 41, G_loss: 0.54446, step_psnr: 4.07065, strokes: 50 / 500
iteration step 42, G_loss: 0.54175, step_psnr: 4.09635, strokes: 50 / 500
iteration step 43, G_loss: 0.53908, step_psnr: 4.12319, strokes: 50 / 500
iteration step 44, G_loss: 0.53635, step_psnr: 4.14946, strokes: 50 / 500
iteration step 45, G_loss: 0.53368, step_psnr: 4.17762, strokes: 50 / 500
iteration step 46, G_loss: 0.53095, step_psnr: 4.20476, strokes: 50 / 500
iteration step 47, G_loss: 0.52812, step_psnr: 4.23126, strokes: 50 / 500
iteration step 48, G_loss: 0.52538, step_psnr: 4.25676, strokes: 50 / 500
iteration step 49, G_loss: 0.52283, step_psnr: 4.28277, strokes: 50 / 500
iteration step 50, G_loss: 0.52020, step_psnr: 4.43399, strokes: 75 / 500
iteration step 51, G_loss: 0.50734, step_psnr: 4.50051, strokes: 75 / 500
iteration step 52, G_loss: 0.50115, step_psnr: 4.55794, strokes: 75 / 500
iteration step 53, G_loss: 0.49599, step_psnr: 4.60623, strokes: 75 / 500
iteration step 54, G_loss: 0.49139, step_psnr: 4.65284, strokes: 75 / 500
iteration step 55, G_loss: 0.48712, step_psnr: 4.69910, strokes: 75 / 500
iteration step 56, G_loss: 0.48291, step_psnr: 4.74498, strokes: 75 / 500
iteration step 57, G_loss: 0.47883, step_psnr: 4.78752, strokes: 75 / 500
iteration step 58, G_loss: 0.47497, step_psnr: 4.82923, strokes: 75 / 500
iteration step 59, G_loss: 0.47126, step_psnr: 4.87179, strokes: 75 / 500
iteration step 60, G_loss: 0.46755, step_psnr: 4.91457, strokes: 75 / 500
iteration step 61, G_loss: 0.46384, step_psnr: 4.95656, strokes: 75 / 500
iteration step 62, G_loss: 0.46021, step_psnr: 4.99921, strokes: 75 / 500
iteration step 63, G_loss: 0.45666, step_psnr: 5.04036, strokes: 75 / 500
iteration step 64, G_loss: 0.45311, step_psnr: 5.07920, strokes: 75 / 500
iteration step 65, G_loss: 0.44975, step_psnr: 5.11990, strokes: 75 / 500
iteration step 66, G_loss: 0.44642, step_psnr: 5.16079, strokes: 75 / 500
iteration step 67, G_loss: 0.44302, step_psnr: 5.20287, strokes: 75 / 500
iteration step 68, G_loss: 0.43956, step_psnr: 5.24343, strokes: 75 / 500
iteration step 69, G_loss: 0.43627, step_psnr: 5.28785, strokes: 75 / 500
iteration step 70, G_loss: 0.43288, step_psnr: 5.33316, strokes: 75 / 500
iteration step 71, G_loss: 0.42935, step_psnr: 5.37781, strokes: 75 / 500
iteration step 72, G_loss: 0.42587, step_psnr: 5.42279, strokes: 75 / 500
iteration step 73, G_loss: 0.42235, step_psnr: 5.46496, strokes: 75 / 500
iteration step 74, G_loss: 0.41900, step_psnr: 5.50780, strokes: 75 / 500
iteration step 75, G_loss: 0.41568, step_psnr: 5.67938, strokes: 100 / 500
iteration step 76, G_loss: 0.40350, step_psnr: 5.76704, strokes: 100 / 500
iteration step 77, G_loss: 0.39720, step_psnr: 5.84562, strokes: 100 / 500
iteration step 78, G_loss: 0.39152, step_psnr: 5.91919, strokes: 100 / 500
iteration step 79, G_loss: 0.38628, step_psnr: 5.98964, strokes: 100 / 500
iteration step 80, G_loss: 0.38139, step_psnr: 6.06035, strokes: 100 / 500
iteration step 81, G_loss: 0.37658, step_psnr: 6.12593, strokes: 100 / 500
iteration step 82, G_loss: 0.37210, step_psnr: 6.19469, strokes: 100 / 500
iteration step 83, G_loss: 0.36758, step_psnr: 6.26259, strokes: 100 / 500
iteration step 84, G_loss: 0.36306, step_psnr: 6.32995, strokes: 100 / 500
iteration step 85, G_loss: 0.35862, step_psnr: 6.39230, strokes: 100 / 500
iteration step 86, G_loss: 0.35456, step_psnr: 6.45619, strokes: 100 / 500
iteration step 87, G_loss: 0.35053, step_psnr: 6.52149, strokes: 100 / 500
iteration step 88, G_loss: 0.34647, step_psnr: 6.58242, strokes: 100 / 500
