initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 9.82175, strokes: 25 / 500
iteration step 1, G_loss: 0.16628, step_psnr: 9.83374, strokes: 25 / 500
iteration step 2, G_loss: 0.16556, step_psnr: 9.84061, strokes: 25 / 500
iteration step 3, G_loss: 0.16518, step_psnr: 9.84523, strokes: 25 / 500
iteration step 4, G_loss: 0.16496, step_psnr: 9.84880, strokes: 25 / 500
iteration step 5, G_loss: 0.16475, step_psnr: 9.85339, strokes: 25 / 500
iteration step 6, G_loss: 0.16458, step_psnr: 9.86007, strokes: 25 / 500
iteration step 7, G_loss: 0.16436, step_psnr: 9.86637, strokes: 25 / 500
iteration step 8, G_loss: 0.16414, step_psnr: 9.86947, strokes: 25 / 500
iteration step 9, G_loss: 0.16401, step_psnr: 9.87510, strokes: 25 / 500
iteration step 10, G_loss: 0.16385, step_psnr: 9.88147, strokes: 25 / 500
iteration step 11, G_loss: 0.16369, step_psnr: 9.88657, strokes: 25 / 500
iteration step 12, G_loss: 0.16355, step_psnr: 9.89207, strokes: 25 / 500
iteration step 13, G_loss: 0.16340, step_psnr: 9.89806, strokes: 25 / 500
iteration step 14, G_loss: 0.16323, step_psnr: 9.90386, strokes: 25 / 500
iteration step 15, G_loss: 0.16309, step_psnr: 9.91108, strokes: 25 / 500
iteration step 16, G_loss: 0.16290, step_psnr: 9.91925, strokes: 25 / 500
iteration step 17, G_loss: 0.16272, step_psnr: 9.92590, strokes: 25 / 500
iteration step 18, G_loss: 0.16253, step_psnr: 9.93367, strokes: 25 / 500
iteration step 19, G_loss: 0.16235, step_psnr: 9.94195, strokes: 25 / 500
iteration step 20, G_loss: 0.16214, step_psnr: 9.94968, strokes: 25 / 500
iteration step 21, G_loss: 0.16193, step_psnr: 9.95966, strokes: 25 / 500
iteration step 22, G_loss: 0.16170, step_psnr: 9.96819, strokes: 25 / 500
iteration step 23, G_loss: 0.16145, step_psnr: 9.97705, strokes: 25 / 500
iteration step 24, G_loss: 0.16123, step_psnr: 9.98809, strokes: 25 / 500
iteration step 25, G_loss: 0.16096, step_psnr: 10.15922, strokes: 50 / 500
iteration step 26, G_loss: 0.15731, step_psnr: 10.22647, strokes: 50 / 500
iteration step 27, G_loss: 0.15537, step_psnr: 10.27826, strokes: 50 / 500
iteration step 28, G_loss: 0.15387, step_psnr: 10.32651, strokes: 50 / 500
iteration step 29, G_loss: 0.15254, step_psnr: 10.36246, strokes: 50 / 500
iteration step 30, G_loss: 0.15156, step_psnr: 10.40019, strokes: 50 / 500
iteration step 31, G_loss: 0.15050, step_psnr: 10.43594, strokes: 50 / 500
iteration step 32, G_loss: 0.14950, step_psnr: 10.47310, strokes: 50 / 500
iteration step 33, G_loss: 0.14855, step_psnr: 10.50919, strokes: 50 / 500
iteration step 34, G_loss: 0.14758, step_psnr: 10.54234, strokes: 50 / 500
iteration step 35, G_loss: 0.14673, step_psnr: 10.57226, strokes: 50 / 500
iteration step 36, G_loss: 0.14594, step_psnr: 10.60899, strokes: 50 / 500
iteration step 37, G_loss: 0.14510, step_psnr: 10.64778, strokes: 50 / 500
iteration step 38, G_loss: 0.14418, step_psnr: 10.67825, strokes: 50 / 500
iteration step 39, G_loss: 0.14344, step_psnr: 10.71173, strokes: 50 / 500
iteration step 40, G_loss: 0.14266, step_psnr: 10.74261, strokes: 50 / 500
iteration step 41, G_loss: 0.14189, step_psnr: 10.77619, strokes: 50 / 500
iteration step 42, G_loss: 0.14107, step_psnr: 10.81114, strokes: 50 / 500
iteration step 43, G_loss: 0.14025, step_psnr: 10.83933, strokes: 50 / 500
iteration step 44, G_loss: 0.13954, step_psnr: 10.86489, strokes: 50 / 500
iteration step 45, G_loss: 0.13890, step_psnr: 10.89152, strokes: 50 / 500
iteration step 46, G_loss: 0.13825, step_psnr: 10.91797, strokes: 50 / 500
iteration step 47, G_loss: 0.13764, step_psnr: 10.94409, strokes: 50 / 500
iteration step 48, G_loss: 0.13701, step_psnr: 10.96867, strokes: 50 / 500
iteration step 49, G_loss: 0.13644, step_psnr: 10.99174, strokes: 50 / 500
iteration step 50, G_loss: 0.13589, step_psnr: 11.20546, strokes: 75 / 500
iteration step 51, G_loss: 0.13228, step_psnr: 11.29611, strokes: 75 / 500
iteration step 52, G_loss: 0.13033, step_psnr: 11.37466, strokes: 75 / 500
iteration step 53, G_loss: 0.12864, step_psnr: 11.43920, strokes: 75 / 500
iteration step 54, G_loss: 0.12722, step_psnr: 11.50179, strokes: 75 / 500
iteration step 55, G_loss: 0.12592, step_psnr: 11.56091, strokes: 75 / 500
iteration step 56, G_loss: 0.12472, step_psnr: 11.62014, strokes: 75 / 500
iteration step 57, G_loss: 0.12352, step_psnr: 11.67473, strokes: 75 / 500
iteration step 58, G_loss: 0.12243, step_psnr: 11.73558, strokes: 75 / 500
iteration step 59, G_loss: 0.12129, step_psnr: 11.78854, strokes: 75 / 500
iteration step 60, G_loss: 0.12028, step_psnr: 11.83544, strokes: 75 / 500
iteration step 61, G_loss: 0.11935, step_psnr: 11.88173, strokes: 75 / 500
iteration step 62, G_loss: 0.11848, step_psnr: 11.92473, strokes: 75 / 500
iteration step 63, G_loss: 0.11766, step_psnr: 11.96692, strokes: 75 / 500
iteration step 64, G_loss: 0.11683, step_psnr: 12.00857, strokes: 75 / 500
iteration step 65, G_loss: 0.11603, step_psnr: 12.05213, strokes: 75 / 500
iteration step 66, G_loss: 0.11522, step_psnr: 12.09352, strokes: 75 / 500
iteration step 67, G_loss: 0.11445, step_psnr: 12.13187, strokes: 75 / 500
iteration step 68, G_loss: 0.11374, step_psnr: 12.17357, strokes: 75 / 500
iteration step 69, G_loss: 0.11298, step_psnr: 12.21879, strokes: 75 / 500
iteration step 70, G_loss: 0.11218, step_psnr: 12.25708, strokes: 75 / 500
iteration step 71, G_loss: 0.11147, step_psnr: 12.30549, strokes: 75 / 500
iteration step 72, G_loss: 0.11072, step_psnr: 12.34330, strokes: 75 / 500
iteration step 73, G_loss: 0.11005, step_psnr: 12.38224, strokes: 75 / 500
iteration step 74, G_loss: 0.10941, step_psnr: 12.41916, strokes: 75 / 500
iteration step 75, G_loss: 0.10874, step_psnr: 12.66093, strokes: 100 / 500
iteration step 76, G_loss: 0.10592, step_psnr: 12.76905, strokes: 100 / 500
iteration step 77, G_loss: 0.10398, step_psnr: 12.87388, strokes: 100 / 500
iteration step 78, G_loss: 0.10232, step_psnr: 12.95681, strokes: 100 / 500
iteration step 79, G_loss: 0.10097, step_psnr: 13.02252, strokes: 100 / 500
iteration step 80, G_loss: 0.09994, step_psnr: 13.08618, strokes: 100 / 500
iteration step 81, G_loss: 0.09898, step_psnr: 13.14906, strokes: 100 / 500
iteration step 82, G_loss: 0.09805, step_psnr: 13.20985, strokes: 100 / 500
iteration step 83, G_loss: 0.09718, step_psnr: 13.26811, strokes: 100 / 500
iteration step 84, G_loss: 0.09634, step_psnr: 13.33190, strokes: 100 / 500
iteration step 85, G_loss: 0.09544, step_psnr: 13.39972, strokes: 100 / 500
iteration step 86, G_loss: 0.09455, step_psnr: 13.46617, strokes: 100 / 500
iteration step 87, G_loss: 0.09368, step_psnr: 13.52941, strokes: 100 / 500
iteration step 88, G_loss: 0.09287, step_psnr: 13.60118, strokes: 100 / 500
iteration step 89, G_loss: 0.09200, step_psnr: 13.65975, strokes: 100 / 500
iteration step 90, G_loss: 0.09122, step_psnr: 13.71981, strokes: 100 / 500
iteration step 91, G_loss: 0.09047, step_psnr: 13.77044, strokes: 100 / 500
iteration step 92, G_loss: 0.08984, step_psnr: 13.82269, strokes: 100 / 500
iteration step 93, G_loss: 0.08920, step_psnr: 13.87755, strokes: 100 / 500
iteration step 94, G_loss: 0.08855, step_psnr: 13.92735, strokes: 100 / 500
iteration step 95, G_loss: 0.08798, step_psnr: 13.97334, strokes: 100 / 500
iteration step 96, G_loss: 0.08742, step_psnr: 14.02456, strokes: 100 / 500
iteration step 97, G_loss: 0.08686, step_psnr: 14.07602, strokes: 100 / 500
iteration step 98, G_loss: 0.08624, step_psnr: 14.13234, strokes: 100 / 500
iteration step 99, G_loss: 0.08558, step_psnr: 14.19120, strokes: 100 / 500
iteration step 100, G_loss: 0.08494, step_psnr: 14.42324, strokes: 125 / 500
iteration step 101, G_loss: 0.08316, step_psnr: 14.55834, strokes: 125 / 500
iteration step 102, G_loss: 0.08157, step_psnr: 14.66688, strokes: 125 / 500
iteration step 103, G_loss: 0.08032, step_psnr: 14.75168, strokes: 125 / 500
iteration step 104, G_loss: 0.07940, step_psnr: 14.84577, strokes: 125 / 500
iteration step 105, G_loss: 0.07849, step_psnr: 14.91538, strokes: 125 / 500
iteration step 106, G_loss: 0.07777, step_psnr: 14.98461, strokes: 125 / 500
iteration step 107, G_loss: 0.07708, step_psnr: 15.05103, strokes: 125 / 500
iteration step 108, G_loss: 0.07646, step_psnr: 15.11728, strokes: 125 / 500
iteration step 109, G_loss: 0.07579, step_psnr: 15.17417, strokes: 125 / 500
iteration step 110, G_loss: 0.07520, step_psnr: 15.23757, strokes: 125 / 500
iteration step 111, G_loss: 0.07463, step_psnr: 15.29382, strokes: 125 / 500
iteration step 112, G_loss: 0.07412, step_psnr: 15.34237, strokes: 125 / 500
iteration step 113, G_loss: 0.07365, step_psnr: 15.39206, strokes: 125 / 500
iteration step 114, G_loss: 0.07321, step_psnr: 15.44073, strokes: 125 / 500
iteration step 115, G_loss: 0.07274, step_psnr: 15.48885, strokes: 125 / 500
iteration step 116, G_loss: 0.07228, step_psnr: 15.53724, strokes: 125 / 500
iteration step 117, G_loss: 0.07187, step_psnr: 15.58433, strokes: 125 / 500
iteration step 118, G_loss: 0.07146, step_psnr: 15.63681, strokes: 125 / 500
iteration step 119, G_loss: 0.07102, step_psnr: 15.68758, strokes: 125 / 500
iteration step 120, G_loss: 0.07060, step_psnr: 15.73547, strokes: 125 / 500
iteration step 121, G_loss: 0.07022, step_psnr: 15.78058, strokes: 125 / 500
iteration step 122, G_loss: 0.06985, step_psnr: 15.83388, strokes: 125 / 500
iteration step 123, G_loss: 0.06941, step_psnr: 15.88396, strokes: 125 / 500
iteration step 124, G_loss: 0.06905, step_psnr: 15.92924, strokes: 125 / 500
iteration step 125, G_loss: 0.06867, step_psnr: 16.10488, strokes: 150 / 500
iteration step 126, G_loss: 0.06838, step_psnr: 16.22137, strokes: 150 / 500
iteration step 127, G_loss: 0.06727, step_psnr: 16.31347, strokes: 150 / 500
iteration step 128, G_loss: 0.06650, step_psnr: 16.37321, strokes: 150 / 500
iteration step 129, G_loss: 0.06595, step_psnr: 16.44956, strokes: 150 / 500
iteration step 130, G_loss: 0.06533, step_psnr: 16.52263, strokes: 150 / 500
iteration step 131, G_loss: 0.06476, step_psnr: 16.59647, strokes: 150 / 500
iteration step 132, G_loss: 0.06421, step_psnr: 16.66116, strokes: 150 / 500
iteration step 133, G_loss: 0.06373, step_psnr: 16.73627, strokes: 150 / 500
iteration step 134, G_loss: 0.06326, step_psnr: 16.78360, strokes: 150 / 500
iteration step 135, G_loss: 0.06287, step_psnr: 16.84783, strokes: 150 / 500
iteration step 136, G_loss: 0.06242, step_psnr: 16.90397, strokes: 150 / 500
iteration step 137, G_loss: 0.06202, step_psnr: 16.95728, strokes: 150 / 500
iteration step 138, G_loss: 0.06167, step_psnr: 17.00871, strokes: 150 / 500
iteration step 139, G_loss: 0.06131, step_psnr: 17.06013, strokes: 150 / 500
iteration step 140, G_loss: 0.06095, step_psnr: 17.10044, strokes: 150 / 500
iteration step 141, G_loss: 0.06067, step_psnr: 17.14539, strokes: 150 / 500
iteration step 142, G_loss: 0.06036, step_psnr: 17.19171, strokes: 150 / 500
iteration step 143, G_loss: 0.06005, step_psnr: 17.22702, strokes: 150 / 500
iteration step 144, G_loss: 0.05980, step_psnr: 17.26884, strokes: 150 / 500
iteration step 145, G_loss: 0.05952, step_psnr: 17.30185, strokes: 150 / 500
iteration step 146, G_loss: 0.05929, step_psnr: 17.33757, strokes: 150 / 500
iteration step 147, G_loss: 0.05909, step_psnr: 17.37199, strokes: 150 / 500
iteration step 148, G_loss: 0.05882, step_psnr: 17.40168, strokes: 150 / 500
iteration step 149, G_loss: 0.05866, step_psnr: 17.44022, strokes: 150 / 500
iteration step 150, G_loss: 0.05841, step_psnr: 17.46727, strokes: 175 / 500
iteration step 151, G_loss: 0.05896, step_psnr: 17.60440, strokes: 175 / 500
iteration step 152, G_loss: 0.05784, step_psnr: 17.68379, strokes: 175 / 500
iteration step 153, G_loss: 0.05721, step_psnr: 17.75114, strokes: 175 / 500
iteration step 154, G_loss: 0.05677, step_psnr: 17.80272, strokes: 175 / 500
iteration step 155, G_loss: 0.05639, step_psnr: 17.85297, strokes: 175 / 500
iteration step 156, G_loss: 0.05606, step_psnr: 17.89745, strokes: 175 / 500
iteration step 157, G_loss: 0.05576, step_psnr: 17.93649, strokes: 175 / 500
iteration step 158, G_loss: 0.05550, step_psnr: 17.97540, strokes: 175 / 500
iteration step 159, G_loss: 0.05526, step_psnr: 18.01048, strokes: 175 / 500
iteration step 160, G_loss: 0.05504, step_psnr: 18.04313, strokes: 175 / 500
iteration step 161, G_loss: 0.05484, step_psnr: 18.07170, strokes: 175 / 500
iteration step 162, G_loss: 0.05466, step_psnr: 18.10776, strokes: 175 / 500
iteration step 163, G_loss: 0.05446, step_psnr: 18.13415, strokes: 175 / 500
iteration step 164, G_loss: 0.05428, step_psnr: 18.16567, strokes: 175 / 500
iteration step 165, G_loss: 0.05410, step_psnr: 18.19414, strokes: 175 / 500
iteration step 166, G_loss: 0.05391, step_psnr: 18.22861, strokes: 175 / 500
iteration step 167, G_loss: 0.05374, step_psnr: 18.25704, strokes: 175 / 500
iteration step 168, G_loss: 0.05354, step_psnr: 18.28639, strokes: 175 / 500
iteration step 169, G_loss: 0.05339, step_psnr: 18.31336, strokes: 175 / 500
iteration step 170, G_loss: 0.05323, step_psnr: 18.33723, strokes: 175 / 500
iteration step 171, G_loss: 0.05306, step_psnr: 18.36422, strokes: 175 / 500
iteration step 172, G_loss: 0.05291, step_psnr: 18.38551, strokes: 175 / 500
iteration step 173, G_loss: 0.05280, step_psnr: 18.40540, strokes: 175 / 500
iteration step 174, G_loss: 0.05268, step_psnr: 18.41653, strokes: 175 / 500
iteration step 175, G_loss: 0.05260, step_psnr: 18.43245, strokes: 200 / 500
iteration step 176, G_loss: 0.05323, step_psnr: 18.55886, strokes: 200 / 500
iteration step 177, G_loss: 0.05244, step_psnr: 18.62515, strokes: 200 / 500
iteration step 178, G_loss: 0.05196, step_psnr: 18.66778, strokes: 200 / 500
iteration step 179, G_loss: 0.05169, step_psnr: 18.70063, strokes: 200 / 500
iteration step 180, G_loss: 0.05147, step_psnr: 18.72480, strokes: 200 / 500
iteration step 181, G_loss: 0.05129, step_psnr: 18.75498, strokes: 200 / 500
iteration step 182, G_loss: 0.05111, step_psnr: 18.78716, strokes: 200 / 500
iteration step 183, G_loss: 0.05092, step_psnr: 18.80779, strokes: 200 / 500
iteration step 184, G_loss: 0.05079, step_psnr: 18.82437, strokes: 200 / 500
iteration step 185, G_loss: 0.05070, step_psnr: 18.84560, strokes: 200 / 500
iteration step 186, G_loss: 0.05057, step_psnr: 18.85541, strokes: 200 / 500
iteration step 187, G_loss: 0.05047, step_psnr: 18.86922, strokes: 200 / 500
iteration step 188, G_loss: 0.05040, step_psnr: 18.88257, strokes: 200 / 500
iteration step 189, G_loss: 0.05031, step_psnr: 18.91039, strokes: 200 / 500
iteration step 190, G_loss: 0.05017, step_psnr: 18.91609, strokes: 200 / 500
iteration step 191, G_loss: 0.05011, step_psnr: 18.93352, strokes: 200 / 500
iteration step 192, G_loss: 0.05001, step_psnr: 18.94156, strokes: 200 / 500
iteration step 193, G_loss: 0.04995, step_psnr: 18.95820, strokes: 200 / 500
iteration step 194, G_loss: 0.04988, step_psnr: 18.96229, strokes: 200 / 500
iteration step 195, G_loss: 0.04982, step_psnr: 18.98453, strokes: 200 / 500
iteration step 196, G_loss: 0.04972, step_psnr: 19.00251, strokes: 200 / 500
iteration step 197, G_loss: 0.04962, step_psnr: 19.00109, strokes: 200 / 500
iteration step 198, G_loss: 0.04958, step_psnr: 19.02341, strokes: 200 / 500
iteration step 199, G_loss: 0.04950, step_psnr: 19.03747, strokes: 200 / 500
iteration step 200, G_loss: 0.04940, step_psnr: 18.95287, strokes: 225 / 500
iteration step 201, G_loss: 0.05021, step_psnr: 19.04038, strokes: 225 / 500
iteration step 202, G_loss: 0.04959, step_psnr: 19.08572, strokes: 225 / 500
iteration step 203, G_loss: 0.04934, step_psnr: 19.12601, strokes: 225 / 500
iteration step 204, G_loss: 0.04905, step_psnr: 19.14653, strokes: 225 / 500
iteration step 205, G_loss: 0.04889, step_psnr: 19.17867, strokes: 225 / 500
iteration step 206, G_loss: 0.04868, step_psnr: 19.19761, strokes: 225 / 500
iteration step 207, G_loss: 0.04850, step_psnr: 19.22705, strokes: 225 / 500
iteration step 208, G_loss: 0.04836, step_psnr: 19.24705, strokes: 225 / 500
iteration step 209, G_loss: 0.04820, step_psnr: 19.27173, strokes: 225 / 500
iteration step 210, G_loss: 0.04808, step_psnr: 19.28023, strokes: 225 / 500
iteration step 211, G_loss: 0.04796, step_psnr: 19.30517, strokes: 225 / 500
iteration step 212, G_loss: 0.04786, step_psnr: 19.31989, strokes: 225 / 500
iteration step 213, G_loss: 0.04774, step_psnr: 19.33570, strokes: 225 / 500
iteration step 214, G_loss: 0.04764, step_psnr: 19.35274, strokes: 225 / 500
iteration step 215, G_loss: 0.04758, step_psnr: 19.36454, strokes: 225 / 500
iteration step 216, G_loss: 0.04745, step_psnr: 19.38342, strokes: 225 / 500
iteration step 217, G_loss: 0.04736, step_psnr: 19.39329, strokes: 225 / 500
iteration step 218, G_loss: 0.04727, step_psnr: 19.41295, strokes: 225 / 500
iteration step 219, G_loss: 0.04717, step_psnr: 19.43317, strokes: 225 / 500
iteration step 220, G_loss: 0.04705, step_psnr: 19.44986, strokes: 225 / 500
iteration step 221, G_loss: 0.04696, step_psnr: 19.46479, strokes: 225 / 500
iteration step 222, G_loss: 0.04685, step_psnr: 19.48456, strokes: 225 / 500
iteration step 223, G_loss: 0.04675, step_psnr: 19.49184, strokes: 225 / 500
iteration step 224, G_loss: 0.04669, step_psnr: 19.51186, strokes: 225 / 500
iteration step 225, G_loss: 0.04659, step_psnr: 19.37730, strokes: 250 / 500
iteration step 226, G_loss: 0.04778, step_psnr: 19.48347, strokes: 250 / 500
iteration step 227, G_loss: 0.04709, step_psnr: 19.53136, strokes: 250 / 500
iteration step 228, G_loss: 0.04675, step_psnr: 19.57022, strokes: 250 / 500
