initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 2.27861, strokes: 25 / 500
iteration step 1, G_loss: 0.71433, step_psnr: 2.29148, strokes: 25 / 500
iteration step 2, G_loss: 0.71253, step_psnr: 2.30336, strokes: 25 / 500
iteration step 3, G_loss: 0.71094, step_psnr: 2.31391, strokes: 25 / 500
iteration step 4, G_loss: 0.70947, step_psnr: 2.32340, strokes: 25 / 500
iteration step 5, G_loss: 0.70816, step_psnr: 2.33392, strokes: 25 / 500
iteration step 6, G_loss: 0.70678, step_psnr: 2.34279, strokes: 25 / 500
iteration step 7, G_loss: 0.70561, step_psnr: 2.35175, strokes: 25 / 500
iteration step 8, G_loss: 0.70438, step_psnr: 2.36026, strokes: 25 / 500
iteration step 9, G_loss: 0.70329, step_psnr: 2.36795, strokes: 25 / 500
iteration step 10, G_loss: 0.70225, step_psnr: 2.37628, strokes: 25 / 500
iteration step 11, G_loss: 0.70117, step_psnr: 2.38507, strokes: 25 / 500
iteration step 12, G_loss: 0.70004, step_psnr: 2.39363, strokes: 25 / 500
iteration step 13, G_loss: 0.69892, step_psnr: 2.40283, strokes: 25 / 500
iteration step 14, G_loss: 0.69777, step_psnr: 2.41239, strokes: 25 / 500
iteration step 15, G_loss: 0.69655, step_psnr: 2.42088, strokes: 25 / 500
iteration step 16, G_loss: 0.69541, step_psnr: 2.43006, strokes: 25 / 500
iteration step 17, G_loss: 0.69426, step_psnr: 2.43806, strokes: 25 / 500
iteration step 18, G_loss: 0.69319, step_psnr: 2.44655, strokes: 25 / 500
iteration step 19, G_loss: 0.69211, step_psnr: 2.45548, strokes: 25 / 500
iteration step 20, G_loss: 0.69091, step_psnr: 2.46464, strokes: 25 / 500
iteration step 21, G_loss: 0.68972, step_psnr: 2.47380, strokes: 25 / 500
iteration step 22, G_loss: 0.68848, step_psnr: 2.48202, strokes: 25 / 500
iteration step 23, G_loss: 0.68737, step_psnr: 2.49107, strokes: 25 / 500
iteration step 24, G_loss: 0.68620, step_psnr: 2.50009, strokes: 25 / 500
iteration step 25, G_loss: 0.68498, step_psnr: 2.61261, strokes: 50 / 500
iteration step 26, G_loss: 0.67130, step_psnr: 2.64937, strokes: 50 / 500
iteration step 27, G_loss: 0.66649, step_psnr: 2.68128, strokes: 50 / 500
iteration step 28, G_loss: 0.66233, step_psnr: 2.70864, strokes: 50 / 500
iteration step 29, G_loss: 0.65871, step_psnr: 2.73495, strokes: 50 / 500
iteration step 30, G_loss: 0.65523, step_psnr: 2.75994, strokes: 50 / 500
iteration step 31, G_loss: 0.65210, step_psnr: 2.78354, strokes: 50 / 500
iteration step 32, G_loss: 0.64899, step_psnr: 2.80795, strokes: 50 / 500
iteration step 33, G_loss: 0.64588, step_psnr: 2.83177, strokes: 50 / 500
iteration step 34, G_loss: 0.64279, step_psnr: 2.85462, strokes: 50 / 500
iteration step 35, G_loss: 0.63996, step_psnr: 2.87650, strokes: 50 / 500
iteration step 36, G_loss: 0.63716, step_psnr: 2.89779, strokes: 50 / 500
iteration step 37, G_loss: 0.63444, step_psnr: 2.92014, strokes: 50 / 500
iteration step 38, G_loss: 0.63163, step_psnr: 2.94225, strokes: 50 / 500
iteration step 39, G_loss: 0.62893, step_psnr: 2.96538, strokes: 50 / 500
iteration step 40, G_loss: 0.62617, step_psnr: 2.98828, strokes: 50 / 500
iteration step 41, G_loss: 0.62347, step_psnr: 3.01020, strokes: 50 / 500
iteration step 42, G_loss: 0.62076, step_psnr: 3.03203, strokes: 50 / 500
iteration step 43, G_loss: 0.61816, step_psnr: 3.05693, strokes: 50 / 500
iteration step 44, G_loss: 0.61518, step_psnr: 3.08249, strokes: 50 / 500
iteration step 45, G_loss: 0.61217, step_psnr: 3.10720, strokes: 50 / 500
iteration step 46, G_loss: 0.60921, step_psnr: 3.13434, strokes: 50 / 500
iteration step 47, G_loss: 0.60609, step_psnr: 3.16077, strokes: 50 / 500
iteration step 48, G_loss: 0.60301, step_psnr: 3.18476, strokes: 50 / 500
iteration step 49, G_loss: 0.60013, step_psnr: 3.20924, strokes: 50 / 500
iteration step 50, G_loss: 0.59734, step_psnr: 3.33033, strokes: 75 / 500
iteration step 51, G_loss: 0.58486, step_psnr: 3.38429, strokes: 75 / 500
iteration step 52, G_loss: 0.57882, step_psnr: 3.43274, strokes: 75 / 500
iteration step 53, G_loss: 0.57350, step_psnr: 3.48156, strokes: 75 / 500
iteration step 54, G_loss: 0.56818, step_psnr: 3.52671, strokes: 75 / 500
iteration step 55, G_loss: 0.56329, step_psnr: 3.57354, strokes: 75 / 500
iteration step 56, G_loss: 0.55830, step_psnr: 3.61463, strokes: 75 / 500
iteration step 57, G_loss: 0.55384, step_psnr: 3.65719, strokes: 75 / 500
iteration step 58, G_loss: 0.54930, step_psnr: 3.69819, strokes: 75 / 500
iteration step 59, G_loss: 0.54500, step_psnr: 3.73847, strokes: 75 / 500
iteration step 60, G_loss: 0.54077, step_psnr: 3.77954, strokes: 75 / 500
iteration step 61, G_loss: 0.53655, step_psnr: 3.81637, strokes: 75 / 500
iteration step 62, G_loss: 0.53262, step_psnr: 3.85684, strokes: 75 / 500
iteration step 63, G_loss: 0.52850, step_psnr: 3.89778, strokes: 75 / 500
iteration step 64, G_loss: 0.52436, step_psnr: 3.94035, strokes: 75 / 500
iteration step 65, G_loss: 0.52003, step_psnr: 3.98456, strokes: 75 / 500
iteration step 66, G_loss: 0.51570, step_psnr: 4.02439, strokes: 75 / 500
iteration step 67, G_loss: 0.51163, step_psnr: 4.06443, strokes: 75 / 500
iteration step 68, G_loss: 0.50774, step_psnr: 4.10433, strokes: 75 / 500
iteration step 69, G_loss: 0.50392, step_psnr: 4.14255, strokes: 75 / 500
iteration step 70, G_loss: 0.50017, step_psnr: 4.18458, strokes: 75 / 500
iteration step 71, G_loss: 0.49620, step_psnr: 4.22731, strokes: 75 / 500
iteration step 72, G_loss: 0.49210, step_psnr: 4.26826, strokes: 75 / 500
iteration step 73, G_loss: 0.48830, step_psnr: 4.31005, strokes: 75 / 500
iteration step 74, G_loss: 0.48439, step_psnr: 4.34896, strokes: 75 / 500
iteration step 75, G_loss: 0.48076, step_psnr: 4.52450, strokes: 100 / 500
iteration step 76, G_loss: 0.46654, step_psnr: 4.60585, strokes: 100 / 500
iteration step 77, G_loss: 0.45960, step_psnr: 4.67974, strokes: 100 / 500
iteration step 78, G_loss: 0.45342, step_psnr: 4.74350, strokes: 100 / 500
iteration step 79, G_loss: 0.44793, step_psnr: 4.80980, strokes: 100 / 500
iteration step 80, G_loss: 0.44245, step_psnr: 4.87262, strokes: 100 / 500
iteration step 81, G_loss: 0.43734, step_psnr: 4.93683, strokes: 100 / 500
iteration step 82, G_loss: 0.43218, step_psnr: 5.00023, strokes: 100 / 500
iteration step 83, G_loss: 0.42711, step_psnr: 5.06567, strokes: 100 / 500
iteration step 84, G_loss: 0.42200, step_psnr: 5.12622, strokes: 100 / 500
iteration step 85, G_loss: 0.41718, step_psnr: 5.18886, strokes: 100 / 500
iteration step 86, G_loss: 0.41241, step_psnr: 5.24895, strokes: 100 / 500
iteration step 87, G_loss: 0.40788, step_psnr: 5.30877, strokes: 100 / 500
iteration step 88, G_loss: 0.40335, step_psnr: 5.37257, strokes: 100 / 500
iteration step 89, G_loss: 0.39863, step_psnr: 5.43757, strokes: 100 / 500
iteration step 90, G_loss: 0.39396, step_psnr: 5.49809, strokes: 100 / 500
iteration step 91, G_loss: 0.38956, step_psnr: 5.56007, strokes: 100 / 500
iteration step 92, G_loss: 0.38523, step_psnr: 5.61794, strokes: 100 / 500
iteration step 93, G_loss: 0.38116, step_psnr: 5.67735, strokes: 100 / 500
iteration step 94, G_loss: 0.37708, step_psnr: 5.73992, strokes: 100 / 500
iteration step 95, G_loss: 0.37275, step_psnr: 5.80182, strokes: 100 / 500
iteration step 96, G_loss: 0.36859, step_psnr: 5.86360, strokes: 100 / 500
iteration step 97, G_loss: 0.36448, step_psnr: 5.92100, strokes: 100 / 500
iteration step 98, G_loss: 0.36073, step_psnr: 5.98345, strokes: 100 / 500
iteration step 99, G_loss: 0.35671, step_psnr: 6.04321, strokes: 100 / 500
iteration step 100, G_loss: 0.35287, step_psnr: 6.25257, strokes: 125 / 500
iteration step 101, G_loss: 0.34130, step_psnr: 6.36224, strokes: 125 / 500
iteration step 102, G_loss: 0.33483, step_psnr: 6.46103, strokes: 125 / 500
iteration step 103, G_loss: 0.32921, step_psnr: 6.55752, strokes: 125 / 500
iteration step 104, G_loss: 0.32370, step_psnr: 6.65541, strokes: 125 / 500
iteration step 105, G_loss: 0.31842, step_psnr: 6.75279, strokes: 125 / 500
iteration step 106, G_loss: 0.31318, step_psnr: 6.84428, strokes: 125 / 500
iteration step 107, G_loss: 0.30834, step_psnr: 6.93439, strokes: 125 / 500
iteration step 108, G_loss: 0.30356, step_psnr: 7.01465, strokes: 125 / 500
iteration step 109, G_loss: 0.29939, step_psnr: 7.09322, strokes: 125 / 500
iteration step 110, G_loss: 0.29534, step_psnr: 7.17533, strokes: 125 / 500
iteration step 111, G_loss: 0.29135, step_psnr: 7.25623, strokes: 125 / 500
iteration step 112, G_loss: 0.28737, step_psnr: 7.33434, strokes: 125 / 500
iteration step 113, G_loss: 0.28360, step_psnr: 7.41030, strokes: 125 / 500
iteration step 114, G_loss: 0.27990, step_psnr: 7.48677, strokes: 125 / 500
iteration step 115, G_loss: 0.27633, step_psnr: 7.56567, strokes: 125 / 500
iteration step 116, G_loss: 0.27273, step_psnr: 7.64528, strokes: 125 / 500
iteration step 117, G_loss: 0.26913, step_psnr: 7.72389, strokes: 125 / 500
iteration step 118, G_loss: 0.26565, step_psnr: 7.80364, strokes: 125 / 500
iteration step 119, G_loss: 0.26223, step_psnr: 7.88243, strokes: 125 / 500
iteration step 120, G_loss: 0.25879, step_psnr: 7.96176, strokes: 125 / 500
iteration step 121, G_loss: 0.25550, step_psnr: 8.03748, strokes: 125 / 500
iteration step 122, G_loss: 0.25240, step_psnr: 8.11176, strokes: 125 / 500
iteration step 123, G_loss: 0.24934, step_psnr: 8.18374, strokes: 125 / 500
iteration step 124, G_loss: 0.24651, step_psnr: 8.25992, strokes: 125 / 500
iteration step 125, G_loss: 0.24352, step_psnr: 8.50782, strokes: 150 / 500
iteration step 126, G_loss: 0.23479, step_psnr: 8.64945, strokes: 150 / 500
iteration step 127, G_loss: 0.22963, step_psnr: 8.78694, strokes: 150 / 500
iteration step 128, G_loss: 0.22472, step_psnr: 8.90758, strokes: 150 / 500
iteration step 129, G_loss: 0.22051, step_psnr: 9.01825, strokes: 150 / 500
iteration step 130, G_loss: 0.21669, step_psnr: 9.11745, strokes: 150 / 500
iteration step 131, G_loss: 0.21334, step_psnr: 9.20977, strokes: 150 / 500
iteration step 132, G_loss: 0.21030, step_psnr: 9.31157, strokes: 150 / 500
iteration step 133, G_loss: 0.20705, step_psnr: 9.41035, strokes: 150 / 500
iteration step 134, G_loss: 0.20398, step_psnr: 9.51039, strokes: 150 / 500
iteration step 135, G_loss: 0.20098, step_psnr: 9.60339, strokes: 150 / 500
iteration step 136, G_loss: 0.19817, step_psnr: 9.69787, strokes: 150 / 500
iteration step 137, G_loss: 0.19540, step_psnr: 9.79335, strokes: 150 / 500
iteration step 138, G_loss: 0.19265, step_psnr: 9.88061, strokes: 150 / 500
iteration step 139, G_loss: 0.19009, step_psnr: 9.96923, strokes: 150 / 500
iteration step 140, G_loss: 0.18760, step_psnr: 10.05334, strokes: 150 / 500
