initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 0.70213, strokes: 25 / 500
iteration step 1, G_loss: 0.90231, step_psnr: 0.71478, strokes: 25 / 500
iteration step 2, G_loss: 0.89986, step_psnr: 0.72653, strokes: 25 / 500
iteration step 3, G_loss: 0.89763, step_psnr: 0.73647, strokes: 25 / 500
iteration step 4, G_loss: 0.89571, step_psnr: 0.74520, strokes: 25 / 500
iteration step 5, G_loss: 0.89403, step_psnr: 0.75442, strokes: 25 / 500
iteration step 6, G_loss: 0.89227, step_psnr: 0.76284, strokes: 25 / 500
iteration step 7, G_loss: 0.89067, step_psnr: 0.77121, strokes: 25 / 500
iteration step 8, G_loss: 0.88913, step_psnr: 0.77996, strokes: 25 / 500
iteration step 9, G_loss: 0.88747, step_psnr: 0.78845, strokes: 25 / 500
iteration step 10, G_loss: 0.88587, step_psnr: 0.79665, strokes: 25 / 500
iteration step 11, G_loss: 0.88438, step_psnr: 0.80441, strokes: 25 / 500
iteration step 12, G_loss: 0.88292, step_psnr: 0.81260, strokes: 25 / 500
iteration step 13, G_loss: 0.88138, step_psnr: 0.81968, strokes: 25 / 500
iteration step 14, G_loss: 0.88002, step_psnr: 0.82833, strokes: 25 / 500
iteration step 15, G_loss: 0.87846, step_psnr: 0.83620, strokes: 25 / 500
iteration step 16, G_loss: 0.87696, step_psnr: 0.84431, strokes: 25 / 500
iteration step 17, G_loss: 0.87541, step_psnr: 0.85265, strokes: 25 / 500
iteration step 18, G_loss: 0.87391, step_psnr: 0.86173, strokes: 25 / 500
iteration step 19, G_loss: 0.87224, step_psnr: 0.87062, strokes: 25 / 500
iteration step 20, G_loss: 0.87070, step_psnr: 0.87949, strokes: 25 / 500
iteration step 21, G_loss: 0.86917, step_psnr: 0.88714, strokes: 25 / 500
iteration step 22, G_loss: 0.86772, step_psnr: 0.89510, strokes: 25 / 500
iteration step 23, G_loss: 0.86630, step_psnr: 0.90197, strokes: 25 / 500
iteration step 24, G_loss: 0.86497, step_psnr: 0.91026, strokes: 25 / 500
iteration step 25, G_loss: 0.86351, step_psnr: 1.00455, strokes: 50 / 500
iteration step 26, G_loss: 0.84845, step_psnr: 1.03590, strokes: 50 / 500
iteration step 27, G_loss: 0.84319, step_psnr: 1.06288, strokes: 50 / 500
iteration step 28, G_loss: 0.83868, step_psnr: 1.08873, strokes: 50 / 500
iteration step 29, G_loss: 0.83431, step_psnr: 1.11227, strokes: 50 / 500
iteration step 30, G_loss: 0.83042, step_psnr: 1.13544, strokes: 50 / 500
iteration step 31, G_loss: 0.82656, step_psnr: 1.15915, strokes: 50 / 500
iteration step 32, G_loss: 0.82272, step_psnr: 1.18129, strokes: 50 / 500
iteration step 33, G_loss: 0.81900, step_psnr: 1.20343, strokes: 50 / 500
iteration step 34, G_loss: 0.81530, step_psnr: 1.22479, strokes: 50 / 500
iteration step 35, G_loss: 0.81178, step_psnr: 1.24657, strokes: 50 / 500
iteration step 36, G_loss: 0.80818, step_psnr: 1.26726, strokes: 50 / 500
iteration step 37, G_loss: 0.80485, step_psnr: 1.28817, strokes: 50 / 500
iteration step 38, G_loss: 0.80155, step_psnr: 1.31061, strokes: 50 / 500
iteration step 39, G_loss: 0.79789, step_psnr: 1.33142, strokes: 50 / 500
iteration step 40, G_loss: 0.79452, step_psnr: 1.35187, strokes: 50 / 500
iteration step 41, G_loss: 0.79121, step_psnr: 1.37215, strokes: 50 / 500
iteration step 42, G_loss: 0.78797, step_psnr: 1.39304, strokes: 50 / 500
iteration step 43, G_loss: 0.78466, step_psnr: 1.41374, strokes: 50 / 500
iteration step 44, G_loss: 0.78135, step_psnr: 1.43500, strokes: 50 / 500
iteration step 45, G_loss: 0.77797, step_psnr: 1.45734, strokes: 50 / 500
iteration step 46, G_loss: 0.77459, step_psnr: 1.48029, strokes: 50 / 500
iteration step 47, G_loss: 0.77104, step_psnr: 1.50291, strokes: 50 / 500
