initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 1.08087, strokes: 25 / 500
iteration step 1, G_loss: 0.85016, step_psnr: 1.09737, strokes: 25 / 500
iteration step 2, G_loss: 0.84740, step_psnr: 1.11131, strokes: 25 / 500
iteration step 3, G_loss: 0.84509, step_psnr: 1.12243, strokes: 25 / 500
iteration step 4, G_loss: 0.84320, step_psnr: 1.13218, strokes: 25 / 500
iteration step 5, G_loss: 0.84154, step_psnr: 1.14320, strokes: 25 / 500
iteration step 6, G_loss: 0.83972, step_psnr: 1.15290, strokes: 25 / 500
iteration step 7, G_loss: 0.83809, step_psnr: 1.16235, strokes: 25 / 500
iteration step 8, G_loss: 0.83656, step_psnr: 1.17210, strokes: 25 / 500
iteration step 9, G_loss: 0.83493, step_psnr: 1.18106, strokes: 25 / 500
iteration step 10, G_loss: 0.83350, step_psnr: 1.19034, strokes: 25 / 500
iteration step 11, G_loss: 0.83196, step_psnr: 1.20031, strokes: 25 / 500
iteration step 12, G_loss: 0.83035, step_psnr: 1.20899, strokes: 25 / 500
iteration step 13, G_loss: 0.82894, step_psnr: 1.21785, strokes: 25 / 500
iteration step 14, G_loss: 0.82752, step_psnr: 1.22634, strokes: 25 / 500
iteration step 15, G_loss: 0.82614, step_psnr: 1.23557, strokes: 25 / 500
iteration step 16, G_loss: 0.82465, step_psnr: 1.24477, strokes: 25 / 500
iteration step 17, G_loss: 0.82315, step_psnr: 1.25485, strokes: 25 / 500
iteration step 18, G_loss: 0.82148, step_psnr: 1.26578, strokes: 25 / 500
iteration step 19, G_loss: 0.81970, step_psnr: 1.27554, strokes: 25 / 500
iteration step 20, G_loss: 0.81809, step_psnr: 1.28503, strokes: 25 / 500
iteration step 21, G_loss: 0.81652, step_psnr: 1.29432, strokes: 25 / 500
iteration step 22, G_loss: 0.81501, step_psnr: 1.30414, strokes: 25 / 500
iteration step 23, G_loss: 0.81343, step_psnr: 1.31376, strokes: 25 / 500
iteration step 24, G_loss: 0.81189, step_psnr: 1.32323, strokes: 25 / 500
iteration step 25, G_loss: 0.81037, step_psnr: 1.40922, strokes: 50 / 500
iteration step 26, G_loss: 0.79786, step_psnr: 1.44161, strokes: 50 / 500
iteration step 27, G_loss: 0.79273, step_psnr: 1.47006, strokes: 50 / 500
iteration step 28, G_loss: 0.78827, step_psnr: 1.49442, strokes: 50 / 500
iteration step 29, G_loss: 0.78448, step_psnr: 1.51831, strokes: 50 / 500
