initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 4.31012, strokes: 25 / 500
iteration step 1, G_loss: 0.55180, step_psnr: 4.32619, strokes: 25 / 500
iteration step 2, G_loss: 0.54988, step_psnr: 4.33981, strokes: 25 / 500
iteration step 3, G_loss: 0.54831, step_psnr: 4.35256, strokes: 25 / 500
iteration step 4, G_loss: 0.54685, step_psnr: 4.36339, strokes: 25 / 500
iteration step 5, G_loss: 0.54558, step_psnr: 4.37392, strokes: 25 / 500
iteration step 6, G_loss: 0.54440, step_psnr: 4.38337, strokes: 25 / 500
iteration step 7, G_loss: 0.54327, step_psnr: 4.39381, strokes: 25 / 500
iteration step 8, G_loss: 0.54207, step_psnr: 4.40410, strokes: 25 / 500
iteration step 9, G_loss: 0.54092, step_psnr: 4.41363, strokes: 25 / 500
iteration step 10, G_loss: 0.53987, step_psnr: 4.42360, strokes: 25 / 500
iteration step 11, G_loss: 0.53870, step_psnr: 4.43226, strokes: 25 / 500
iteration step 12, G_loss: 0.53770, step_psnr: 4.44114, strokes: 25 / 500
iteration step 13, G_loss: 0.53667, step_psnr: 4.45038, strokes: 25 / 500
iteration step 14, G_loss: 0.53561, step_psnr: 4.46048, strokes: 25 / 500
iteration step 15, G_loss: 0.53444, step_psnr: 4.46892, strokes: 25 / 500
iteration step 16, G_loss: 0.53343, step_psnr: 4.47766, strokes: 25 / 500
iteration step 17, G_loss: 0.53240, step_psnr: 4.48692, strokes: 25 / 500
iteration step 18, G_loss: 0.53130, step_psnr: 4.49664, strokes: 25 / 500
iteration step 19, G_loss: 0.53017, step_psnr: 4.50566, strokes: 25 / 500
iteration step 20, G_loss: 0.52908, step_psnr: 4.51449, strokes: 25 / 500
iteration step 21, G_loss: 0.52803, step_psnr: 4.52485, strokes: 25 / 500
iteration step 22, G_loss: 0.52686, step_psnr: 4.53519, strokes: 25 / 500
iteration step 23, G_loss: 0.52568, step_psnr: 4.54512, strokes: 25 / 500
iteration step 24, G_loss: 0.52453, step_psnr: 4.55583, strokes: 25 / 500
iteration step 25, G_loss: 0.52331, step_psnr: 4.65691, strokes: 50 / 500
iteration step 26, G_loss: 0.51378, step_psnr: 4.69506, strokes: 50 / 500
iteration step 27, G_loss: 0.50988, step_psnr: 4.72877, strokes: 50 / 500
iteration step 28, G_loss: 0.50639, step_psnr: 4.75721, strokes: 50 / 500
iteration step 29, G_loss: 0.50341, step_psnr: 4.78321, strokes: 50 / 500
iteration step 30, G_loss: 0.50066, step_psnr: 4.81160, strokes: 50 / 500
iteration step 31, G_loss: 0.49781, step_psnr: 4.83791, strokes: 50 / 500
iteration step 32, G_loss: 0.49508, step_psnr: 4.86333, strokes: 50 / 500
iteration step 33, G_loss: 0.49247, step_psnr: 4.88912, strokes: 50 / 500
iteration step 34, G_loss: 0.48987, step_psnr: 4.91476, strokes: 50 / 500
iteration step 35, G_loss: 0.48725, step_psnr: 4.93996, strokes: 50 / 500
iteration step 36, G_loss: 0.48477, step_psnr: 4.96536, strokes: 50 / 500
iteration step 37, G_loss: 0.48222, step_psnr: 4.98889, strokes: 50 / 500
iteration step 38, G_loss: 0.47983, step_psnr: 5.01430, strokes: 50 / 500
iteration step 39, G_loss: 0.47736, step_psnr: 5.03907, strokes: 50 / 500
iteration step 40, G_loss: 0.47490, step_psnr: 5.06097, strokes: 50 / 500
iteration step 41, G_loss: 0.47271, step_psnr: 5.08575, strokes: 50 / 500
iteration step 42, G_loss: 0.47034, step_psnr: 5.10884, strokes: 50 / 500
iteration step 43, G_loss: 0.46803, step_psnr: 5.13241, strokes: 50 / 500
iteration step 44, G_loss: 0.46573, step_psnr: 5.15490, strokes: 50 / 500
iteration step 45, G_loss: 0.46355, step_psnr: 5.17996, strokes: 50 / 500
iteration step 46, G_loss: 0.46117, step_psnr: 5.20400, strokes: 50 / 500
iteration step 47, G_loss: 0.45885, step_psnr: 5.22730, strokes: 50 / 500
iteration step 48, G_loss: 0.45660, step_psnr: 5.25175, strokes: 50 / 500
iteration step 49, G_loss: 0.45431, step_psnr: 5.27576, strokes: 50 / 500
iteration step 50, G_loss: 0.45210, step_psnr: 5.39153, strokes: 75 / 500
iteration step 51, G_loss: 0.44268, step_psnr: 5.44638, strokes: 75 / 500
iteration step 52, G_loss: 0.43792, step_psnr: 5.49790, strokes: 75 / 500
iteration step 53, G_loss: 0.43359, step_psnr: 5.54419, strokes: 75 / 500
iteration step 54, G_loss: 0.42960, step_psnr: 5.58778, strokes: 75 / 500
iteration step 55, G_loss: 0.42590, step_psnr: 5.63142, strokes: 75 / 500
iteration step 56, G_loss: 0.42223, step_psnr: 5.67401, strokes: 75 / 500
iteration step 57, G_loss: 0.41864, step_psnr: 5.71562, strokes: 75 / 500
iteration step 58, G_loss: 0.41530, step_psnr: 5.75940, strokes: 75 / 500
iteration step 59, G_loss: 0.41172, step_psnr: 5.80499, strokes: 75 / 500
iteration step 60, G_loss: 0.40803, step_psnr: 5.84959, strokes: 75 / 500
iteration step 61, G_loss: 0.40444, step_psnr: 5.89451, strokes: 75 / 500
iteration step 62, G_loss: 0.40095, step_psnr: 5.93830, strokes: 75 / 500
iteration step 63, G_loss: 0.39751, step_psnr: 5.98182, strokes: 75 / 500
iteration step 64, G_loss: 0.39413, step_psnr: 6.02392, strokes: 75 / 500
iteration step 65, G_loss: 0.39085, step_psnr: 6.06513, strokes: 75 / 500
iteration step 66, G_loss: 0.38765, step_psnr: 6.11071, strokes: 75 / 500
iteration step 67, G_loss: 0.38423, step_psnr: 6.15424, strokes: 75 / 500
iteration step 68, G_loss: 0.38098, step_psnr: 6.20208, strokes: 75 / 500
iteration step 69, G_loss: 0.37748, step_psnr: 6.24687, strokes: 75 / 500
iteration step 70, G_loss: 0.37420, step_psnr: 6.29025, strokes: 75 / 500
iteration step 71, G_loss: 0.37106, step_psnr: 6.33534, strokes: 75 / 500
iteration step 72, G_loss: 0.36788, step_psnr: 6.37951, strokes: 75 / 500
iteration step 73, G_loss: 0.36481, step_psnr: 6.42554, strokes: 75 / 500
iteration step 74, G_loss: 0.36168, step_psnr: 6.46850, strokes: 75 / 500
iteration step 75, G_loss: 0.35868, step_psnr: 6.64974, strokes: 100 / 500
iteration step 76, G_loss: 0.34770, step_psnr: 6.74070, strokes: 100 / 500
iteration step 77, G_loss: 0.34194, step_psnr: 6.82486, strokes: 100 / 500
iteration step 78, G_loss: 0.33667, step_psnr: 6.90152, strokes: 100 / 500
iteration step 79, G_loss: 0.33188, step_psnr: 6.97772, strokes: 100 / 500
iteration step 80, G_loss: 0.32729, step_psnr: 7.05196, strokes: 100 / 500
iteration step 81, G_loss: 0.32283, step_psnr: 7.12364, strokes: 100 / 500
iteration step 82, G_loss: 0.31859, step_psnr: 7.20200, strokes: 100 / 500
iteration step 83, G_loss: 0.31414, step_psnr: 7.27667, strokes: 100 / 500
iteration step 84, G_loss: 0.30989, step_psnr: 7.35101, strokes: 100 / 500
iteration step 85, G_loss: 0.30570, step_psnr: 7.42064, strokes: 100 / 500
iteration step 86, G_loss: 0.30171, step_psnr: 7.49215, strokes: 100 / 500
iteration step 87, G_loss: 0.29780, step_psnr: 7.56351, strokes: 100 / 500
iteration step 88, G_loss: 0.29400, step_psnr: 7.63296, strokes: 100 / 500
iteration step 89, G_loss: 0.29024, step_psnr: 7.70686, strokes: 100 / 500
iteration step 90, G_loss: 0.28649, step_psnr: 7.78085, strokes: 100 / 500
iteration step 91, G_loss: 0.28263, step_psnr: 7.84923, strokes: 100 / 500
iteration step 92, G_loss: 0.27909, step_psnr: 7.91975, strokes: 100 / 500
iteration step 93, G_loss: 0.27555, step_psnr: 7.98851, strokes: 100 / 500
iteration step 94, G_loss: 0.27209, step_psnr: 8.05859, strokes: 100 / 500
iteration step 95, G_loss: 0.26861, step_psnr: 8.12808, strokes: 100 / 500
iteration step 96, G_loss: 0.26522, step_psnr: 8.19384, strokes: 100 / 500
iteration step 97, G_loss: 0.26197, step_psnr: 8.25892, strokes: 100 / 500
iteration step 98, G_loss: 0.25892, step_psnr: 8.32465, strokes: 100 / 500
iteration step 99, G_loss: 0.25585, step_psnr: 8.39062, strokes: 100 / 500
iteration step 100, G_loss: 0.25281, step_psnr: 8.66106, strokes: 125 / 500
iteration step 101, G_loss: 0.24203, step_psnr: 8.79184, strokes: 125 / 500
iteration step 102, G_loss: 0.23670, step_psnr: 8.90875, strokes: 125 / 500
