initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 2.54297, strokes: 25 / 500
iteration step 1, G_loss: 0.72021, step_psnr: 2.56120, strokes: 25 / 500
iteration step 2, G_loss: 0.71734, step_psnr: 2.57363, strokes: 25 / 500
iteration step 3, G_loss: 0.71527, step_psnr: 2.58617, strokes: 25 / 500
iteration step 4, G_loss: 0.71324, step_psnr: 2.59665, strokes: 25 / 500
iteration step 5, G_loss: 0.71150, step_psnr: 2.60716, strokes: 25 / 500
iteration step 6, G_loss: 0.70989, step_psnr: 2.61632, strokes: 25 / 500
iteration step 7, G_loss: 0.70842, step_psnr: 2.62508, strokes: 25 / 500
iteration step 8, G_loss: 0.70702, step_psnr: 2.63361, strokes: 25 / 500
iteration step 9, G_loss: 0.70569, step_psnr: 2.64228, strokes: 25 / 500
iteration step 10, G_loss: 0.70429, step_psnr: 2.65190, strokes: 25 / 500
iteration step 11, G_loss: 0.70279, step_psnr: 2.66180, strokes: 25 / 500
iteration step 12, G_loss: 0.70125, step_psnr: 2.67060, strokes: 25 / 500
iteration step 13, G_loss: 0.69987, step_psnr: 2.67910, strokes: 25 / 500
iteration step 14, G_loss: 0.69853, step_psnr: 2.68740, strokes: 25 / 500
iteration step 15, G_loss: 0.69726, step_psnr: 2.69598, strokes: 25 / 500
iteration step 16, G_loss: 0.69592, step_psnr: 2.70515, strokes: 25 / 500
iteration step 17, G_loss: 0.69452, step_psnr: 2.71389, strokes: 25 / 500
iteration step 18, G_loss: 0.69317, step_psnr: 2.72294, strokes: 25 / 500
iteration step 19, G_loss: 0.69184, step_psnr: 2.73302, strokes: 25 / 500
iteration step 20, G_loss: 0.69032, step_psnr: 2.74174, strokes: 25 / 500
iteration step 21, G_loss: 0.68899, step_psnr: 2.75112, strokes: 25 / 500
iteration step 22, G_loss: 0.68757, step_psnr: 2.76066, strokes: 25 / 500
iteration step 23, G_loss: 0.68613, step_psnr: 2.77077, strokes: 25 / 500
iteration step 24, G_loss: 0.68467, step_psnr: 2.78018, strokes: 25 / 500
iteration step 25, G_loss: 0.68321, step_psnr: 2.87349, strokes: 50 / 500
iteration step 26, G_loss: 0.67139, step_psnr: 2.90718, strokes: 50 / 500
iteration step 27, G_loss: 0.66673, step_psnr: 2.93701, strokes: 50 / 500
iteration step 28, G_loss: 0.66267, step_psnr: 2.96342, strokes: 50 / 500
iteration step 29, G_loss: 0.65900, step_psnr: 2.98737, strokes: 50 / 500
iteration step 30, G_loss: 0.65575, step_psnr: 3.01132, strokes: 50 / 500
iteration step 31, G_loss: 0.65248, step_psnr: 3.03528, strokes: 50 / 500
iteration step 32, G_loss: 0.64930, step_psnr: 3.05689, strokes: 50 / 500
iteration step 33, G_loss: 0.64638, step_psnr: 3.07931, strokes: 50 / 500
iteration step 34, G_loss: 0.64339, step_psnr: 3.10022, strokes: 50 / 500
iteration step 35, G_loss: 0.64054, step_psnr: 3.12129, strokes: 50 / 500
iteration step 36, G_loss: 0.63767, step_psnr: 3.14341, strokes: 50 / 500
iteration step 37, G_loss: 0.63474, step_psnr: 3.16591, strokes: 50 / 500
iteration step 38, G_loss: 0.63178, step_psnr: 3.18819, strokes: 50 / 500
iteration step 39, G_loss: 0.62882, step_psnr: 3.21033, strokes: 50 / 500
iteration step 40, G_loss: 0.62589, step_psnr: 3.23263, strokes: 50 / 500
iteration step 41, G_loss: 0.62303, step_psnr: 3.25437, strokes: 50 / 500
iteration step 42, G_loss: 0.62024, step_psnr: 3.27477, strokes: 50 / 500
iteration step 43, G_loss: 0.61754, step_psnr: 3.29607, strokes: 50 / 500
iteration step 44, G_loss: 0.61479, step_psnr: 3.31952, strokes: 50 / 500
iteration step 45, G_loss: 0.61187, step_psnr: 3.34058, strokes: 50 / 500
iteration step 46, G_loss: 0.60915, step_psnr: 3.36126, strokes: 50 / 500
iteration step 47, G_loss: 0.60654, step_psnr: 3.38137, strokes: 50 / 500
iteration step 48, G_loss: 0.60397, step_psnr: 3.40146, strokes: 50 / 500
iteration step 49, G_loss: 0.60144, step_psnr: 3.42080, strokes: 50 / 500
iteration step 50, G_loss: 0.59900, step_psnr: 3.54983, strokes: 75 / 500
iteration step 51, G_loss: 0.58503, step_psnr: 3.59837, strokes: 75 / 500
iteration step 52, G_loss: 0.57937, step_psnr: 3.64355, strokes: 75 / 500
iteration step 53, G_loss: 0.57414, step_psnr: 3.68438, strokes: 75 / 500
iteration step 54, G_loss: 0.56949, step_psnr: 3.72675, strokes: 75 / 500
iteration step 55, G_loss: 0.56469, step_psnr: 3.76827, strokes: 75 / 500
iteration step 56, G_loss: 0.56011, step_psnr: 3.80691, strokes: 75 / 500
iteration step 57, G_loss: 0.55571, step_psnr: 3.84570, strokes: 75 / 500
iteration step 58, G_loss: 0.55134, step_psnr: 3.88345, strokes: 75 / 500
iteration step 59, G_loss: 0.54716, step_psnr: 3.92255, strokes: 75 / 500
iteration step 60, G_loss: 0.54294, step_psnr: 3.95963, strokes: 75 / 500
iteration step 61, G_loss: 0.53896, step_psnr: 3.99703, strokes: 75 / 500
iteration step 62, G_loss: 0.53489, step_psnr: 4.03480, strokes: 75 / 500
iteration step 63, G_loss: 0.53083, step_psnr: 4.07277, strokes: 75 / 500
iteration step 64, G_loss: 0.52686, step_psnr: 4.10939, strokes: 75 / 500
iteration step 65, G_loss: 0.52291, step_psnr: 4.14846, strokes: 75 / 500
iteration step 66, G_loss: 0.51889, step_psnr: 4.18274, strokes: 75 / 500
iteration step 67, G_loss: 0.51532, step_psnr: 4.22112, strokes: 75 / 500
iteration step 68, G_loss: 0.51146, step_psnr: 4.25717, strokes: 75 / 500
iteration step 69, G_loss: 0.50773, step_psnr: 4.29703, strokes: 75 / 500
iteration step 70, G_loss: 0.50379, step_psnr: 4.33525, strokes: 75 / 500
iteration step 71, G_loss: 0.49985, step_psnr: 4.37236, strokes: 75 / 500
iteration step 72, G_loss: 0.49617, step_psnr: 4.41373, strokes: 75 / 500
iteration step 73, G_loss: 0.49220, step_psnr: 4.45617, strokes: 75 / 500
iteration step 74, G_loss: 0.48811, step_psnr: 4.49597, strokes: 75 / 500
iteration step 75, G_loss: 0.48429, step_psnr: 4.64410, strokes: 100 / 500
iteration step 76, G_loss: 0.47143, step_psnr: 4.72174, strokes: 100 / 500
iteration step 77, G_loss: 0.46440, step_psnr: 4.79400, strokes: 100 / 500
iteration step 78, G_loss: 0.45803, step_psnr: 4.86171, strokes: 100 / 500
iteration step 79, G_loss: 0.45215, step_psnr: 4.93190, strokes: 100 / 500
iteration step 80, G_loss: 0.44608, step_psnr: 4.99807, strokes: 100 / 500
iteration step 81, G_loss: 0.44039, step_psnr: 5.06504, strokes: 100 / 500
iteration step 82, G_loss: 0.43472, step_psnr: 5.13051, strokes: 100 / 500
iteration step 83, G_loss: 0.42928, step_psnr: 5.19869, strokes: 100 / 500
iteration step 84, G_loss: 0.42373, step_psnr: 5.26523, strokes: 100 / 500
iteration step 85, G_loss: 0.41827, step_psnr: 5.32769, strokes: 100 / 500
iteration step 86, G_loss: 0.41323, step_psnr: 5.39058, strokes: 100 / 500
iteration step 87, G_loss: 0.40809, step_psnr: 5.45555, strokes: 100 / 500
iteration step 88, G_loss: 0.40301, step_psnr: 5.51783, strokes: 100 / 500
iteration step 89, G_loss: 0.39816, step_psnr: 5.58263, strokes: 100 / 500
iteration step 90, G_loss: 0.39322, step_psnr: 5.64682, strokes: 100 / 500
iteration step 91, G_loss: 0.38837, step_psnr: 5.70996, strokes: 100 / 500
iteration step 92, G_loss: 0.38368, step_psnr: 5.77385, strokes: 100 / 500
iteration step 93, G_loss: 0.37899, step_psnr: 5.83444, strokes: 100 / 500
iteration step 94, G_loss: 0.37458, step_psnr: 5.89754, strokes: 100 / 500
iteration step 95, G_loss: 0.37013, step_psnr: 5.96161, strokes: 100 / 500
iteration step 96, G_loss: 0.36571, step_psnr: 6.02525, strokes: 100 / 500
iteration step 97, G_loss: 0.36125, step_psnr: 6.09096, strokes: 100 / 500
iteration step 98, G_loss: 0.35677, step_psnr: 6.15232, strokes: 100 / 500
iteration step 99, G_loss: 0.35264, step_psnr: 6.21319, strokes: 100 / 500
iteration step 100, G_loss: 0.34854, step_psnr: 6.41933, strokes: 125 / 500
iteration step 101, G_loss: 0.33650, step_psnr: 6.53487, strokes: 125 / 500
iteration step 102, G_loss: 0.32942, step_psnr: 6.64283, strokes: 125 / 500
