initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.47362, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.54321, step_acc: 3.48835, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.54224, step_acc: 3.48340, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.54263, step_acc: 3.48884, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.54216, step_acc: 3.48679, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.54244, step_acc: 3.48967, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.54210, step_acc: 3.48784, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.54226, step_acc: 3.48615, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.54247, step_acc: 3.48869, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.54231, step_acc: 3.48828, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.54216, step_acc: 3.49220, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.54206, step_acc: 3.48892, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.54209, step_acc: 3.49736, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.54169, step_acc: 3.49675, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.54172, step_acc: 3.49501, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.54172, step_acc: 3.49899, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.54150, step_acc: 3.50345, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.54111, step_acc: 3.51284, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.54037, step_acc: 3.52273, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.53952, step_acc: 3.53497, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.53852, step_acc: 3.54505, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.53757, step_acc: 3.55936, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.53625, step_acc: 3.56838, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.53525, step_acc: 3.57726, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.53417, step_acc: 3.58303, grid_scale: 1 / 5, strokes: 1 / 9
