initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.27951, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.63305, step_acc: 3.28983, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.63185, step_acc: 3.31666, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.62969, step_acc: 3.33477, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.62809, step_acc: 3.33873, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.62751, step_acc: 3.35837, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.62567, step_acc: 3.36700, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.62489, step_acc: 3.37667, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.62380, step_acc: 3.38967, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.62252, step_acc: 3.39774, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.62144, step_acc: 3.41215, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.62013, step_acc: 3.41462, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.61953, step_acc: 3.43002, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.61802, step_acc: 3.43847, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.61696, step_acc: 3.44520, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.61595, step_acc: 3.45745, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.61472, step_acc: 3.46864, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.61327, step_acc: 3.48619, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.61119, step_acc: 3.49875, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.60991, step_acc: 3.50711, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.60879, step_acc: 3.51446, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.60779, step_acc: 3.52386, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.60685, step_acc: 3.53241, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.60574, step_acc: 3.54326, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.60453, step_acc: 3.55605, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.60297, step_acc: 3.56768, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.60163, step_acc: 3.57782, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.60033, step_acc: 3.59310, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.59871, step_acc: 3.60693, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.59692, step_acc: 3.62623, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.59482, step_acc: 3.64946, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.59232, step_acc: 3.65708, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.59143, step_acc: 3.67728, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.58901, step_acc: 3.68789, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.58782, step_acc: 3.69237, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.58687, step_acc: 3.70234, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.58601, step_acc: 3.71369, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.58429, step_acc: 3.72715, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.58296, step_acc: 3.73552, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.58187, step_acc: 3.74622, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.58058, step_acc: 3.75973, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.57879, step_acc: 3.77370, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.57704, step_acc: 3.78655, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.57563, step_acc: 3.79571, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.57453, step_acc: 3.80966, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.57311, step_acc: 3.82237, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.57174, step_acc: 3.83844, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.57020, step_acc: 3.85387, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.56866, step_acc: 3.86374, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.56758, step_acc: 3.87175, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.56665, step_acc: 3.88061, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.56561, step_acc: 3.90226, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.56345, step_acc: 3.92207, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.56146, step_acc: 3.93577, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.56006, step_acc: 3.95238, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.55846, step_acc: 3.96863, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.55640, step_acc: 3.99525, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.55379, step_acc: 4.02887, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.55062, step_acc: 4.07449, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.54616, step_acc: 4.10858, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.54253, step_acc: 4.15974, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.53818, step_acc: 4.21835, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.53304, step_acc: 4.26554, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.52857, step_acc: 4.32121, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.52344, step_acc: 4.36526, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.51910, step_acc: 4.40095, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.51579, step_acc: 4.42759, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.51295, step_acc: 4.45577, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.51047, step_acc: 4.47621, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.50814, step_acc: 4.49779, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.50589, step_acc: 4.51301, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.50408, step_acc: 4.52270, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.50268, step_acc: 4.54558, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.50062, step_acc: 4.57649, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.49818, step_acc: 4.59836, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.49592, step_acc: 4.63408, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.49319, step_acc: 4.67555, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.48985, step_acc: 4.74037, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.48510, step_acc: 4.78864, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.48110, step_acc: 4.84626, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.47656, step_acc: 4.88903, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.47306, step_acc: 4.92336, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.47018, step_acc: 4.95886, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.46731, step_acc: 4.98769, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.46471, step_acc: 5.01963, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.46188, step_acc: 5.05073, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.45956, step_acc: 5.06838, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.45779, step_acc: 5.08723, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.45626, step_acc: 5.11109, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.45444, step_acc: 5.13454, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.45253, step_acc: 5.15754, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.45059, step_acc: 5.17768, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.44884, step_acc: 5.20215, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.44689, step_acc: 5.22871, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.44477, step_acc: 5.25779, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.44303, step_acc: 5.29087, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.44102, step_acc: 5.31664, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.43909, step_acc: 5.33889, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.43736, step_acc: 5.35668, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.43593, step_acc: 5.39055, grid_scale: 1 / 5, strokes: 2 / 9
