initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 9.78846, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.16614, step_acc: 9.82814, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.16486, step_acc: 9.88976, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.16345, step_acc: 9.95158, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.16184, step_acc: 9.98647, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.16102, step_acc: 10.02683, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.15997, step_acc: 10.05779, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.15896, step_acc: 10.08663, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.15832, step_acc: 10.16875, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.15650, step_acc: 10.14498, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.15665, step_acc: 10.21980, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.15484, step_acc: 10.26432, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.15374, step_acc: 10.34056, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.15209, step_acc: 10.39982, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.15076, step_acc: 10.43481, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.14990, step_acc: 10.45650, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.14929, step_acc: 10.47257, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.14892, step_acc: 10.48695, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.14837, step_acc: 10.51501, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.14746, step_acc: 10.52718, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.14699, step_acc: 10.53537, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.14684, step_acc: 10.53411, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.14676, step_acc: 10.54163, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.14680, step_acc: 10.55034, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.14648, step_acc: 10.56997, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.14605, step_acc: 10.58203, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.14569, step_acc: 10.58373, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.14549, step_acc: 10.59875, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.14531, step_acc: 10.60423, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.14499, step_acc: 10.61319, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.14470, step_acc: 10.61780, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.14456, step_acc: 10.62272, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.14444, step_acc: 10.62955, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.14420, step_acc: 10.63783, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.14407, step_acc: 10.62623, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.14436, step_acc: 10.64036, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.14405, step_acc: 10.62720, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.14431, step_acc: 10.64437, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.14397, step_acc: 10.63591, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.14404, step_acc: 10.63688, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.14426, step_acc: 10.62866, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.14422, step_acc: 10.64616, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.14391, step_acc: 10.64001, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.14392, step_acc: 10.64231, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.14406, step_acc: 10.63309, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.14411, step_acc: 10.64826, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.14377, step_acc: 10.64258, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.14385, step_acc: 10.64295, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.14401, step_acc: 10.64442, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.14386, step_acc: 10.65033, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.14378, step_acc: 10.64792, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.14378, step_acc: 10.65012, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.14377, step_acc: 10.64302, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.14389, step_acc: 10.65067, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.14374, step_acc: 10.65275, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.14366, step_acc: 10.62606, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.14629, step_acc: 10.63331, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.14571, step_acc: 10.65368, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.14540, step_acc: 10.65877, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.14459, step_acc: 10.64134, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.14454, step_acc: 10.65311, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.14425, step_acc: 10.65572, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.14430, step_acc: 10.66375, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.14438, step_acc: 10.66796, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.14420, step_acc: 10.63959, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.14483, step_acc: 10.66316, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.14402, step_acc: 10.67221, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.14404, step_acc: 10.65841, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.14420, step_acc: 10.67171, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.14427, step_acc: 10.66064, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.14408, step_acc: 10.67471, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.14400, step_acc: 10.66251, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.14406, step_acc: 10.67579, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.14386, step_acc: 10.65917, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.14405, step_acc: 10.67961, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.14375, step_acc: 10.66631, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.14388, step_acc: 10.67470, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.14381, step_acc: 10.67583, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.14373, step_acc: 10.67807, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.14366, step_acc: 10.67802, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.14383, step_acc: 10.67712, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.14371, step_acc: 10.67774, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.14376, step_acc: 10.67752, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.14364, step_acc: 10.68038, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.14390, step_acc: 10.67820, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.14371, step_acc: 10.68133, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.14373, step_acc: 10.67250, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.14383, step_acc: 10.67552, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.14389, step_acc: 10.67013, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.14390, step_acc: 10.67388, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.14396, step_acc: 10.67727, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.14362, step_acc: 10.68298, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.14371, step_acc: 10.67708, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.14364, step_acc: 10.68131, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.14373, step_acc: 10.67603, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.14374, step_acc: 10.67624, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.14387, step_acc: 10.67886, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.14379, step_acc: 10.67655, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.14382, step_acc: 10.67885, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.14362, step_acc: 10.68448, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.14363, step_acc: 10.68194, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.14366, step_acc: 10.68280, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.14368, step_acc: 10.68097, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.14358, step_acc: 10.68127, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.14367, step_acc: 10.68215, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.14360, step_acc: 10.68045, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.14367, step_acc: 10.68428, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.14356, step_acc: 10.68092, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.14355, step_acc: 10.68293, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.14355, step_acc: 10.67967, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.14358, step_acc: 10.63298, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.14568, step_acc: 10.65849, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.14512, step_acc: 10.65565, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.14490, step_acc: 10.66334, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.14477, step_acc: 10.66199, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 115, G_loss: 0.14485, step_acc: 10.66057, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 116, G_loss: 0.14489, step_acc: 10.67142, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 117, G_loss: 0.14468, step_acc: 10.66742, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 118, G_loss: 0.14473, step_acc: 10.67353, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 119, G_loss: 0.14467, step_acc: 10.66727, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 120, G_loss: 0.14475, step_acc: 10.66977, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 121, G_loss: 0.14464, step_acc: 10.67357, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 122, G_loss: 0.14458, step_acc: 10.67266, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 123, G_loss: 0.14460, step_acc: 10.67995, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 124, G_loss: 0.14431, step_acc: 10.68472, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 125, G_loss: 0.14438, step_acc: 10.66155, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 126, G_loss: 0.14450, step_acc: 10.66411, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 127, G_loss: 0.14472, step_acc: 10.67959, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 128, G_loss: 0.14423, step_acc: 10.68736, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 129, G_loss: 0.14427, step_acc: 10.68651, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 130, G_loss: 0.14425, step_acc: 10.68431, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 131, G_loss: 0.14428, step_acc: 10.68359, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 132, G_loss: 0.14429, step_acc: 10.67715, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 133, G_loss: 0.14461, step_acc: 10.68560, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 134, G_loss: 0.14427, step_acc: 10.68639, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 135, G_loss: 0.14421, step_acc: 10.68903, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 136, G_loss: 0.14427, step_acc: 10.68232, grid_scale: 1 / 5, strokes: 3 / 9
