initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 2.23694, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.71804, step_acc: 2.25331, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.71689, step_acc: 2.26256, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.71586, step_acc: 2.26487, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.71571, step_acc: 2.26887, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.71501, step_acc: 2.26911, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.71496, step_acc: 2.27394, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.71413, step_acc: 2.28347, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.71273, step_acc: 2.29056, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.71184, step_acc: 2.31222, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.70925, step_acc: 2.32630, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.70753, step_acc: 2.34493, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.70539, step_acc: 2.36642, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.70291, step_acc: 2.38453, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.70019, step_acc: 2.39675, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.69852, step_acc: 2.40850, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.69698, step_acc: 2.41707, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.69569, step_acc: 2.42403, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.69460, step_acc: 2.43792, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.69275, step_acc: 2.44683, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.69143, step_acc: 2.45093, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.69088, step_acc: 2.45480, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.68987, step_acc: 2.46050, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.68894, step_acc: 2.46877, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.68792, step_acc: 2.47978, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.68657, step_acc: 2.49081, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.68525, step_acc: 2.49641, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.68434, step_acc: 2.50501, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.68331, step_acc: 2.51460, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.68214, step_acc: 2.52332, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.68089, step_acc: 2.53522, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.67897, step_acc: 2.55021, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.67682, step_acc: 2.55250, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.67610, step_acc: 2.56815, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.67401, step_acc: 2.57507, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.67256, step_acc: 2.57870, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.67150, step_acc: 2.58907, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.67020, step_acc: 2.59963, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.66862, step_acc: 2.60629, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.66751, step_acc: 2.61176, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.66658, step_acc: 2.61556, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.66598, step_acc: 2.61521, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.66564, step_acc: 2.61934, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.66503, step_acc: 2.62184, grid_scale: 1 / 5, strokes: 1 / 9
