initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 0.65799, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.90926, step_acc: 0.66409, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.90748, step_acc: 0.66324, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.90657, step_acc: 0.67612, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.90491, step_acc: 0.68842, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.90295, step_acc: 0.69766, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.90110, step_acc: 0.70950, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.89870, step_acc: 0.71989, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.89678, step_acc: 0.72388, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.89550, step_acc: 0.72960, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.89438, step_acc: 0.73272, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.89359, step_acc: 0.73536, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.89271, step_acc: 0.74063, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.89245, step_acc: 0.74240, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.89117, step_acc: 0.75125, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.88992, step_acc: 0.76107, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.88766, step_acc: 0.78382, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.88477, step_acc: 0.78841, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.88377, step_acc: 0.79240, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.88277, step_acc: 0.80608, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.88066, step_acc: 0.82002, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.87819, step_acc: 0.82788, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.87637, step_acc: 0.83736, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.87474, step_acc: 0.84442, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.87297, step_acc: 0.84839, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.87221, step_acc: 0.85116, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.87125, step_acc: 0.85793, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.87009, step_acc: 0.86218, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.86931, step_acc: 0.87174, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.86777, step_acc: 0.88268, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.86612, step_acc: 0.88853, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.86442, step_acc: 0.89482, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.86290, step_acc: 0.91027, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.86004, step_acc: 0.92963, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.85595, step_acc: 0.93932, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.85363, step_acc: 0.94787, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.85168, step_acc: 0.95708, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.85016, step_acc: 0.96897, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.84804, step_acc: 0.98887, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.84419, step_acc: 0.99720, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.84208, step_acc: 1.00710, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.83986, step_acc: 1.01751, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.83777, step_acc: 1.02227, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.83640, step_acc: 1.02914, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.83518, step_acc: 1.03251, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.83414, step_acc: 1.03432, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.83343, step_acc: 1.04144, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.83226, step_acc: 1.05154, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.83072, step_acc: 1.06458, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.82866, step_acc: 1.07454, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.82682, step_acc: 1.07970, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.82557, step_acc: 1.08514, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.82450, step_acc: 1.09505, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.82309, step_acc: 1.10287, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.82157, step_acc: 1.11040, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.82031, step_acc: 1.16530, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.81169, step_acc: 1.17954, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.80832, step_acc: 1.22868, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.80162, step_acc: 1.25930, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.79613, step_acc: 1.29137, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.79098, step_acc: 1.30821, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.78757, step_acc: 1.32495, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.78421, step_acc: 1.35198, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.77986, step_acc: 1.37320, grid_scale: 1 / 5, strokes: 2 / 9
