initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 1.06888, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.85078, step_acc: 1.10062, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.84606, step_acc: 1.11341, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.84402, step_acc: 1.13053, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.84093, step_acc: 1.14979, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.83823, step_acc: 1.17582, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.83411, step_acc: 1.18083, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.83242, step_acc: 1.19762, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.82968, step_acc: 1.20533, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.82799, step_acc: 1.22011, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.82551, step_acc: 1.24251, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.82206, step_acc: 1.26265, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.81855, step_acc: 1.28163, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.81553, step_acc: 1.29804, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.81275, step_acc: 1.31156, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.81056, step_acc: 1.32232, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.80852, step_acc: 1.33139, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.80677, step_acc: 1.34074, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.80501, step_acc: 1.35721, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.80257, step_acc: 1.37025, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.80056, step_acc: 1.37795, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.79911, step_acc: 1.38540, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.79772, step_acc: 1.38996, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.79655, step_acc: 1.39629, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.79577, step_acc: 1.40776, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.79385, step_acc: 1.42384, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.79166, step_acc: 1.43415, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.79006, step_acc: 1.44571, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.78818, step_acc: 1.45707, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.78625, step_acc: 1.46668, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.78461, step_acc: 1.47471, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.78290, step_acc: 1.48738, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.78089, step_acc: 1.49661, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.77937, step_acc: 1.50609, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.77748, step_acc: 1.51288, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.77610, step_acc: 1.52238, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.77459, step_acc: 1.53236, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.77274, step_acc: 1.54429, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.77086, step_acc: 1.55256, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.76934, step_acc: 1.56246, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.76775, step_acc: 1.56843, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.76660, step_acc: 1.57802, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.76537, step_acc: 1.58401, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.76430, step_acc: 1.58920, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.76336, step_acc: 1.59422, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.76251, step_acc: 1.59881, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.76163, step_acc: 1.60342, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.76071, step_acc: 1.60561, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.76010, step_acc: 1.60866, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.75947, step_acc: 1.61100, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.75888, step_acc: 1.61423, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.75831, step_acc: 1.61649, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.75774, step_acc: 1.62050, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.75709, step_acc: 1.62619, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.75628, step_acc: 1.63544, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.75514, step_acc: 1.65753, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.75107, step_acc: 1.68987, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.74647, step_acc: 1.72096, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.74246, step_acc: 1.74537, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.73919, step_acc: 1.77458, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.73475, step_acc: 1.79999, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.73113, step_acc: 1.82802, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.72687, step_acc: 1.85058, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.72324, step_acc: 1.87340, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.71947, step_acc: 1.89409, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.71694, step_acc: 1.89989, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.71542, step_acc: 1.91365, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.71298, step_acc: 1.93218, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.71064, step_acc: 1.94574, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.70891, step_acc: 1.96008, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.70636, step_acc: 1.98046, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.70327, step_acc: 1.99741, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.70033, step_acc: 2.00890, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.69854, step_acc: 2.02244, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.69642, step_acc: 2.03619, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.69412, step_acc: 2.06351, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.69082, step_acc: 2.07375, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.68900, step_acc: 2.08246, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.68718, step_acc: 2.09701, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.68494, step_acc: 2.10831, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.68296, step_acc: 2.12195, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.68074, step_acc: 2.13122, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.67856, step_acc: 2.15059, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.67575, step_acc: 2.17905, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.67179, step_acc: 2.21367, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.66767, step_acc: 2.25203, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.66287, step_acc: 2.27820, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.65885, step_acc: 2.31606, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.65397, step_acc: 2.34876, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.64950, step_acc: 2.37589, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.64565, step_acc: 2.41228, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.64116, step_acc: 2.47374, grid_scale: 1 / 5, strokes: 2 / 9
