initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 4.95691, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.49345, step_acc: 4.99296, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.49125, step_acc: 5.00032, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.49062, step_acc: 5.00628, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.49001, step_acc: 5.02503, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.48863, step_acc: 5.03506, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.48768, step_acc: 5.04641, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.48673, step_acc: 5.05624, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.48579, step_acc: 5.06005, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.48537, step_acc: 5.06700, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.48445, step_acc: 5.08298, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.48345, step_acc: 5.09355, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.48240, step_acc: 5.10796, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.48111, step_acc: 5.11320, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.48035, step_acc: 5.12359, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.47944, step_acc: 5.13711, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.47840, step_acc: 5.14673, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.47744, step_acc: 5.17294, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.47541, step_acc: 5.18453, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.47382, step_acc: 5.19665, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.47325, step_acc: 5.20666, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.47195, step_acc: 5.21076, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.47140, step_acc: 5.22216, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.47046, step_acc: 5.23255, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.46968, step_acc: 5.25202, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.46810, step_acc: 5.26685, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.46715, step_acc: 5.27779, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.46627, step_acc: 5.27887, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.46620, step_acc: 5.27909, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.46584, step_acc: 5.28821, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.46517, step_acc: 5.29899, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.46462, step_acc: 5.31424, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.46379, step_acc: 5.33401, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.46264, step_acc: 5.35689, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.46128, step_acc: 5.37479, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.46014, step_acc: 5.40180, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.45808, step_acc: 5.42881, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.45608, step_acc: 5.43999, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.45504, step_acc: 5.44871, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.45421, step_acc: 5.47163, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.45250, step_acc: 5.48351, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.45148, step_acc: 5.49396, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.45037, step_acc: 5.50444, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.44926, step_acc: 5.52194, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.44771, step_acc: 5.54678, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.44569, step_acc: 5.56272, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.44428, step_acc: 5.58804, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.44240, step_acc: 5.60275, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.44097, step_acc: 5.61540, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.43992, step_acc: 5.62634, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.43888, step_acc: 5.65206, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.43672, step_acc: 5.67097, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.43529, step_acc: 5.68990, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.43403, step_acc: 5.69973, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.43309, step_acc: 5.71549, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.43206, step_acc: 5.72263, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.43145, step_acc: 5.71062, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.43196, step_acc: 5.74419, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.42960, step_acc: 5.74587, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.42942, step_acc: 5.77891, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.42702, step_acc: 5.79998, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.42578, step_acc: 5.81968, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.42420, step_acc: 5.84602, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.42248, step_acc: 5.87570, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.42048, step_acc: 5.89920, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.41890, step_acc: 5.91742, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.41745, step_acc: 5.92749, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.41704, step_acc: 5.95592, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.41503, step_acc: 5.98979, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.41263, step_acc: 6.00323, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.41177, step_acc: 6.05930, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.40881, step_acc: 6.07730, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.40715, step_acc: 6.11044, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.40561, step_acc: 6.12687, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.40422, step_acc: 6.14971, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.40285, step_acc: 6.16503, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.40159, step_acc: 6.17386, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.40095, step_acc: 6.18082, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.40030, step_acc: 6.20726, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.39900, step_acc: 6.22506, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.39801, step_acc: 6.24663, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.39706, step_acc: 6.26094, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.39639, step_acc: 6.27103, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.39566, step_acc: 6.28741, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.39481, step_acc: 6.30954, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.39379, step_acc: 6.32348, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.39282, step_acc: 6.34935, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.39118, step_acc: 6.38088, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.38922, step_acc: 6.41527, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.38691, step_acc: 6.46586, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.38364, step_acc: 6.47291, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.38242, step_acc: 6.50688, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.38116, step_acc: 6.52357, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.38016, step_acc: 6.53420, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.37943, step_acc: 6.54821, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.37855, step_acc: 6.55204, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.37816, step_acc: 6.56295, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.37773, step_acc: 6.58233, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.37647, step_acc: 6.60659, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.37527, step_acc: 6.60697, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.37481, step_acc: 6.62931, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.37382, step_acc: 6.63246, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.37333, step_acc: 6.64771, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.37284, step_acc: 6.65264, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.37228, step_acc: 6.66872, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.37135, step_acc: 6.71032, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.36919, step_acc: 6.75552, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.36738, step_acc: 6.76894, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.36645, step_acc: 6.78375, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.36585, step_acc: 6.79065, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.36525, step_acc: 6.72712, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.36649, step_acc: 6.82998, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.36216, step_acc: 6.89720, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.35942, step_acc: 6.97540, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.35595, step_acc: 7.02544, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 115, G_loss: 0.35380, step_acc: 7.03733, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 116, G_loss: 0.35299, step_acc: 7.05999, grid_scale: 1 / 5, strokes: 3 / 9
