initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 2.38600, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.69719, step_acc: 2.38957, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.69611, step_acc: 2.38964, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.69605, step_acc: 2.41432, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.69341, step_acc: 2.45412, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.69011, step_acc: 2.46813, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.68840, step_acc: 2.48861, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.68628, step_acc: 2.50401, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.68456, step_acc: 2.51789, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.68302, step_acc: 2.53932, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.68080, step_acc: 2.55099, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.67927, step_acc: 2.56610, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.67756, step_acc: 2.58047, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.67575, step_acc: 2.59274, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.67415, step_acc: 2.60236, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.67271, step_acc: 2.61299, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.67138, step_acc: 2.63324, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.66939, step_acc: 2.65223, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.66713, step_acc: 2.67068, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.66504, step_acc: 2.68940, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.66302, step_acc: 2.70021, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.66156, step_acc: 2.70208, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.66057, step_acc: 2.72352, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.65861, step_acc: 2.73307, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.65700, step_acc: 2.75516, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.65489, step_acc: 2.78250, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.65197, step_acc: 2.79845, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.65001, step_acc: 2.81315, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.64824, step_acc: 2.82798, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.64633, step_acc: 2.84066, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.64458, step_acc: 2.85349, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.64269, step_acc: 2.86696, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.64109, step_acc: 2.87600, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.63964, step_acc: 2.88564, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.63833, step_acc: 2.89556, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.63705, step_acc: 2.90563, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.63588, step_acc: 2.92417, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.63429, step_acc: 2.93475, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.63277, step_acc: 2.96713, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.62981, step_acc: 2.98331, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.62788, step_acc: 3.00038, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.62590, step_acc: 3.01906, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.62368, step_acc: 3.03613, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.62158, step_acc: 3.05155, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.61951, step_acc: 3.07266, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.61702, step_acc: 3.11337, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.61333, step_acc: 3.15244, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.60928, step_acc: 3.17533, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.60690, step_acc: 3.19668, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.60482, step_acc: 3.20892, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.60271, step_acc: 3.22690, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.60116, step_acc: 3.24060, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.59915, step_acc: 3.25211, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.59732, step_acc: 3.26394, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.59602, step_acc: 3.27361, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.59481, step_acc: 3.30959, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.59085, step_acc: 3.33969, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.58806, step_acc: 3.37911, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.58517, step_acc: 3.40029, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.58262, step_acc: 3.42757, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.57966, step_acc: 3.45740, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.57649, step_acc: 3.48916, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.57353, step_acc: 3.50824, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.57131, step_acc: 3.54616, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.56790, step_acc: 3.57514, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.56484, step_acc: 3.59953, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.56224, step_acc: 3.62798, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.55918, step_acc: 3.66745, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.55567, step_acc: 3.68671, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.55276, step_acc: 3.71216, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.55049, step_acc: 3.73673, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.54792, step_acc: 3.76177, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.54545, step_acc: 3.78379, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.54219, step_acc: 3.80618, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.54049, step_acc: 3.82262, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.53887, step_acc: 3.83908, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.53744, step_acc: 3.85539, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.53556, step_acc: 3.87652, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.53339, step_acc: 3.89919, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.53153, step_acc: 3.92479, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.52945, step_acc: 3.96317, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.52630, step_acc: 3.98452, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.52446, step_acc: 3.99987, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.52254, step_acc: 4.02573, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.52021, step_acc: 4.05528, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.51766, step_acc: 4.08361, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.51540, step_acc: 4.10747, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.51322, step_acc: 4.12892, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.51109, step_acc: 4.15262, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.50896, step_acc: 4.17996, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.50670, step_acc: 4.21557, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.50402, step_acc: 4.24246, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.50200, step_acc: 4.26353, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.50035, step_acc: 4.28361, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.49869, step_acc: 4.28978, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.49768, step_acc: 4.31202, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.49604, step_acc: 4.33963, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.49406, step_acc: 4.38008, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.49100, step_acc: 4.41111, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.48854, step_acc: 4.43572, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.48603, step_acc: 4.47108, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.48328, step_acc: 4.50986, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.47987, step_acc: 4.53360, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.47767, step_acc: 4.55593, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.47554, step_acc: 4.58786, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.47258, step_acc: 4.62830, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.46910, step_acc: 4.66335, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.46572, step_acc: 4.68366, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.46326, step_acc: 4.70765, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.46073, step_acc: 4.74262, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.45812, step_acc: 4.87402, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.44938, step_acc: 4.94819, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.44484, step_acc: 5.01874, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.43878, step_acc: 5.08117, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.43449, step_acc: 5.11418, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 115, G_loss: 0.43128, step_acc: 5.16611, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 116, G_loss: 0.42775, step_acc: 5.21326, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 117, G_loss: 0.42451, step_acc: 5.26072, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 118, G_loss: 0.42081, step_acc: 5.30037, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 119, G_loss: 0.41746, step_acc: 5.36944, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 120, G_loss: 0.41356, step_acc: 5.42267, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 121, G_loss: 0.40946, step_acc: 5.47827, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 122, G_loss: 0.40596, step_acc: 5.53328, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 123, G_loss: 0.40232, step_acc: 5.58907, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 124, G_loss: 0.39858, step_acc: 5.65248, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 125, G_loss: 0.39439, step_acc: 5.68989, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 126, G_loss: 0.39131, step_acc: 5.73111, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 127, G_loss: 0.38843, step_acc: 5.76673, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 128, G_loss: 0.38613, step_acc: 5.79364, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 129, G_loss: 0.38399, step_acc: 5.81719, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 130, G_loss: 0.38234, step_acc: 5.83898, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 131, G_loss: 0.38078, step_acc: 5.85757, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 132, G_loss: 0.37928, step_acc: 5.92610, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 133, G_loss: 0.37591, step_acc: 5.94742, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 134, G_loss: 0.37436, step_acc: 5.96346, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 135, G_loss: 0.37297, step_acc: 5.97934, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 136, G_loss: 0.37182, step_acc: 6.00590, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 137, G_loss: 0.36979, step_acc: 6.03416, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 138, G_loss: 0.36801, step_acc: 6.11486, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 139, G_loss: 0.36427, step_acc: 6.14882, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 140, G_loss: 0.36234, step_acc: 6.18897, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 141, G_loss: 0.36006, step_acc: 6.24633, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 142, G_loss: 0.35719, step_acc: 6.28350, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 143, G_loss: 0.35521, step_acc: 6.31694, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 144, G_loss: 0.35345, step_acc: 6.34550, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 145, G_loss: 0.35199, step_acc: 6.38192, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 146, G_loss: 0.35000, step_acc: 6.41010, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 147, G_loss: 0.34821, step_acc: 6.44464, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 148, G_loss: 0.34708, step_acc: 6.48774, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 149, G_loss: 0.34540, step_acc: 6.51997, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 150, G_loss: 0.34416, step_acc: 6.53788, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 151, G_loss: 0.34324, step_acc: 6.55091, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 152, G_loss: 0.34248, step_acc: 6.56519, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 153, G_loss: 0.34187, step_acc: 6.57749, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 154, G_loss: 0.34120, step_acc: 6.58846, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 155, G_loss: 0.34044, step_acc: 6.60543, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 156, G_loss: 0.33942, step_acc: 6.62666, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 157, G_loss: 0.33856, step_acc: 6.65078, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 158, G_loss: 0.33746, step_acc: 6.66936, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 159, G_loss: 0.33658, step_acc: 6.68251, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 160, G_loss: 0.33584, step_acc: 6.69126, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 161, G_loss: 0.33530, step_acc: 6.69644, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 162, G_loss: 0.33492, step_acc: 6.71312, grid_scale: 1 / 5, strokes: 3 / 9
