initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 2.52552, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.68709, step_acc: 2.54496, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.68484, step_acc: 2.56021, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.68292, step_acc: 2.56616, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.68150, step_acc: 2.57519, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.68027, step_acc: 2.59539, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.67780, step_acc: 2.60930, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.67615, step_acc: 2.61571, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.67514, step_acc: 2.62140, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.67422, step_acc: 2.63068, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.67282, step_acc: 2.64170, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.67140, step_acc: 2.65091, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.66996, step_acc: 2.67136, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.66754, step_acc: 2.68087, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.66622, step_acc: 2.69831, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.66455, step_acc: 2.71820, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.66273, step_acc: 2.73918, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.66067, step_acc: 2.77027, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.65745, step_acc: 2.79654, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.65470, step_acc: 2.82477, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.65164, step_acc: 2.84507, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.64936, step_acc: 2.86402, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.64722, step_acc: 2.88280, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.64515, step_acc: 2.90480, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.64253, step_acc: 2.91420, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.64110, step_acc: 2.92451, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.63994, step_acc: 2.94545, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.63768, step_acc: 2.97400, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.63449, step_acc: 2.98833, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.63255, step_acc: 3.00462, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.63056, step_acc: 3.02870, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.62828, step_acc: 3.03999, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.62681, step_acc: 3.05783, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.62455, step_acc: 3.06718, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.62282, step_acc: 3.08835, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.62088, step_acc: 3.09930, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.61948, step_acc: 3.11382, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.61796, step_acc: 3.13035, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.61616, step_acc: 3.14919, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.61402, step_acc: 3.16688, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.61218, step_acc: 3.17967, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.61043, step_acc: 3.19850, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.60848, step_acc: 3.20977, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.60707, step_acc: 3.21821, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.60592, step_acc: 3.23275, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.60448, step_acc: 3.24369, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.60326, step_acc: 3.25672, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.60189, step_acc: 3.27170, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.60016, step_acc: 3.28769, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.59859, step_acc: 3.30781, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.59638, step_acc: 3.33699, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.59357, step_acc: 3.36016, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.59137, step_acc: 3.37581, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.58962, step_acc: 3.39005, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.58799, step_acc: 3.40881, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.58603, step_acc: 3.43993, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.58242, step_acc: 3.45435, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.58061, step_acc: 3.47779, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.57812, step_acc: 3.50764, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.57490, step_acc: 3.54587, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.57105, step_acc: 3.58969, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.56669, step_acc: 3.63729, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.56202, step_acc: 3.67323, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.55838, step_acc: 3.70407, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.55515, step_acc: 3.73663, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.55183, step_acc: 3.76652, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.54908, step_acc: 3.79087, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.54624, step_acc: 3.81999, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.54353, step_acc: 3.84144, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.54122, step_acc: 3.85368, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.53931, step_acc: 3.87655, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.53735, step_acc: 3.89214, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.53536, step_acc: 3.90763, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.53344, step_acc: 3.92326, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.53179, step_acc: 3.93966, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.52996, step_acc: 3.95889, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.52755, step_acc: 3.98514, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.52516, step_acc: 4.01928, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.52216, step_acc: 4.07270, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.51794, step_acc: 4.08991, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.51615, step_acc: 4.11161, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.51426, step_acc: 4.12701, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.51270, step_acc: 4.15296, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.51060, step_acc: 4.19149, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.50767, step_acc: 4.22284, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.50503, step_acc: 4.24624, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.50286, step_acc: 4.26323, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.50131, step_acc: 4.28069, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.49963, step_acc: 4.30740, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.49726, step_acc: 4.33992, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.49449, step_acc: 4.38452, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.49102, step_acc: 4.41532, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.48810, step_acc: 4.43471, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.48577, step_acc: 4.45703, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.48354, step_acc: 4.48811, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.48097, step_acc: 4.50978, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.47851, step_acc: 4.53426, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.47623, step_acc: 4.55907, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.47405, step_acc: 4.58237, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.47200, step_acc: 4.60714, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.46977, step_acc: 4.63430, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.46751, step_acc: 4.66808, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.46479, step_acc: 4.69274, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.46286, step_acc: 4.72288, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.46083, step_acc: 4.75041, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.45887, step_acc: 4.79252, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.45605, step_acc: 4.85161, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.45230, step_acc: 4.90789, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.44830, step_acc: 4.99011, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.44311, step_acc: 5.07491, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.43758, step_acc: 5.12717, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.43117, step_acc: 5.26163, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.42251, step_acc: 5.42455, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.41344, step_acc: 5.51953, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.40583, step_acc: 5.69346, grid_scale: 1 / 5, strokes: 3 / 9
