initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 4.22472, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.55871, step_acc: 4.26070, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.55617, step_acc: 4.27290, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.55495, step_acc: 4.28953, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.55373, step_acc: 4.30391, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.55238, step_acc: 4.31881, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.55088, step_acc: 4.32846, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.55008, step_acc: 4.33341, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.54883, step_acc: 4.33673, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.54811, step_acc: 4.34866, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.54720, step_acc: 4.36932, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.54544, step_acc: 4.39332, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.54332, step_acc: 4.40983, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.54155, step_acc: 4.43058, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.53991, step_acc: 4.44089, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.53884, step_acc: 4.45520, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.53742, step_acc: 4.47233, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.53585, step_acc: 4.48672, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.53454, step_acc: 4.49594, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.53337, step_acc: 4.51061, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.53207, step_acc: 4.52169, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.53105, step_acc: 4.53165, grid_scale: 1 / 5, strokes: 1 / 9
