initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 2.48377, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.72839, step_acc: 2.48253, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.72794, step_acc: 2.49773, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.72623, step_acc: 2.51122, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.72454, step_acc: 2.54578, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.72076, step_acc: 2.56399, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.71856, step_acc: 2.56980, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.71715, step_acc: 2.58074, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.71560, step_acc: 2.58702, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.71449, step_acc: 2.59577, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.71337, step_acc: 2.60072, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.71243, step_acc: 2.60886, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.71119, step_acc: 2.63218, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.70859, step_acc: 2.65326, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.70618, step_acc: 2.66925, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.70403, step_acc: 2.68205, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.70243, step_acc: 2.68893, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.70120, step_acc: 2.70927, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.69898, step_acc: 2.71687, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.69751, step_acc: 2.73357, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.69558, step_acc: 2.74128, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.69419, step_acc: 2.75053, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.69281, step_acc: 2.76418, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.69097, step_acc: 2.77325, grid_scale: 1 / 5, strokes: 1 / 9
