initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 4.37711, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.54247, step_acc: 4.38024, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.54186, step_acc: 4.37570, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.54198, step_acc: 4.39865, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.54020, step_acc: 4.40217, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.53941, step_acc: 4.41753, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.53817, step_acc: 4.41703, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.53796, step_acc: 4.41737, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.53783, step_acc: 4.41912, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.53754, step_acc: 4.42906, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.53682, step_acc: 4.41621, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.53756, step_acc: 4.41835, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.53728, step_acc: 4.42737, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.53673, step_acc: 4.42411, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.53674, step_acc: 4.42632, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.53704, step_acc: 4.42655, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.53694, step_acc: 4.42915, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.53671, step_acc: 4.45695, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.53444, step_acc: 4.46536, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.53345, step_acc: 4.46931, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.53269, step_acc: 4.47237, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.53253, step_acc: 4.47380, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.53221, step_acc: 4.48131, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.53138, step_acc: 4.47904, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.53144, step_acc: 4.48365, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.53087, step_acc: 4.48737, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.53057, step_acc: 4.49173, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.53004, step_acc: 4.49552, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.52959, step_acc: 4.49861, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.52918, step_acc: 4.50797, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.52837, step_acc: 4.51343, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.52767, step_acc: 4.51587, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.52720, step_acc: 4.53007, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.52607, step_acc: 4.54625, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.52487, step_acc: 4.55360, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.52414, step_acc: 4.55668, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.52389, step_acc: 4.55874, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.52367, step_acc: 4.56332, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.52317, step_acc: 4.56887, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.52273, step_acc: 4.58190, grid_scale: 1 / 5, strokes: 1 / 9
