initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.32380, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.62185, step_acc: 3.35812, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.61926, step_acc: 3.35071, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.61923, step_acc: 3.36732, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.61741, step_acc: 3.38892, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.61549, step_acc: 3.40317, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.61403, step_acc: 3.42578, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.61209, step_acc: 3.42786, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.61152, step_acc: 3.45202, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.60929, step_acc: 3.47923, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.60666, step_acc: 3.50280, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.60374, step_acc: 3.52543, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.60067, step_acc: 3.54045, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.59887, step_acc: 3.55683, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.59703, step_acc: 3.57826, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.59544, step_acc: 3.58619, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.59431, step_acc: 3.60191, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.59319, step_acc: 3.63522, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.59015, step_acc: 3.64730, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.58890, step_acc: 3.65260, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.58801, step_acc: 3.65699, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.58744, step_acc: 3.66406, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.58670, step_acc: 3.68240, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.58497, step_acc: 3.71764, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.58188, step_acc: 3.74926, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.57906, step_acc: 3.77030, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.57675, step_acc: 3.80262, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.57370, step_acc: 3.83050, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.57131, step_acc: 3.85185, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.56918, step_acc: 3.86388, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.56790, step_acc: 3.87308, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.56690, step_acc: 3.88457, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.56580, step_acc: 3.89709, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.56456, step_acc: 3.90836, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.56330, step_acc: 3.91572, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.56242, step_acc: 3.92268, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.56158, step_acc: 3.92956, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.56082, step_acc: 3.93922, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.55984, step_acc: 3.95243, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.55871, step_acc: 3.95671, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.55799, step_acc: 3.96572, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.55727, step_acc: 3.96891, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.55659, step_acc: 3.97373, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.55605, step_acc: 3.97883, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.55548, step_acc: 3.98610, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.55489, step_acc: 3.98983, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.55440, step_acc: 3.99339, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.55402, step_acc: 3.99816, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.55363, step_acc: 4.00455, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.55315, step_acc: 4.01624, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.55226, step_acc: 4.02556, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.55144, step_acc: 4.03178, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.55086, step_acc: 4.03963, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.55018, step_acc: 4.04615, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.54936, step_acc: 4.05246, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.54863, step_acc: 4.03381, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.54895, step_acc: 4.07072, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.54659, step_acc: 4.09589, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.54447, step_acc: 4.11659, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.54242, step_acc: 4.14158, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.54027, step_acc: 4.15938, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.53824, step_acc: 4.19015, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.53551, step_acc: 4.21336, grid_scale: 1 / 5, strokes: 2 / 9
