initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.52904, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.53761, step_acc: 3.53361, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.53627, step_acc: 3.53770, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.53531, step_acc: 3.56608, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.53252, step_acc: 3.58253, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.53085, step_acc: 3.60012, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.52864, step_acc: 3.64922, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.52473, step_acc: 3.67088, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.52235, step_acc: 3.69094, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.52009, step_acc: 3.70278, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.51806, step_acc: 3.72046, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.51590, step_acc: 3.74686, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.51302, step_acc: 3.74983, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.51202, step_acc: 3.78203, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.50934, step_acc: 3.82187, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.50608, step_acc: 3.82833, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.50494, step_acc: 3.85508, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.50281, step_acc: 3.90401, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.49831, step_acc: 3.94418, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.49454, step_acc: 3.98939, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.49032, step_acc: 4.03675, grid_scale: 1 / 5, strokes: 1 / 9
