initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.32191, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.63024, step_acc: 3.33741, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.62844, step_acc: 3.38463, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.62429, step_acc: 3.43189, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.62010, step_acc: 3.44608, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.61822, step_acc: 3.45952, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.61663, step_acc: 3.46833, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.61553, step_acc: 3.47827, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.61435, step_acc: 3.49372, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.61281, step_acc: 3.52499, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.61023, step_acc: 3.59074, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.60487, step_acc: 3.63860, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.60031, step_acc: 3.66660, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.59673, step_acc: 3.68098, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.59490, step_acc: 3.71666, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.59120, step_acc: 3.74060, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.58855, step_acc: 3.75811, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.58658, step_acc: 3.77772, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.58453, step_acc: 3.78741, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.58347, step_acc: 3.79439, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.58284, step_acc: 3.79932, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.58231, step_acc: 3.80181, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.58182, step_acc: 3.80307, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.58146, step_acc: 3.80845, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.58111, step_acc: 3.81008, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.58078, step_acc: 3.81528, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.58047, step_acc: 3.81622, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.58014, step_acc: 3.82110, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.57981, step_acc: 3.82191, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.57957, step_acc: 3.83628, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.57788, step_acc: 3.84754, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.57668, step_acc: 3.85615, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.57597, step_acc: 3.86072, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.57550, step_acc: 3.87421, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.57406, step_acc: 3.88390, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.57311, step_acc: 3.88969, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.57243, step_acc: 3.89418, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.57204, step_acc: 3.89613, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.57168, step_acc: 3.89905, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.57135, step_acc: 3.90197, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.57108, step_acc: 3.90286, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.57076, step_acc: 3.90459, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.57051, step_acc: 3.90691, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.57026, step_acc: 3.90817, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.57001, step_acc: 3.91068, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.56977, step_acc: 3.91325, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.56952, step_acc: 3.91467, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.56930, step_acc: 3.91725, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.56906, step_acc: 3.91989, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.56888, step_acc: 3.92346, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.56861, step_acc: 3.92502, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.56841, step_acc: 3.93015, grid_scale: 1 / 5, strokes: 1 / 9
