initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 9.93656, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.16401, step_acc: 9.99512, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.16197, step_acc: 10.04275, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.16088, step_acc: 10.06321, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.15994, step_acc: 10.08651, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.15929, step_acc: 10.12970, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.15837, step_acc: 10.17199, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.15710, step_acc: 10.23093, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.15577, step_acc: 10.32092, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.15352, step_acc: 10.35580, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.15276, step_acc: 10.35391, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.15259, step_acc: 10.36500, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.15236, step_acc: 10.36749, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.15231, step_acc: 10.37209, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.15220, step_acc: 10.37205, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.15213, step_acc: 10.37743, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.15205, step_acc: 10.38067, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.15198, step_acc: 10.38483, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.15194, step_acc: 10.38286, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.15193, step_acc: 10.38347, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.15195, step_acc: 10.38438, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.15183, step_acc: 10.38833, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.15177, step_acc: 10.38708, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.15179, step_acc: 10.38801, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.15189, step_acc: 10.37750, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.15194, step_acc: 10.38811, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.15181, step_acc: 10.43291, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.15065, step_acc: 10.46268, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.14992, step_acc: 10.47082, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.14968, step_acc: 10.47301, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.14961, step_acc: 10.47349, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.14956, step_acc: 10.47958, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.14956, step_acc: 10.47887, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.14942, step_acc: 10.48135, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.14934, step_acc: 10.47503, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.14941, step_acc: 10.48209, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.14928, step_acc: 10.47646, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.14934, step_acc: 10.48130, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.14938, step_acc: 10.48567, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.14926, step_acc: 10.48285, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.14927, step_acc: 10.48016, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.14928, step_acc: 10.48646, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.14921, step_acc: 10.48435, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.14917, step_acc: 10.48233, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.14920, step_acc: 10.48379, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.14920, step_acc: 10.48133, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.14924, step_acc: 10.48672, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.14921, step_acc: 10.48496, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.14920, step_acc: 10.48531, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.14917, step_acc: 10.48668, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.14921, step_acc: 10.48573, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.14915, step_acc: 10.48748, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.14913, step_acc: 10.48803, grid_scale: 1 / 5, strokes: 1 / 9
