initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 2.23574, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.71867, step_acc: 2.24694, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.71684, step_acc: 2.26466, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.71479, step_acc: 2.26914, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.71414, step_acc: 2.26989, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.71402, step_acc: 2.27871, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.71303, step_acc: 2.30050, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.71095, step_acc: 2.32580, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.70852, step_acc: 2.33395, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.70750, step_acc: 2.34461, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.70633, step_acc: 2.35015, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.70563, step_acc: 2.35661, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.70485, step_acc: 2.37219, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.70333, step_acc: 2.38867, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.70158, step_acc: 2.40348, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.70001, step_acc: 2.41601, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.69860, step_acc: 2.42519, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.69759, step_acc: 2.43081, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.69693, step_acc: 2.43570, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.69635, step_acc: 2.44027, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.69579, step_acc: 2.44448, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.69529, step_acc: 2.44830, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.69479, step_acc: 2.45255, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.69428, step_acc: 2.45613, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.69381, step_acc: 2.45927, grid_scale: 1 / 5, strokes: 1 / 9
