initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 0.66939, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.90559, step_acc: 0.69774, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.90081, step_acc: 0.69949, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.90009, step_acc: 0.71595, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.89662, step_acc: 0.74028, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.89299, step_acc: 0.74432, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.89062, step_acc: 0.78452, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.88314, step_acc: 0.84457, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.87312, step_acc: 0.85668, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.87033, step_acc: 0.86771, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.86821, step_acc: 0.88022, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.86589, step_acc: 0.89134, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.86327, step_acc: 0.90480, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.86138, step_acc: 0.92744, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.85758, step_acc: 0.96343, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.85162, step_acc: 0.99760, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.84528, step_acc: 1.00113, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.84288, step_acc: 1.00813, grid_scale: 1 / 5, strokes: 1 / 9
