initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 0.98996, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.86286, step_acc: 1.00342, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.86124, step_acc: 1.00517, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.86089, step_acc: 1.00597, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.86065, step_acc: 1.00842, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.86024, step_acc: 1.01781, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.85862, step_acc: 1.01765, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.85840, step_acc: 1.02086, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.85813, step_acc: 1.02173, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.85778, step_acc: 1.01793, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.85792, step_acc: 1.01853, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.85768, step_acc: 1.01871, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.85762, step_acc: 1.02196, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.85711, step_acc: 1.03713, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.85527, step_acc: 1.04299, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.85424, step_acc: 1.04835, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.85287, step_acc: 1.05252, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.85221, step_acc: 1.05936, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.85097, step_acc: 1.07594, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.84840, step_acc: 1.09504, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.84529, step_acc: 1.09666, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.84392, step_acc: 1.11425, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.84138, step_acc: 1.11639, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.83969, step_acc: 1.13357, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.83646, step_acc: 1.15988, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.83290, step_acc: 1.17948, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.82924, step_acc: 1.20609, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.82482, step_acc: 1.24830, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.81864, step_acc: 1.26821, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.81461, step_acc: 1.30098, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.80962, step_acc: 1.31894, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.80667, step_acc: 1.32970, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.80500, step_acc: 1.34800, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.80247, step_acc: 1.36419, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.80002, step_acc: 1.37287, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.79805, step_acc: 1.37912, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.79649, step_acc: 1.38747, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.79479, step_acc: 1.41033, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.79129, step_acc: 1.44294, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.78682, step_acc: 1.45692, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.78423, step_acc: 1.47080, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.78188, step_acc: 1.53198, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.77376, step_acc: 1.56973, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.76834, step_acc: 1.59008, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.76493, step_acc: 1.60552, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.76166, step_acc: 1.60728, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.76035, step_acc: 1.61569, grid_scale: 1 / 5, strokes: 1 / 9
