initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 5.02275, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.48998, step_acc: 5.05227, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.48764, step_acc: 5.07395, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.48604, step_acc: 5.07973, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.48533, step_acc: 5.09934, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.48393, step_acc: 5.14193, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.48146, step_acc: 5.16750, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.47992, step_acc: 5.18182, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.47878, step_acc: 5.18917, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.47821, step_acc: 5.18942, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.47802, step_acc: 5.18189, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.47837, step_acc: 5.18931, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.47789, step_acc: 5.18785, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.47794, step_acc: 5.18698, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.47800, step_acc: 5.18993, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.47766, step_acc: 5.18913, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.47770, step_acc: 5.19206, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.47755, step_acc: 5.19175, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.47753, step_acc: 5.19240, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.47749, step_acc: 5.19263, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.47745, step_acc: 5.19273, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.47742, step_acc: 5.19303, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.47740, step_acc: 5.19263, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.47737, step_acc: 5.19224, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.47737, step_acc: 5.19117, grid_scale: 1 / 5, strokes: 1 / 9
