initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 2.39645, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.69460, step_acc: 2.40951, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.69227, step_acc: 2.40924, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.69152, step_acc: 2.41429, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.69091, step_acc: 2.44276, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.68821, step_acc: 2.47031, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.68554, step_acc: 2.49537, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.68336, step_acc: 2.51121, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.68151, step_acc: 2.54665, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.67825, step_acc: 2.59265, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.67397, step_acc: 2.61422, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.67156, step_acc: 2.65404, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.66712, step_acc: 2.68899, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.66281, step_acc: 2.71375, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.66060, step_acc: 2.72514, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.65904, step_acc: 2.73642, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.65757, step_acc: 2.74221, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.65666, step_acc: 2.74935, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.65576, step_acc: 2.75609, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.65500, step_acc: 2.76494, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.65406, step_acc: 2.77298, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.65326, step_acc: 2.77879, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.65251, step_acc: 2.78293, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.65196, step_acc: 2.78674, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.65134, step_acc: 2.79008, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.65088, step_acc: 2.79396, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.65030, step_acc: 2.79627, grid_scale: 1 / 5, strokes: 1 / 9
