initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 2.49790, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.68986, step_acc: 2.51490, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.68787, step_acc: 2.54248, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.68479, step_acc: 2.56699, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.68122, step_acc: 2.59434, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.67742, step_acc: 2.63383, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.67269, step_acc: 2.67508, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.66803, step_acc: 2.68333, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.66664, step_acc: 2.68967, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.66547, step_acc: 2.69480, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.66434, step_acc: 2.70716, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.66279, step_acc: 2.71565, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.66160, step_acc: 2.73141, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.65956, step_acc: 2.78356, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.65462, step_acc: 2.82521, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.64999, step_acc: 2.86192, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.64526, step_acc: 2.88266, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.64213, step_acc: 2.89557, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.63924, step_acc: 2.91305, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.63654, step_acc: 2.95917, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.63141, step_acc: 3.01905, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.62477, step_acc: 3.04500, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.62137, step_acc: 3.07525, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.61750, step_acc: 3.09443, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.61540, step_acc: 3.10329, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.61400, step_acc: 3.11978, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.61195, step_acc: 3.12450, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.61091, step_acc: 3.13537, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.60941, step_acc: 3.15557, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.60695, step_acc: 3.16267, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.60585, step_acc: 3.19205, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.60263, step_acc: 3.22366, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.59901, step_acc: 3.26042, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.59520, step_acc: 3.29604, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.59147, step_acc: 3.35052, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.58636, step_acc: 3.44125, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.58035, step_acc: 3.48080, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.57623, step_acc: 3.51414, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.57283, step_acc: 3.55235, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.56924, step_acc: 3.58047, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.56691, step_acc: 3.59254, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.56547, step_acc: 3.60480, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.56398, step_acc: 3.61683, grid_scale: 1 / 5, strokes: 1 / 9
