initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 4.21989, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.55995, step_acc: 4.24528, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.55795, step_acc: 4.24218, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.55764, step_acc: 4.24903, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.55749, step_acc: 4.25380, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.55681, step_acc: 4.26984, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.55554, step_acc: 4.28057, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.55451, step_acc: 4.28165, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.55374, step_acc: 4.31102, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.55150, step_acc: 4.32850, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.54924, step_acc: 4.32198, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.54851, step_acc: 4.34453, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.54593, step_acc: 4.39863, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.54097, step_acc: 4.42712, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.53760, step_acc: 4.43846, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.53650, step_acc: 4.45197, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.53511, step_acc: 4.47902, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.53265, step_acc: 4.50989, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.52946, step_acc: 4.53721, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.52648, step_acc: 4.57708, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.52237, step_acc: 4.60022, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.51914, step_acc: 4.62717, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.51589, step_acc: 4.66081, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.51256, step_acc: 4.68699, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.51004, step_acc: 4.70059, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.50858, step_acc: 4.72378, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.50659, step_acc: 4.73295, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.50555, step_acc: 4.74251, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.50450, step_acc: 4.75503, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.50286, step_acc: 4.75947, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.50212, step_acc: 4.75925, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.50164, step_acc: 4.76805, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.50095, step_acc: 4.77577, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.49980, step_acc: 4.78991, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.49899, step_acc: 4.82206, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.49593, step_acc: 4.86395, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.49264, step_acc: 4.92719, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.48813, step_acc: 4.95632, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.48540, step_acc: 4.97045, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.48375, step_acc: 4.98907, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.48222, step_acc: 5.03848, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.47856, step_acc: 5.08008, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.47537, step_acc: 5.11190, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.47271, step_acc: 5.13054, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.47103, step_acc: 5.14673, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.46942, step_acc: 5.16492, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.46774, step_acc: 5.19321, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.46536, step_acc: 5.21106, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.46380, step_acc: 5.23133, grid_scale: 1 / 5, strokes: 1 / 9
