initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 2.47160, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.72913, step_acc: 2.49130, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.72699, step_acc: 2.50408, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.72544, step_acc: 2.50526, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.72479, step_acc: 2.51192, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.72376, step_acc: 2.51399, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.72318, step_acc: 2.51535, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.72270, step_acc: 2.51559, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.72250, step_acc: 2.53691, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.72011, step_acc: 2.55825, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.71739, step_acc: 2.56773, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.71568, step_acc: 2.57049, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.71479, step_acc: 2.56858, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.71468, step_acc: 2.56858, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.71463, step_acc: 2.56831, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.71460, step_acc: 2.56845, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.71456, step_acc: 2.56792, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.71453, step_acc: 2.56845, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.71450, step_acc: 2.56822, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.71446, step_acc: 2.57661, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.71313, step_acc: 2.58865, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.71109, step_acc: 2.59768, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.71008, step_acc: 2.61607, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.70783, step_acc: 2.62048, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.70686, step_acc: 2.63342, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.70523, step_acc: 2.64974, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.70298, step_acc: 2.65307, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.70175, step_acc: 2.67229, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.69924, step_acc: 2.70883, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.69486, step_acc: 2.75356, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.68898, step_acc: 2.79268, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.68341, step_acc: 2.83024, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.67854, step_acc: 2.86244, grid_scale: 1 / 5, strokes: 1 / 9
