initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 4.31229, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.54773, step_acc: 4.34810, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.54484, step_acc: 4.34996, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.54452, step_acc: 4.35054, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.54430, step_acc: 4.35025, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.54408, step_acc: 4.35250, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.54381, step_acc: 4.36893, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.54236, step_acc: 4.38853, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.54027, step_acc: 4.39353, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.53963, step_acc: 4.39641, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.53918, step_acc: 4.39748, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.53898, step_acc: 4.39808, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.53880, step_acc: 4.39860, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.53869, step_acc: 4.39891, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.53861, step_acc: 4.39907, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.53854, step_acc: 4.39919, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.53849, step_acc: 4.39909, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.53844, step_acc: 4.39946, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.53835, step_acc: 4.40098, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.53803, step_acc: 4.40168, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.53779, step_acc: 4.40147, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.53766, step_acc: 4.40222, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.53756, step_acc: 4.40249, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.53751, step_acc: 4.40230, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.53746, step_acc: 4.40256, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.53743, step_acc: 4.40254, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.53739, step_acc: 4.40304, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.53736, step_acc: 4.40333, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.53734, step_acc: 4.40300, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.53732, step_acc: 4.40376, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.53729, step_acc: 4.40343, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.53727, step_acc: 4.40424, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.53725, step_acc: 4.40382, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.53723, step_acc: 4.40397, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.53710, step_acc: 4.40407, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.53705, step_acc: 4.40413, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.53700, step_acc: 4.40453, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.53692, step_acc: 4.40626, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.53666, step_acc: 4.40636, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.53644, step_acc: 4.41258, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.53587, step_acc: 4.41628, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.53513, step_acc: 4.41767, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.53473, step_acc: 4.43705, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.53282, step_acc: 4.46018, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.53064, step_acc: 4.47441, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.52929, step_acc: 4.48895, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.52799, step_acc: 4.50055, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.52712, step_acc: 4.50537, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.52668, step_acc: 4.50697, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.52641, step_acc: 4.50859, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.52616, step_acc: 4.51022, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.52595, step_acc: 4.51097, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.52584, step_acc: 4.51474, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.52549, step_acc: 4.52440, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.52476, step_acc: 4.53982, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.52316, step_acc: 4.55435, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.52178, step_acc: 4.58524, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.51878, step_acc: 4.60559, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.51659, step_acc: 4.62601, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.51399, step_acc: 4.66664, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.50995, step_acc: 4.71152, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.50527, step_acc: 4.75495, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.50145, step_acc: 4.78254, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.49868, step_acc: 4.80685, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.49612, step_acc: 4.81400, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.49480, step_acc: 4.82055, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.49401, step_acc: 4.83204, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.49328, step_acc: 4.84202, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.49161, step_acc: 4.85999, grid_scale: 1 / 5, strokes: 2 / 9
