initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 0, G_loss: 0.00000, step_acc: 3.28164, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 1, G_loss: 0.62626, step_acc: 3.30995, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 2, G_loss: 0.62309, step_acc: 3.31673, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 3, G_loss: 0.62206, step_acc: 3.31784, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 4, G_loss: 0.62150, step_acc: 3.32507, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 5, G_loss: 0.62055, step_acc: 3.33922, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 6, G_loss: 0.61894, step_acc: 3.34022, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 7, G_loss: 0.61875, step_acc: 3.34098, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 8, G_loss: 0.61861, step_acc: 3.34188, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 9, G_loss: 0.61833, step_acc: 3.34211, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 10, G_loss: 0.61822, step_acc: 3.34395, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 11, G_loss: 0.61781, step_acc: 3.34785, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 12, G_loss: 0.61725, step_acc: 3.35019, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 13, G_loss: 0.61692, step_acc: 3.36714, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 14, G_loss: 0.61568, step_acc: 3.37855, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 15, G_loss: 0.61467, step_acc: 3.37816, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 16, G_loss: 0.61437, step_acc: 3.38167, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 17, G_loss: 0.61424, step_acc: 3.37986, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 18, G_loss: 0.61392, step_acc: 3.38357, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 19, G_loss: 0.61371, step_acc: 3.38184, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 20, G_loss: 0.61358, step_acc: 3.38976, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 21, G_loss: 0.61306, step_acc: 3.41136, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 22, G_loss: 0.61124, step_acc: 3.41987, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 23, G_loss: 0.61064, step_acc: 3.41892, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 24, G_loss: 0.61033, step_acc: 3.41838, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 25, G_loss: 0.61026, step_acc: 3.42042, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 26, G_loss: 0.61019, step_acc: 3.42968, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 27, G_loss: 0.60864, step_acc: 3.45542, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 28, G_loss: 0.60544, step_acc: 3.46094, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 29, G_loss: 0.60431, step_acc: 3.46831, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 30, G_loss: 0.60337, step_acc: 3.47325, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 31, G_loss: 0.60243, step_acc: 3.48616, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 32, G_loss: 0.60094, step_acc: 3.49012, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 33, G_loss: 0.59967, step_acc: 3.51638, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 34, G_loss: 0.59643, step_acc: 3.53055, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 35, G_loss: 0.59431, step_acc: 3.53183, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 36, G_loss: 0.59382, step_acc: 3.55725, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 37, G_loss: 0.59137, step_acc: 3.57965, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 38, G_loss: 0.58916, step_acc: 3.59912, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 39, G_loss: 0.58758, step_acc: 3.62446, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 40, G_loss: 0.58566, step_acc: 3.64941, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 41, G_loss: 0.58317, step_acc: 3.67474, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 42, G_loss: 0.58080, step_acc: 3.71261, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 43, G_loss: 0.57733, step_acc: 3.73512, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 44, G_loss: 0.57503, step_acc: 3.74404, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 45, G_loss: 0.57385, step_acc: 3.77293, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 46, G_loss: 0.57129, step_acc: 3.79010, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 47, G_loss: 0.56953, step_acc: 3.80414, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 48, G_loss: 0.56813, step_acc: 3.81460, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 49, G_loss: 0.56687, step_acc: 3.83333, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 50, G_loss: 0.56525, step_acc: 3.86581, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 51, G_loss: 0.56270, step_acc: 3.89133, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 52, G_loss: 0.56070, step_acc: 3.90542, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 53, G_loss: 0.55934, step_acc: 3.92355, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 54, G_loss: 0.55772, step_acc: 3.95779, grid_scale: 1 / 5, strokes: 1 / 9
iteration step 55, G_loss: 0.55509, step_acc: 3.96135, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 56, G_loss: 0.55325, step_acc: 4.02164, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 57, G_loss: 0.54843, step_acc: 4.07134, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 58, G_loss: 0.54361, step_acc: 4.12810, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 59, G_loss: 0.53816, step_acc: 4.17593, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.53289, step_acc: 4.24941, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.52642, step_acc: 4.28011, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.52321, step_acc: 4.30432, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.52051, step_acc: 4.33889, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.51712, step_acc: 4.37339, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.51424, step_acc: 4.42307, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.50985, step_acc: 4.46228, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.50625, step_acc: 4.49946, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.50324, step_acc: 4.51341, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.50132, step_acc: 4.53877, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.49914, step_acc: 4.60403, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.49514, step_acc: 4.66815, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.48976, step_acc: 4.73445, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.48527, step_acc: 4.80473, grid_scale: 1 / 5, strokes: 2 / 9
