initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 4.97662, strokes: 25 / 500
iteration step 1, G_loss: 0.49091, step_psnr: 4.99462, strokes: 25 / 500
iteration step 2, G_loss: 0.48917, step_psnr: 5.00895, strokes: 25 / 500
iteration step 3, G_loss: 0.48787, step_psnr: 5.02324, strokes: 25 / 500
iteration step 4, G_loss: 0.48652, step_psnr: 5.03630, strokes: 25 / 500
iteration step 5, G_loss: 0.48533, step_psnr: 5.04951, strokes: 25 / 500
iteration step 6, G_loss: 0.48418, step_psnr: 5.06124, strokes: 25 / 500
iteration step 7, G_loss: 0.48305, step_psnr: 5.07253, strokes: 25 / 500
iteration step 8, G_loss: 0.48199, step_psnr: 5.08285, strokes: 25 / 500
iteration step 9, G_loss: 0.48103, step_psnr: 5.09395, strokes: 25 / 500
iteration step 10, G_loss: 0.48006, step_psnr: 5.10559, strokes: 25 / 500
iteration step 11, G_loss: 0.47903, step_psnr: 5.11505, strokes: 25 / 500
iteration step 12, G_loss: 0.47813, step_psnr: 5.12554, strokes: 25 / 500
iteration step 13, G_loss: 0.47722, step_psnr: 5.13640, strokes: 25 / 500
iteration step 14, G_loss: 0.47629, step_psnr: 5.14584, strokes: 25 / 500
iteration step 15, G_loss: 0.47543, step_psnr: 5.15588, strokes: 25 / 500
iteration step 16, G_loss: 0.47453, step_psnr: 5.16626, strokes: 25 / 500
iteration step 17, G_loss: 0.47366, step_psnr: 5.17805, strokes: 25 / 500
iteration step 18, G_loss: 0.47271, step_psnr: 5.19100, strokes: 25 / 500
iteration step 19, G_loss: 0.47161, step_psnr: 5.20319, strokes: 25 / 500
iteration step 20, G_loss: 0.47054, step_psnr: 5.21485, strokes: 25 / 500
iteration step 21, G_loss: 0.46956, step_psnr: 5.22690, strokes: 25 / 500
iteration step 22, G_loss: 0.46854, step_psnr: 5.23982, strokes: 25 / 500
iteration step 23, G_loss: 0.46749, step_psnr: 5.25212, strokes: 25 / 500
iteration step 24, G_loss: 0.46647, step_psnr: 5.26636, strokes: 25 / 500
iteration step 25, G_loss: 0.46533, step_psnr: 5.40024, strokes: 50 / 500
iteration step 26, G_loss: 0.45500, step_psnr: 5.44699, strokes: 50 / 500
iteration step 27, G_loss: 0.45127, step_psnr: 5.49068, strokes: 50 / 500
iteration step 28, G_loss: 0.44778, step_psnr: 5.52785, strokes: 50 / 500
iteration step 29, G_loss: 0.44475, step_psnr: 5.56193, strokes: 50 / 500
iteration step 30, G_loss: 0.44200, step_psnr: 5.59618, strokes: 50 / 500
iteration step 31, G_loss: 0.43933, step_psnr: 5.62904, strokes: 50 / 500
iteration step 32, G_loss: 0.43672, step_psnr: 5.66243, strokes: 50 / 500
iteration step 33, G_loss: 0.43419, step_psnr: 5.69346, strokes: 50 / 500
iteration step 34, G_loss: 0.43180, step_psnr: 5.72348, strokes: 50 / 500
iteration step 35, G_loss: 0.42939, step_psnr: 5.75409, strokes: 50 / 500
iteration step 36, G_loss: 0.42701, step_psnr: 5.78593, strokes: 50 / 500
iteration step 37, G_loss: 0.42458, step_psnr: 5.81769, strokes: 50 / 500
iteration step 38, G_loss: 0.42221, step_psnr: 5.84795, strokes: 50 / 500
iteration step 39, G_loss: 0.41985, step_psnr: 5.87763, strokes: 50 / 500
iteration step 40, G_loss: 0.41760, step_psnr: 5.90750, strokes: 50 / 500
iteration step 41, G_loss: 0.41533, step_psnr: 5.93753, strokes: 50 / 500
iteration step 42, G_loss: 0.41302, step_psnr: 5.96633, strokes: 50 / 500
iteration step 43, G_loss: 0.41079, step_psnr: 5.99712, strokes: 50 / 500
iteration step 44, G_loss: 0.40852, step_psnr: 6.02767, strokes: 50 / 500
iteration step 45, G_loss: 0.40621, step_psnr: 6.05836, strokes: 50 / 500
iteration step 46, G_loss: 0.40400, step_psnr: 6.08610, strokes: 50 / 500
iteration step 47, G_loss: 0.40187, step_psnr: 6.11747, strokes: 50 / 500
iteration step 48, G_loss: 0.39958, step_psnr: 6.14916, strokes: 50 / 500
iteration step 49, G_loss: 0.39727, step_psnr: 6.18335, strokes: 50 / 500
iteration step 50, G_loss: 0.39484, step_psnr: 6.33393, strokes: 75 / 500
iteration step 51, G_loss: 0.38501, step_psnr: 6.39979, strokes: 75 / 500
iteration step 52, G_loss: 0.38055, step_psnr: 6.46117, strokes: 75 / 500
iteration step 53, G_loss: 0.37641, step_psnr: 6.51597, strokes: 75 / 500
iteration step 54, G_loss: 0.37270, step_psnr: 6.57088, strokes: 75 / 500
iteration step 55, G_loss: 0.36917, step_psnr: 6.62256, strokes: 75 / 500
iteration step 56, G_loss: 0.36575, step_psnr: 6.67645, strokes: 75 / 500
iteration step 57, G_loss: 0.36228, step_psnr: 6.72693, strokes: 75 / 500
iteration step 58, G_loss: 0.35900, step_psnr: 6.77423, strokes: 75 / 500
iteration step 59, G_loss: 0.35594, step_psnr: 6.81976, strokes: 75 / 500
iteration step 60, G_loss: 0.35301, step_psnr: 6.86509, strokes: 75 / 500
iteration step 61, G_loss: 0.35016, step_psnr: 6.91086, strokes: 75 / 500
iteration step 62, G_loss: 0.34731, step_psnr: 6.95529, strokes: 75 / 500
iteration step 63, G_loss: 0.34457, step_psnr: 7.00426, strokes: 75 / 500
iteration step 64, G_loss: 0.34161, step_psnr: 7.05273, strokes: 75 / 500
iteration step 65, G_loss: 0.33875, step_psnr: 7.10120, strokes: 75 / 500
iteration step 66, G_loss: 0.33593, step_psnr: 7.14826, strokes: 75 / 500
iteration step 67, G_loss: 0.33317, step_psnr: 7.19868, strokes: 75 / 500
iteration step 68, G_loss: 0.33032, step_psnr: 7.24740, strokes: 75 / 500
iteration step 69, G_loss: 0.32751, step_psnr: 7.29811, strokes: 75 / 500
iteration step 70, G_loss: 0.32474, step_psnr: 7.34760, strokes: 75 / 500
iteration step 71, G_loss: 0.32199, step_psnr: 7.40226, strokes: 75 / 500
iteration step 72, G_loss: 0.31907, step_psnr: 7.45617, strokes: 75 / 500
iteration step 73, G_loss: 0.31618, step_psnr: 7.51145, strokes: 75 / 500
iteration step 74, G_loss: 0.31325, step_psnr: 7.56124, strokes: 75 / 500
iteration step 75, G_loss: 0.31055, step_psnr: 7.72050, strokes: 100 / 500
iteration step 76, G_loss: 0.30234, step_psnr: 7.81227, strokes: 100 / 500
iteration step 77, G_loss: 0.29772, step_psnr: 7.89107, strokes: 100 / 500
iteration step 78, G_loss: 0.29375, step_psnr: 7.96583, strokes: 100 / 500
iteration step 79, G_loss: 0.28999, step_psnr: 8.03763, strokes: 100 / 500
iteration step 80, G_loss: 0.28647, step_psnr: 8.11329, strokes: 100 / 500
iteration step 81, G_loss: 0.28288, step_psnr: 8.18558, strokes: 100 / 500
iteration step 82, G_loss: 0.27941, step_psnr: 8.25550, strokes: 100 / 500
iteration step 83, G_loss: 0.27612, step_psnr: 8.31899, strokes: 100 / 500
iteration step 84, G_loss: 0.27308, step_psnr: 8.38463, strokes: 100 / 500
iteration step 85, G_loss: 0.27005, step_psnr: 8.45426, strokes: 100 / 500
iteration step 86, G_loss: 0.26688, step_psnr: 8.51983, strokes: 100 / 500
iteration step 87, G_loss: 0.26390, step_psnr: 8.58709, strokes: 100 / 500
iteration step 88, G_loss: 0.26095, step_psnr: 8.65456, strokes: 100 / 500
iteration step 89, G_loss: 0.25792, step_psnr: 8.72256, strokes: 100 / 500
iteration step 90, G_loss: 0.25494, step_psnr: 8.79043, strokes: 100 / 500
iteration step 91, G_loss: 0.25205, step_psnr: 8.85866, strokes: 100 / 500
iteration step 92, G_loss: 0.24917, step_psnr: 8.92509, strokes: 100 / 500
iteration step 93, G_loss: 0.24642, step_psnr: 8.99301, strokes: 100 / 500
iteration step 94, G_loss: 0.24369, step_psnr: 9.05929, strokes: 100 / 500
iteration step 95, G_loss: 0.24105, step_psnr: 9.12370, strokes: 100 / 500
iteration step 96, G_loss: 0.23848, step_psnr: 9.18559, strokes: 100 / 500
iteration step 97, G_loss: 0.23597, step_psnr: 9.25186, strokes: 100 / 500
iteration step 98, G_loss: 0.23344, step_psnr: 9.31371, strokes: 100 / 500
iteration step 99, G_loss: 0.23106, step_psnr: 9.37702, strokes: 100 / 500
iteration step 100, G_loss: 0.22873, step_psnr: 9.65574, strokes: 125 / 500
iteration step 101, G_loss: 0.21974, step_psnr: 9.77410, strokes: 125 / 500
iteration step 102, G_loss: 0.21576, step_psnr: 9.87591, strokes: 125 / 500
iteration step 103, G_loss: 0.21229, step_psnr: 9.97341, strokes: 125 / 500
iteration step 104, G_loss: 0.20904, step_psnr: 10.06535, strokes: 125 / 500
iteration step 105, G_loss: 0.20614, step_psnr: 10.15309, strokes: 125 / 500
iteration step 106, G_loss: 0.20328, step_psnr: 10.24542, strokes: 125 / 500
iteration step 107, G_loss: 0.20046, step_psnr: 10.33656, strokes: 125 / 500
iteration step 108, G_loss: 0.19778, step_psnr: 10.42248, strokes: 125 / 500
iteration step 109, G_loss: 0.19520, step_psnr: 10.51554, strokes: 125 / 500
iteration step 110, G_loss: 0.19251, step_psnr: 10.60333, strokes: 125 / 500
iteration step 111, G_loss: 0.19003, step_psnr: 10.68455, strokes: 125 / 500
iteration step 112, G_loss: 0.18772, step_psnr: 10.76016, strokes: 125 / 500
iteration step 113, G_loss: 0.18557, step_psnr: 10.83716, strokes: 125 / 500
iteration step 114, G_loss: 0.18344, step_psnr: 10.91535, strokes: 125 / 500
iteration step 115, G_loss: 0.18131, step_psnr: 10.99144, strokes: 125 / 500
iteration step 116, G_loss: 0.17928, step_psnr: 11.07017, strokes: 125 / 500
iteration step 117, G_loss: 0.17721, step_psnr: 11.14764, strokes: 125 / 500
iteration step 118, G_loss: 0.17521, step_psnr: 11.23030, strokes: 125 / 500
iteration step 119, G_loss: 0.17314, step_psnr: 11.31252, strokes: 125 / 500
iteration step 120, G_loss: 0.17111, step_psnr: 11.39062, strokes: 125 / 500
iteration step 121, G_loss: 0.16920, step_psnr: 11.46713, strokes: 125 / 500
iteration step 122, G_loss: 0.16734, step_psnr: 11.53984, strokes: 125 / 500
