initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 2.42988, strokes: 25 / 500
iteration step 1, G_loss: 0.69060, step_psnr: 2.44548, strokes: 25 / 500
iteration step 2, G_loss: 0.68828, step_psnr: 2.45731, strokes: 25 / 500
iteration step 3, G_loss: 0.68641, step_psnr: 2.46817, strokes: 25 / 500
iteration step 4, G_loss: 0.68480, step_psnr: 2.47954, strokes: 25 / 500
iteration step 5, G_loss: 0.68306, step_psnr: 2.48938, strokes: 25 / 500
iteration step 6, G_loss: 0.68159, step_psnr: 2.49969, strokes: 25 / 500
iteration step 7, G_loss: 0.68002, step_psnr: 2.50965, strokes: 25 / 500
iteration step 8, G_loss: 0.67856, step_psnr: 2.52057, strokes: 25 / 500
iteration step 9, G_loss: 0.67699, step_psnr: 2.52996, strokes: 25 / 500
iteration step 10, G_loss: 0.67557, step_psnr: 2.53982, strokes: 25 / 500
iteration step 11, G_loss: 0.67420, step_psnr: 2.54877, strokes: 25 / 500
iteration step 12, G_loss: 0.67292, step_psnr: 2.55804, strokes: 25 / 500
iteration step 13, G_loss: 0.67156, step_psnr: 2.56655, strokes: 25 / 500
iteration step 14, G_loss: 0.67028, step_psnr: 2.57445, strokes: 25 / 500
iteration step 15, G_loss: 0.66901, step_psnr: 2.58419, strokes: 25 / 500
iteration step 16, G_loss: 0.66765, step_psnr: 2.59186, strokes: 25 / 500
iteration step 17, G_loss: 0.66650, step_psnr: 2.60075, strokes: 25 / 500
iteration step 18, G_loss: 0.66522, step_psnr: 2.60896, strokes: 25 / 500
iteration step 19, G_loss: 0.66400, step_psnr: 2.61844, strokes: 25 / 500
iteration step 20, G_loss: 0.66270, step_psnr: 2.62691, strokes: 25 / 500
iteration step 21, G_loss: 0.66144, step_psnr: 2.63562, strokes: 25 / 500
iteration step 22, G_loss: 0.66016, step_psnr: 2.64426, strokes: 25 / 500
iteration step 23, G_loss: 0.65884, step_psnr: 2.65448, strokes: 25 / 500
iteration step 24, G_loss: 0.65737, step_psnr: 2.66394, strokes: 25 / 500
iteration step 25, G_loss: 0.65600, step_psnr: 2.76734, strokes: 50 / 500
iteration step 26, G_loss: 0.64390, step_psnr: 2.80429, strokes: 50 / 500
iteration step 27, G_loss: 0.63926, step_psnr: 2.83673, strokes: 50 / 500
iteration step 28, G_loss: 0.63515, step_psnr: 2.86848, strokes: 50 / 500
iteration step 29, G_loss: 0.63125, step_psnr: 2.89638, strokes: 50 / 500
iteration step 30, G_loss: 0.62777, step_psnr: 2.92571, strokes: 50 / 500
iteration step 31, G_loss: 0.62420, step_psnr: 2.95499, strokes: 50 / 500
iteration step 32, G_loss: 0.62057, step_psnr: 2.98155, strokes: 50 / 500
iteration step 33, G_loss: 0.61728, step_psnr: 3.00976, strokes: 50 / 500
iteration step 34, G_loss: 0.61389, step_psnr: 3.03603, strokes: 50 / 500
iteration step 35, G_loss: 0.61078, step_psnr: 3.05979, strokes: 50 / 500
iteration step 36, G_loss: 0.60795, step_psnr: 3.08694, strokes: 50 / 500
iteration step 37, G_loss: 0.60474, step_psnr: 3.11240, strokes: 50 / 500
iteration step 38, G_loss: 0.60177, step_psnr: 3.13666, strokes: 50 / 500
iteration step 39, G_loss: 0.59892, step_psnr: 3.16004, strokes: 50 / 500
iteration step 40, G_loss: 0.59611, step_psnr: 3.18373, strokes: 50 / 500
iteration step 41, G_loss: 0.59332, step_psnr: 3.20731, strokes: 50 / 500
iteration step 42, G_loss: 0.59053, step_psnr: 3.22938, strokes: 50 / 500
iteration step 43, G_loss: 0.58781, step_psnr: 3.25359, strokes: 50 / 500
iteration step 44, G_loss: 0.58505, step_psnr: 3.27621, strokes: 50 / 500
iteration step 45, G_loss: 0.58242, step_psnr: 3.30039, strokes: 50 / 500
iteration step 46, G_loss: 0.57968, step_psnr: 3.32451, strokes: 50 / 500
iteration step 47, G_loss: 0.57699, step_psnr: 3.34795, strokes: 50 / 500
iteration step 48, G_loss: 0.57433, step_psnr: 3.37274, strokes: 50 / 500
iteration step 49, G_loss: 0.57159, step_psnr: 3.39685, strokes: 50 / 500
iteration step 50, G_loss: 0.56885, step_psnr: 3.53243, strokes: 75 / 500
iteration step 51, G_loss: 0.55596, step_psnr: 3.59207, strokes: 75 / 500
iteration step 52, G_loss: 0.54993, step_psnr: 3.64248, strokes: 75 / 500
iteration step 53, G_loss: 0.54479, step_psnr: 3.69262, strokes: 75 / 500
iteration step 54, G_loss: 0.53980, step_psnr: 3.74209, strokes: 75 / 500
iteration step 55, G_loss: 0.53477, step_psnr: 3.78813, strokes: 75 / 500
iteration step 56, G_loss: 0.53016, step_psnr: 3.83590, strokes: 75 / 500
iteration step 57, G_loss: 0.52544, step_psnr: 3.88497, strokes: 75 / 500
iteration step 58, G_loss: 0.52075, step_psnr: 3.93310, strokes: 75 / 500
iteration step 59, G_loss: 0.51618, step_psnr: 3.97621, strokes: 75 / 500
iteration step 60, G_loss: 0.51205, step_psnr: 4.01695, strokes: 75 / 500
iteration step 61, G_loss: 0.50809, step_psnr: 4.05994, strokes: 75 / 500
iteration step 62, G_loss: 0.50414, step_psnr: 4.10252, strokes: 75 / 500
iteration step 63, G_loss: 0.50010, step_psnr: 4.14682, strokes: 75 / 500
iteration step 64, G_loss: 0.49618, step_psnr: 4.19014, strokes: 75 / 500
iteration step 65, G_loss: 0.49221, step_psnr: 4.23318, strokes: 75 / 500
iteration step 66, G_loss: 0.48832, step_psnr: 4.27775, strokes: 75 / 500
iteration step 67, G_loss: 0.48437, step_psnr: 4.32208, strokes: 75 / 500
iteration step 68, G_loss: 0.48037, step_psnr: 4.36485, strokes: 75 / 500
iteration step 69, G_loss: 0.47662, step_psnr: 4.40519, strokes: 75 / 500
iteration step 70, G_loss: 0.47297, step_psnr: 4.45071, strokes: 75 / 500
iteration step 71, G_loss: 0.46911, step_psnr: 4.49395, strokes: 75 / 500
iteration step 72, G_loss: 0.46544, step_psnr: 4.53400, strokes: 75 / 500
iteration step 73, G_loss: 0.46188, step_psnr: 4.57508, strokes: 75 / 500
iteration step 74, G_loss: 0.45838, step_psnr: 4.61498, strokes: 75 / 500
iteration step 75, G_loss: 0.45502, step_psnr: 4.78194, strokes: 100 / 500
iteration step 76, G_loss: 0.44240, step_psnr: 4.86075, strokes: 100 / 500
iteration step 77, G_loss: 0.43612, step_psnr: 4.93047, strokes: 100 / 500
iteration step 78, G_loss: 0.43057, step_psnr: 4.99628, strokes: 100 / 500
iteration step 79, G_loss: 0.42543, step_psnr: 5.06347, strokes: 100 / 500
