initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 2.56072, strokes: 25 / 500
iteration step 1, G_loss: 0.68276, step_psnr: 2.57504, strokes: 25 / 500
iteration step 2, G_loss: 0.68058, step_psnr: 2.58592, strokes: 25 / 500
iteration step 3, G_loss: 0.67890, step_psnr: 2.59610, strokes: 25 / 500
iteration step 4, G_loss: 0.67738, step_psnr: 2.60662, strokes: 25 / 500
iteration step 5, G_loss: 0.67594, step_psnr: 2.61671, strokes: 25 / 500
iteration step 6, G_loss: 0.67451, step_psnr: 2.62581, strokes: 25 / 500
iteration step 7, G_loss: 0.67329, step_psnr: 2.63529, strokes: 25 / 500
iteration step 8, G_loss: 0.67198, step_psnr: 2.64358, strokes: 25 / 500
iteration step 9, G_loss: 0.67079, step_psnr: 2.65205, strokes: 25 / 500
iteration step 10, G_loss: 0.66966, step_psnr: 2.66106, strokes: 25 / 500
iteration step 11, G_loss: 0.66840, step_psnr: 2.66996, strokes: 25 / 500
iteration step 12, G_loss: 0.66721, step_psnr: 2.67986, strokes: 25 / 500
iteration step 13, G_loss: 0.66585, step_psnr: 2.68903, strokes: 25 / 500
iteration step 14, G_loss: 0.66459, step_psnr: 2.69766, strokes: 25 / 500
iteration step 15, G_loss: 0.66340, step_psnr: 2.70683, strokes: 25 / 500
iteration step 16, G_loss: 0.66218, step_psnr: 2.71604, strokes: 25 / 500
iteration step 17, G_loss: 0.66097, step_psnr: 2.72584, strokes: 25 / 500
iteration step 18, G_loss: 0.65971, step_psnr: 2.73467, strokes: 25 / 500
iteration step 19, G_loss: 0.65847, step_psnr: 2.74466, strokes: 25 / 500
iteration step 20, G_loss: 0.65720, step_psnr: 2.75309, strokes: 25 / 500
iteration step 21, G_loss: 0.65603, step_psnr: 2.76390, strokes: 25 / 500
iteration step 22, G_loss: 0.65468, step_psnr: 2.77419, strokes: 25 / 500
iteration step 23, G_loss: 0.65340, step_psnr: 2.78497, strokes: 25 / 500
iteration step 24, G_loss: 0.65201, step_psnr: 2.79543, strokes: 25 / 500
iteration step 25, G_loss: 0.65062, step_psnr: 2.90209, strokes: 50 / 500
iteration step 26, G_loss: 0.63864, step_psnr: 2.93903, strokes: 50 / 500
iteration step 27, G_loss: 0.63416, step_psnr: 2.97285, strokes: 50 / 500
iteration step 28, G_loss: 0.63003, step_psnr: 3.00497, strokes: 50 / 500
iteration step 29, G_loss: 0.62617, step_psnr: 3.03400, strokes: 50 / 500
iteration step 30, G_loss: 0.62267, step_psnr: 3.06225, strokes: 50 / 500
iteration step 31, G_loss: 0.61932, step_psnr: 3.08770, strokes: 50 / 500
iteration step 32, G_loss: 0.61624, step_psnr: 3.11303, strokes: 50 / 500
iteration step 33, G_loss: 0.61321, step_psnr: 3.13696, strokes: 50 / 500
iteration step 34, G_loss: 0.61040, step_psnr: 3.16159, strokes: 50 / 500
iteration step 35, G_loss: 0.60751, step_psnr: 3.18636, strokes: 50 / 500
iteration step 36, G_loss: 0.60464, step_psnr: 3.20915, strokes: 50 / 500
iteration step 37, G_loss: 0.60193, step_psnr: 3.23454, strokes: 50 / 500
iteration step 38, G_loss: 0.59901, step_psnr: 3.25882, strokes: 50 / 500
iteration step 39, G_loss: 0.59624, step_psnr: 3.28328, strokes: 50 / 500
iteration step 40, G_loss: 0.59340, step_psnr: 3.31025, strokes: 50 / 500
iteration step 41, G_loss: 0.59042, step_psnr: 3.33456, strokes: 50 / 500
